text	entity_type		start	end
Keith Dugger	person_name		4532	5450
Keith	person_name		31752	32958
Dr	occupation		48488	48732
Keith Thugger	person_name		48786	49608
platform CTO	occupation		49704	50808
X Ray	organization		51042	51788
co host	occupation		55382	56108
software engineering	occupation		73242	74144
Karl Hewitt	person_name		145250	146424
Peter Bishop	person_name		146552	147704
Richard Steiger	person_name		148162	149288
Massachusetts Institute of Technology AI lab	organization		150578	154192
artificial intelligence	occupation		209734	211148
computer science	occupation		231438	232164
Twitter	organization		278958	279720
Facebook	organization		280380	281348
LinkedIn	organization		281524	282520
software engineering	occupation		325482	326348
actor	occupation		425642	425936
actors	occupation		437278	437924
Professor	occupation		450800	451428
Friston	person_name		451464	451964
actor	occupation		463158	463436
physics	occupation		515818	516560
Hewitt	person_name		517082	517504
software engineering	occupation		624858	626096
software engineering	occupation		733758	734644
engineering	occupation		798562	799512
biology	occupation		1104966	1105516
engineering	occupation		1125882	1126820
Keith	person_name		1161120	1161734
Keith	person_name		1162352	1162614
Keith	person_name		1167560	1168030
