start	end	sentNum	speaker	confidence	text
1290	7630	1	A	0.75593	All right, next up is going to be Keith Duggar, who has submitted a pre recorded video.
7780	10922	2	A	1	The pre recorded video is called active inference.
10986	15920	3	A	0.51	And the actor model So I will bring that up right now.
29430	37660	4	A	0.76	Okay, here comes Keith's pre recorded video on active inference and the Actor model.
44240	46956	5	B	0.88008	Active inference and the actor model.
47138	47580	6	B	0.99325	Hello.
47650	48076	7	B	0.77179	Hello.
48178	48732	8	B	0.99655	I'm Dr. Keith 
48786	54012	9	B	0.99307	Duggar, platform CTO at X Ray, an extended reality AI
54076	58880	10	B	0.99998	Company, and co host of Machine Learning Street Talk podcast.
59780	72320	11	B	0.89	Now, as we all work to build an ecosystem based on active inference, software will obviously play a foundational role to make the most of active inference.
72400	81928	12	B	0.72455	We'll need to use software engineering paradigms that align with the principles of active inference, and I think there is one tailor made for our needs.
82094	83770	13	B	0.99987	It's called the actor model.
85100	90750	14	B	0.9957	Active Inference and the Actor Model are two deeply connected understandings of the world.
91280	104160	15	B	0.99999	They provide foundational frameworks for dealing with the dynamics of complex systems, with a focus on autonomous agents that interact in an ecology of nested systems.
105220	117300	16	B	0.81591	I'd like to explore some of their key connections, including the role of agents concurrency, autonomy, uncertainty, and behavior adaptation.
118680	138680	17	B	0.99997	We will see that active inference and the Active model are both paradigm shifts away from a deterministic, centralized, step by step thinking to a decentralized network concurrent perspective of both computation and cognition.
139920	142430	18	B	0.99914	Just a little bit of history about the Actor model.
142960	166020	19	B	0.99999	Back in 1973, Karl Hewitt, Peter Bishop, and Richard Steiger were all working at the Massachusetts Institute of Technology AI lab to Fundamentalize, a concept of concurrent computation that included both structure as well as adaptable algorithm execution.
167480	173140	20	B	0.29585	Conventional methods at the time lacked robustness and secure mathematical foundations.
173960	178490	21	B	0.99861	Their collaborative effort ultimately led to the creation of the Actor model.
179180	189660	22	B	0.72	At the time, it was viewed as revolutionary due to its characteristics of both increased error tolerance and distributed computation abilities.
190320	206480	23	B	0.98207	Throughout the 1980s and the 1990s, the Actor model became a basis for numerous research projects as well as practical projects, gaining popularity for its flexibility and intuitive approach to concurrent computation.
208020	213084	24	B	0.98817	It was primarily used in artificial intelligence and multi agent systems.
213212	214400	25	B	0.99725	Sound familiar?
215880	232810	26	B	1	New Actor based languages like Actor, Saulson and Erlang contributed to the refinement of the model, shaping it into a more robust and flexible approach to concurrent computing, and it remains alive and well in computer science today.
233580	247310	27	B	1	More recently, the Actor model has gained renewed interest, mainly due to the growing need for distributed systems, cloud computing and edge computing, fueling the Internet of Things and Web 30.
248480	268710	28	B	0.99998	These computer tasks are ideally suited to take advantage of the ACA model's architecture, which is designed exactly for modeling concurrent handling of both large volumes of data on the one hand, and fine grained disparate autonomous systems on the other hand.
269640	287108	29	B	0.73003	This application of the Actor model has had profound effects on major companies that have utilized its principles to handle big data problems such as Twitter, Facebook, LinkedIn, so what does this have to do with active inference?
287284	290908	30	B	0.99125	I'm guessing you've already heard some of the parallels in the intro.
291074	299420	31	B	0.71179	But let's start by looking at a few core principles of the actor model and how they relate to the principles of active inference.
300000	302480	32	B	0.99962	Let's start with the concept of isolation.
303540	311280	33	B	0.37632	Isolation means that an actor in the actor model does not share its state with any other actor.
312100	315670	34	B	0.99999	It can only be affected by receiving a message.
316040	324100	35	B	1	And it can only affect change in the state of other actors by sending a finite number of messages in response.
324840	344910	36	B	1	From a software engineering point of view, this isolation principle limits potential side effects of an operation to a single actor, thus improving the system's overall predictability reliability, and most importantly, if embraced fully, can actually simplify the design.
346560	357040	37	B	0.99997	Looking at the diagram, we see an ecosystem of actors sending messages to a particular actor, which in turn sends back messages to other actors.
358340	359916	38	B	0.99999	Where is active inference?
360028	374630	39	B	0.99959	Well, let's recast receiving and sending messages to a perception action cycle and denote external, internal, sensory and active states.
375480	382600	40	B	1	And we now clearly have the necessary foundation of active inference a Markov blanket.
383660	389660	41	B	1	The actors of the actor model map directly to the agents of active inference.
390480	401150	42	B	0.99999	In addition, the finiteness, the fact that an actor can only send a finite number of messages in response is also an important shared property.
401940	409852	43	B	0.99704	Because active inference models reality, it necessarily respects the resource constraints of real systems.
409996	414390	44	B	1	And this is nicely bathed into the foundation of the active model.
415320	419860	45	B	0.64785	Let's look at another core principle asynchronous message passing.
420840	424100	46	B	0.9999	Communication between actors is asynchronous.
424440	429064	47	B	0.9098	This means an actor doesn't wait for a response after sending a message.
429262	433210	48	B	0.99987	It continues working, it continues living, as it were.
433820	449660	49	B	0.99941	This is critical as it decouples the actors, leading to a system that can continue functioning, living and making progress even when parts of the system are slow or even temporarily unavailable.
450800	461490	50	B	0.97963	Professor Friston has said that the free energy principle is the ultimate existential question if things exist, what must they do?
462660	467350	51	B	0.98708	Well, the actor model claims they must not wait on others.
468360	477528	52	B	1	Of course, an actor can choose to wait on others, but it must not be forced to do so in the model.
477614	479770	53	B	0.99999	It must be free to choose.
481820	487640	54	B	0.92489	This leads us to another critical principle that both models share autonomy.
488860	496620	55	B	1	The free energy principle is a model of physical reality and our reality is, after all, concurrent.
497360	505196	56	B	0.99999	All throughout infinite space, systems are evolving simultaneously according to their local dynamics.
505388	510560	57	B	0.99	And therefore this is reflected at the heart of the free energy principle.
510980	516560	58	B	0.99	Of course, a model of computation need not constrain itself to physics.
516720	518068	59	B	0.55322	But Hewitt et al.
518154	524560	60	B	0.81014	Were seeking to develop a model that did model the reality of distributed concurrent systems.
524720	538040	61	B	0.9	And luckily for us, the actor model embraces both concurrency, seen from the principle of isolation and actor autonomy, making it compatible with active inference.
539200	541820	62	B	0.58257	Next we come to nesting.
