docLabel	start	end	count	rank	text
3Symp_1_04	68102	2023392	10	0.07	living systems
3Symp_1_04	62422	2011632	31	0.07	free energy
3Symp_1_04	931578	1254620	7	0.07	active states
3Symp_1_04	131488	895020	2	0.07	interacting systems
3Symp_1_04	453186	454584	1	0.07	Earth system science
3Symp_1_04	762406	813692	2	0.07	self organizing systems
3Symp_1_04	1373242	1374820	1	0.07	biological systems
3Symp_1_04	903858	1689960	5	0.06	external states
3Symp_1_04	730826	732052	1	0.06	open systems
3Symp_1_04	510364	1861676	2	0.06	complex systems theory
3Symp_1_04	896552	1683992	5	0.06	Internal states
3Symp_1_04	1782858	1784356	1	0.06	free energy principle living systems
3Symp_1_04	917494	1677124	4	0.06	sensory states
3Symp_1_04	483422	487240	2	0.06	new tractor states
3Symp_1_04	80874	1527440	30	0.05	Gaia
