docLabel	start	end	count	rank	text
3Symp_1_04	68102	69260	1	0.07	living systems
3Symp_1_04	681786	682752	2	0.07	living systems
3Symp_1_04	770720	772032	3	0.07	living systems
3Symp_1_04	864156	865520	4	0.07	living systems
3Symp_1_04	895520	896504	5	0.07	living systems
3Symp_1_04	951170	952072	6	0.07	living systems
3Symp_1_04	1511142	1512060	7	0.07	living systems
3Symp_1_04	1588174	1589124	8	0.07	living systems
3Symp_1_04	1783728	1784356	9	0.07	living systems
3Symp_1_04	2022426	2023392	10	0.07	living systems
3Symp_1_04	62422	62928	1	0.07	free energy
3Symp_1_04	116054	116480	2	0.07	free energy
3Symp_1_04	128874	129204	3	0.07	free energy
3Symp_1_04	134858	135300	4	0.07	free energy
3Symp_1_04	193698	194092	5	0.07	free energy
3Symp_1_04	588558	589000	6	0.07	free energy
3Symp_1_04	674858	675252	7	0.07	free energy
3Symp_1_04	714918	715488	8	0.07	free energy
3Symp_1_04	848318	849130	9	0.07	free energy
3Symp_1_04	857302	858210	10	0.07	free energy
3Symp_1_04	868976	869830	11	0.07	free energy
3Symp_1_04	876778	877252	12	0.07	free energy
3Symp_1_04	965676	966480	13	0.07	free energy
3Symp_1_04	1150920	1151740	14	0.07	free energy
3Symp_1_04	1172058	1172532	15	0.07	free energy
3Symp_1_04	1183998	1184520	16	0.07	free energy
3Symp_1_04	1348098	1348572	17	0.07	free energy
3Symp_1_04	1353378	1353772	18	0.07	free energy
3Symp_1_04	1561078	1561472	19	0.07	free energy
3Symp_1_04	1615398	1615872	20	0.07	free energy
3Symp_1_04	1617798	1618192	21	0.07	free energy
3Symp_1_04	1640398	1640792	22	0.07	free energy
3Symp_1_04	1698594	1699100	23	0.07	free energy
3Symp_1_04	1701858	1702204	24	0.07	free energy
3Symp_1_04	1738398	1738792	25	0.07	free energy
3Symp_1_04	1759334	1759792	26	0.07	free energy
3Symp_1_04	1782858	1783252	27	0.07	free energy
3Symp_1_04	1821338	1821684	28	0.07	free energy
3Symp_1_04	1963302	1963760	29	0.07	free energy
3Symp_1_04	2003394	2003772	30	0.07	free energy
3Symp_1_04	2011254	2011632	31	0.07	free energy
3Symp_1_04	931578	932392	1	0.07	active states
3Symp_1_04	936878	937400	2	0.07	active states
3Symp_1_04	1124202	1124900	3	0.07	active states
3Symp_1_04	1226698	1227428	4	0.07	active states
3Symp_1_04	1249602	1250670	5	0.07	active states
3Symp_1_04	1251440	1252396	6	0.07	active states
3Symp_1_04	1253960	1254620	7	0.07	active states
3Symp_1_04	131488	132848	1	0.07	interacting systems
3Symp_1_04	893582	895020	2	0.07	interacting systems
3Symp_1_04	453186	454584	1	0.07	Earth system science
3Symp_1_04	762406	764012	1	0.07	self organizing systems
3Symp_1_04	812358	813692	2	0.07	self organizing systems
3Symp_1_04	1373242	1374820	1	0.07	biological systems
3Symp_1_04	903858	905036	1	0.06	external states
3Symp_1_04	1121370	1122550	2	0.06	external states
3Symp_1_04	1136158	1137176	3	0.06	external states
3Symp_1_04	1194962	1196156	4	0.06	external states
3Symp_1_04	1689278	1689960	5	0.06	external states
3Symp_1_04	730826	732052	1	0.06	open systems
3Symp_1_04	510364	511916	1	0.06	complex systems theory
3Symp_1_04	1860582	1861676	2	0.06	complex systems theory
3Symp_1_04	896552	897630	1	0.06	Internal states
3Symp_1_04	1117526	1118700	2	0.06	Internal states
3Symp_1_04	1190062	1190840	3	0.06	Internal states
3Symp_1_04	1662694	1663970	4	0.06	Internal states
3Symp_1_04	1683022	1683992	5	0.06	Internal states
3Symp_1_04	1782858	1784356	1	0.06	free energy principle living systems
3Symp_1_04	917494	918690	1	0.06	sensory states
3Symp_1_04	1128922	1129748	2	0.06	sensory states
3Symp_1_04	1206854	1207840	3	0.06	sensory states
3Symp_1_04	1676282	1677124	4	0.06	sensory states
3Symp_1_04	483422	484632	1	0.06	new tractor states
3Symp_1_04	486220	487240	2	0.06	new tractor states
3Symp_1_04	80874	81300	1	0.05	Gaia
3Symp_1_04	81742	82132	2	0.05	Gaia
3Symp_1_04	107446	107980	3	0.05	Gaia
3Symp_1_04	108998	109324	4	0.05	Gaia
3Symp_1_04	136458	136800	5	0.05	Gaia
3Symp_1_04	159846	160412	6	0.05	Gaia
3Symp_1_04	307814	308300	7	0.05	Gaia
3Symp_1_04	317446	318060	8	0.05	Gaia
3Symp_1_04	337358	337604	9	0.05	Gaia
3Symp_1_04	354338	354664	10	0.05	Gaia
3Symp_1_04	430906	431284	11	0.05	Gaia
3Symp_1_04	461174	461404	12	0.05	Gaia
3Symp_1_04	499202	499544	13	0.05	Gaia
3Symp_1_04	523898	524224	14	0.05	Gaia
3Symp_1_04	532318	532564	15	0.05	Gaia
3Symp_1_04	582702	583140	16	0.05	Gaia
3Symp_1_04	590158	590356	17	0.05	Gaia
3Symp_1_04	639774	640132	18	0.05	Gaia
3Symp_1_04	644414	644596	19	0.05	Gaia
3Symp_1_04	695330	695928	20	0.05	Gaia
3Symp_1_04	1047358	1047652	21	0.05	Gaia
3Symp_1_04	1054098	1054392	22	0.05	Gaia
3Symp_1_04	1076042	1076512	23	0.05	Gaia
3Symp_1_04	1170090	1170560	24	0.05	Gaia
3Symp_1_04	1187342	1187924	25	0.05	Gaia
3Symp_1_04	1282078	1282404	26	0.05	Gaia
3Symp_1_04	1320938	1321620	27	0.05	Gaia
3Symp_1_04	1359718	1360044	28	0.05	Gaia
3Symp_1_04	1410006	1410604	29	0.05	Gaia
3Symp_1_04	1527002	1527440	30	0.05	Gaia
