start	end	paragNum	speaker	confidence	startTime	wordCount	text
2010	2800	1	A	0.89	00:02	2	All right.
4930	13310	2	A	0.99	00:04	12	And on to the last session of the first interval. Greetings, Nikki.
19860	27890	3	A	0.99919	00:19	10	Greetings. Hello. Good morning. Yes, good morning. How goes it?
29380	41130	4	B	0.9987	00:29	22	Yeah, I'm doing fine, thanks. Would you like to present and then we'll discuss? Yes, that sounds like a good idea. Great.
43200	44350	5	B	0.96799	00:43	2	Let's see.
46400	59050	6	B	0.99777	00:46	7	Just going to share my screenplay. Yes.
65600	72780	7	B	0.99989	01:05	10	Can you see the presentation? Not yet. Okay. See flex.
75120	78690	8	A	0.99355	01:15	5	Yes. Looks perfect. Okay, great.
81460	90550	9	B	0.96271	01:21	34	Yeah. Should I just start? Yeah, go for as long as you want, and then anyone can ask questions in the live chat, and I'll write down some things, too. Thank you. Okay, great.
91800	131340	10	B	0.85628	01:31	75	Yeah. So my presentation today will be on advances in machine theory of mind and theory of mind. Sophistication I'm currently a student at the University of Amsterdam and finishing my master's thesis on this topic. And I'll be giving a broad overview of current machine theory of mind and an idea or concept for an active inference approach based on previous work related to active inference theory of mind. So to start okay, sorry.
133330	186480	11	B	0.64	02:13	106	So for a global overview, we'll start with giving a short basic definition of what theory of mind is and how it's been used. Then I'll give you a global overview of current approaches to designing machine theory of mind, including evasion approaches, approaches using Biphysical models, et cetera. Then I'll zoom into active inference models of theory of mind and social intelligence and collective intelligence more broadly. And I'll get into the issue of theory of mind. Sophistication, which is basically the depth of recursivity of beliefs that you can have about another person's mental states and their thoughts or beliefs or goals about you.
187970	232800	12	B	0.95	03:07	99	And then we'll get into the issue of how to implement recursive beliefs. And as an example, we'll discuss Bayesian theory of mind with K levels of depth. And then we'll get into the more specific paradigm that I'm using right now to build a theory of mind model, which is based on a very simple model of the matching panning paradigm. So we'll talk a little bit about that, and then we'll get into the model itself and current ideas for implementing theory of mind sophistication using active inference. So first of all, what is theory of mind?
233170	302130	13	B	0.68992	03:53	159	Theory of mind has been introduced by the very famous paper by Primac and Woodcherf in 1978, I think it was called does the Chimpanzee Have a Theory of Mind? And they define theory of mind as the ability to impute mental states to himself and others as a system of inferences. And they say system of inferences of this kind is properly viewed as a theory, first, because such states are not directly observable, and second, because the system can be used to make predictions specifically about the behavior of other organisms. And I think there's already a lot in this definition. And a lot of authors looking at theory of mind right now still use the same view of theory of mind as a theory, a structured theory of different kinds of mental states such as goals, beliefs and desires that facilitate the prediction of observable behavior in other agents such as facial expressions, movement or speech.
304230	361560	14	B	0.99	05:04	124	And I find it very interesting how much this aligns with maybe a predictive processing view of social cognition, but also how weird it is that this theory, theory of theory of mind is still so widespread in the theory of mind literature, modeling literature. So there's been some discussion on whether you can properly regard theory of mind as a theory and if so, what kind of theory it is. So within the philosophy of mind, there's been basically two mainstreams or main perspectives on theory of mind. According to the classic theory, theory of Tom, theory of mind is a causal theory of how these internal mental states generate other agents'behaviors. So it's the same kind of view that we just saw.
362890	394034	15	B	1.0	06:02	77	And then the opposite side is called simulation theory of theory of mind, which posits that we use the same kind of cognitive and neurological resources for understanding and predicting other agents as those that we use for understanding the self. And simulation theory can also take on different forms. The sun is coming up next to them. So that's why I'm based in light at the moment. But basically there are lots of versions of this.
