start	end	sentNum	speaker	confidence	wordPosSent	wordPosDoc	text
2010	2174	1	A	0.89	1	1	All
2212	2800	1	A	0.9936	2	2	right.
4930	5680	2	A	0.99	1	3	And
7970	8334	2	A	0.86	2	4	on
8372	8526	2	A	0.86	3	5	to
8548	8734	2	A	1.0	4	6	the
8772	9360	2	A	0.99998	5	7	last
9970	10426	2	A	0.99795	6	8	session
10458	10606	2	A	0.98	7	9	of
10628	10766	2	A	1.0	8	10	the
10788	10974	2	A	1.0	9	11	first
11012	11754	2	A	0.99305	10	12	interval.
11882	12426	3	A	0.62267	1	13	Greetings,
12458	13310	3	A	0.65917	2	14	Nikki.
19860	20960	4	A	0.99919	1	15	Greetings.
21380	21888	5	B	0.99887	1	16	Hello.
21974	22224	6	B	0.99999	1	17	Good
22262	22944	6	B	0.9997	2	18	morning.
23142	23744	7	A	0.99989	1	19	Yes,
23862	24144	7	A	0.99998	2	20	good
24182	24770	7	A	0.99726	3	21	morning.
26580	26944	8	A	0.99967	1	22	How
26982	27232	8	A	0.98844	2	23	goes
27286	27890	8	A	0.92206	3	24	it?
29380	29792	9	B	0.9987	1	25	Yeah,
29846	30100	9	B	0.88595	2	26	I'm
30140	30344	9	B	0.99582	3	27	doing
30382	30680	9	B	0.99935	4	28	fine,
30750	31370	9	B	0.99709	5	29	thanks.
33260	33576	10	A	0.99999	1	30	Would
33598	33784	10	A	1.0	2	31	you
33822	33976	10	A	0.99999	3	32	like
33998	34664	10	A	0.59	4	33	to
34862	35320	10	A	1.0	5	34	present
35390	35576	10	A	1.0	6	35	and
35598	35784	10	A	0.99511	7	36	then
35822	36084	10	A	0.99987	8	37	we'll
36132	36730	10	A	0.99996	9	38	discuss?
38220	38584	11	B	0.99992	1	39	Yes,
38622	38776	11	B	0.98924	2	40	that
38798	38984	11	B	0.99983	3	41	sounds
39022	39176	11	B	1.0	4	42	like
39198	39288	11	B	1.0	5	43	a
39294	39464	11	B	0.99987	6	44	good
39502	40184	11	B	0.99927	7	45	idea.
40382	41130	12	B	0.99939	1	46	Great.
43200	43704	13	B	0.96799	1	47	Let's
43752	44350	13	B	0.99537	2	48	see.
46400	46812	14	B	0.99777	1	49	Just
46866	47036	14	B	0.99979	2	50	going
47058	47196	14	B	1.0	3	51	to
