start	end	paragNum	speaker	pconfid	wordPos	paragWordPos	paragFirstWordCount	paragLastWordCount
4200	26456	1	A	0.54731	44	44	1	44
26568	44324	2	B	0.99996	93	49	45	93
44442	103320	3	A	0.95879	226	133	94	226
103660	147204	4	A	0.98	343	117	227	343
147252	167056	5	A	0.99982	396	53	344	396
167158	205332	6	A	1.0	499	103	397	499
205476	270636	7	A	0.9994	678	179	500	678
270668	310664	8	A	0.99963	786	108	679	786
310792	338800	9	A	0.99979	872	86	787	872
338880	385952	10	A	0.64702	999	127	873	999
386016	424256	11	A	1.0	1108	109	1000	1108
424358	457080	12	A	0.85976	1199	91	1109	1199
457160	504596	13	A	1.0	1320	121	1200	1320
504708	538516	14	A	0.99998	1407	87	1321	1407
538618	571592	15	A	0.99999	1497	90	1408	1497
571656	601832	16	A	0.8136	1582	85	1498	1582
601886	634768	17	A	0.99999	1665	83	1583	1665
634864	666936	18	A	0.99523	1746	81	1666	1746
666968	700756	19	A	0.99991	1844	98	1747	1844
700788	740980	20	A	0.79362	1955	111	1845	1955
741050	812680	21	A	0.99908	2120	165	1956	2120
812760	869484	22	A	0.99991	2266	146	2121	2266
869612	911496	23	A	1.0	2361	95	2267	2361
911528	975196	24	A	1.0	2520	159	2362	2520
975228	1033968	25	A	1.0	2661	141	2521	2661
1034064	1070236	26	A	0.74611	2757	96	2662	2757
1070348	1108696	27	A	0.99998	2854	97	2758	2854
1108808	1152036	28	A	0.99998	2967	113	2855	2967
1152148	1190368	29	A	0.99997	3054	87	2968	3054
1190384	1217724	30	A	0.92	3125	71	3055	3125
1217852	1275340	31	A	1.0	3263	138	3126	3263
1275500	1296376	32	A	0.99997	3321	58	3264	3321
1296478	1332740	33	A	1.0	3406	85	3322	3406
1332890	1388736	34	A	1.0	3551	145	3407	3551
1388768	1460060	35	A	1.0	3717	166	3552	3717
1460480	1531604	36	A	1.0	3862	145	3718	3862
1531642	1593428	37	A	0.99999	4005	143	3863	4005
1593524	1645156	38	A	0.96442	4115	110	4006	4115
1645268	1696120	39	A	1.0	4234	119	4116	4234
1699420	1736740	40	A	0.99969	4331	97	4235	4331
1736890	1808712	41	A	0.9651	4478	147	4332	4478
1808856	1867420	42	A	1.0	4616	138	4479	4616
1867840	1901204	43	A	0.84953	4700	84	4617	4700
1901252	1931724	44	A	0.99996	4767	67	4701	4767
1931772	1978952	45	A	0.99981	4893	126	4768	4893
1979116	1984580	46	A	0.997	4908	15	4894	4908
1987240	2047956	47	A	0.7	5048	140	4909	5048
2047988	2077068	48	A	0.61185	5119	71	5049	5119
2077244	2137728	49	A	0.86526	5249	130	5120	5249
2137824	2193200	50	A	0.99998	5364	115	5250	5364
2193370	2230790	51	A	0.98	5458	94	5365	5458
2231160	2243530	52	B	0.99981	5485	27	5459	5485
2249480	2260730	53	B	0.99993	5510	25	5486	5510
2262780	2321052	54	A	1.0	5618	108	5511	5618
2321186	2395512	55	B	1.0	5785	167	5619	5785
2395676	2475844	56	A	0.75805	5931	146	5786	5931
2475892	2543084	57	A	1.0	6063	132	5932	6063
2543132	2563204	58	A	1.0	6107	44	6064	6107
2563252	2590316	59	B	1.0	6166	59	6108	6166
2590428	2616040	60	A	0.99995	6226	60	6167	6226
2618140	2638816	61	A	1.0	6267	41	6227	6267
2638998	2643648	62	A	0.99917	6282	15	6268	6282
2643814	2649580	63	B	0.82708	6285	3	6283	6285
