docLabel	start	end	count	rank	text
3Symp_1_03	10820	1159836	35	0.08	active inference
3Symp_1_03	725738	738004	2	0.06	Bayesian inference
3Symp_1_03	748578	749656	1	0.06	hidden state inference
3Symp_1_03	674832	758264	2	0.06	variational inference
3Symp_1_03	418402	419416	1	0.06	many other fields
3Symp_1_03	143194	356360	8	0.06	deep learning
3Symp_1_03	285514	286576	1	0.05	machine learning researchers
3Symp_1_03	273558	274752	1	0.05	deep reinforcement learning
3Symp_1_03	309438	310300	1	0.05	machine learning research
3Symp_1_03	474710	1067692	2	0.05	active generalized filtering
3Symp_1_03	38818	568572	6	0.05	machine learning
3Symp_1_03	731850	733700	1	0.05	many introductory textbooks
3Symp_1_03	100238	101540	1	0.05	active inference textbook
3Symp_1_03	421862	422476	1	0.05	many fields
3Symp_1_03	38818	63192	2	0.05	Machine learning engineer
