start	end	paragNum	speaker	confidence	startTime	wordCount	text
6010	13102	1	A	0.93108	00:06	15	Greetings. All right, well, our next session hey, Bert. Greetings. Great. Hey, how you doing?
13156	31910	2	B	0.96641	00:13	50	Good, good. Very well. Our next session is with Bert DeVries, Dmitri Baghev, and Bart Van ERP. It's going to be called towards User Friendly Design of Synthetic Active inference agents. And I know a lot of people are super excited to see this really practical and cutting edge work.
31980	44300	3	A	0.99036	00:31	30	So to you, Bert, and just let us know how we can support. Okay, great. Is my audio good? Yep, sounds good. Okay, then I'm going to share my screen.
46430	52854	4	B	0.76	00:46	19	I hope I picked the right one. I don't work with zoom quite often. Looks good. Looks good. Yeah.
52912	62094	5	B	0.78	00:52	20	All right. Super. Well, thanks a lot, Daniel, for hosting this symposium. I've been watching some talks. It's really amazing.
62292	95194	6	B	0.97	01:02	82	And we feel privileged to get a chance to present ourselves. So we are also, just like a few others before us, interested in developing a toolbox for active inference. And so this picture, or she kind of shows what we're about or what we are interested in. So here's a lady on the left hand side, and I'm going to try to get a laser pointer. And she has this idea about a rewarding behavior for a vacuum cleaning robot, right?
95232	118722	7	B	0.99996	01:35	65	So she's writing down she has a textual expression. Move around the apartment, apply suction until the floor is clean, do not touch objects, and when done, return to the dog. So that's not so hard. I'm going to rate that with one star out of three stars in terms of difficulty level to specify that. But that's not enough to program this robot, right?
118776	141102	8	B	1.0	01:58	52	Because what she really needs to do now is to specify a generative model and there's effectors and actuators, right. The robot has to move around, apply suction until the floor is clean. So there are sensors, probably a camera. Do not touch objects. Or maybe there has to be object recognition.
141266	177442	9	B	0.99999	02:21	88	This is a really difficult task to come up with this generative model here. And on top of that, she has to specify this kind of rewarding behavior in terms now of probability distributions of this generative model. So very difficult. I'm going to rate that with two stars because the next thing she has to do for this model is to specify the inference procedure to do actually active inference and free energy minimization in real time for this complex model. And really that's almost impossible, right?
177496	205786	10	B	0.99997	02:57	78	Only a few specialists can really write a procedure for variational free energy minimization in some very difficult model. So what we are about what we've been working on is to try to automate the inference task. So get rid of the three stars. And yes, she will still have to specify her model, but in the long term, we try to get away from that. So in the long term, we hope we will get a toolbox.
205818	261390	11	B	1.0	03:25	113	And now we're talking 510 years, right, where a textual description would be enough to specify some initial model with an initial prior and everything else is just automated inference, learning of states, parameters, structural adaptation of the model, even maybe based on her feedback updating the prior. So that's long term for now, we would be very happy if we could just automate the inference task. So why is it so difficult to specify inference for an active inference agent? Well, we have so many competing KPIs, right? We want to do this for large model scopes, not just for ABCD models, but maybe there's also continuous variables and hierarchical models, right?
