start	end	paragNum	speaker	pconfid	wordPos	paragWordPos	paragFirstWordCount	paragLastWordCount
10880	11430	1	A	0.53133	1	1	1	1
14640	15790	2	A	0.82	3	2	2	3
20680	61788	3	A	0.99934	86	83	4	86
61964	101970	4	A	1.0	179	93	87	179
109140	114350	5	A	0.41531	181	2	180	181
127500	143720	6	A	0.88299	222	41	182	222
146700	150850	7	A	0.55	225	3	223	225
159090	209662	8	A	0.94042	320	95	226	320
209796	261280	9	A	0.96739	436	116	321	436
264210	320900	10	A	0.99762	577	141	437	577
321350	386162	11	A	0.59941	740	163	578	740
386306	414350	12	A	0.99983	824	84	741	824
414420	436102	13	A	1.0	883	59	825	883
436156	465390	14	A	0.99984	942	59	884	942
465970	516880	15	A	0.99999	1076	134	943	1076
517570	580322	16	A	0.99663	1239	163	1077	1239
580376	626690	17	A	0.96	1374	135	1240	1374
627030	692338	18	A	0.95264	1519	145	1375	1519
692514	736946	19	A	0.9999	1635	116	1520	1635
736978	761278	20	A	0.9999	1704	69	1636	1704
761284	770420	21	A	0.99672	1726	22	1705	1726
773030	832438	22	B	0.99997	1874	148	1727	1874
832524	868110	23	B	0.73699	1954	80	1875	1954
874290	876270	24	A	0.99	1962	8	1955	1962
878850	929666	25	C	0.99904	2044	82	1963	2044
929848	954890	26	C	0.99996	2096	52	2045	2096
955390	1011550	27	A	0.99932	2233	137	2097	2233
1011620	1024820	28	A	0.99996	2267	34	2234	2267
1027750	1093734	29	A	0.77298	2406	139	2268	2406
1093852	1117200	30	A	0.6	2466	60	2407	2466
1121040	1122140	31	A	0.99714	2468	2	2467	2468
1124400	1184610	32	B	0.98891	2588	120	2469	2588
1185160	1220428	33	B	0.99996	2674	86	2589	2674
1220594	1258120	34	B	0.9	2776	102	2675	2776
1260700	1288464	35	A	0.99998	2858	82	2777	2858
1288512	1335464	36	A	1.0	2976	118	2859	2976
1335532	1384944	37	A	0.99984	3093	117	2977	3093
1384992	1436624	38	A	1.0	3208	115	3094	3208
1436672	1474240	39	A	0.99997	3315	107	3209	3315
1474740	1511240	40	A	0.99999	3385	70	3316	3385
1511400	1570296	41	A	0.99	3493	108	3386	3493
1570408	1596100	42	A	0.99996	3547	54	3494	3547
1599520	1605260	43	C	0.88322	3560	13	3548	3560
1608000	1614850	44	A	0.99996	3576	16	3561	3576
1617220	1657736	45	A	0.99974	3651	75	3577	3651
1657848	1706430	46	A	0.99999	3753	102	3652	3753
1707680	1766690	47	A	0.98476	3885	132	3754	3885
1767140	1794840	48	A	0.9928	3947	62	3886	3947
1794910	1831632	49	A	1.0	4057	110	3948	4057
1831696	1857230	50	A	0.99812	4116	59	4058	4116
1860480	1880480	51	B	0.71934	4167	51	4117	4167
1880640	1942920	52	B	1.0	4315	148	4168	4315
1943500	1998728	53	B	0.99996	4448	133	4316	4448
1998904	2021970	54	B	1.0	4486	38	4449	4486
2024420	2028516	55	A	0.97885	4500	14	4487	4500
2028618	2054492	56	C	0.86	4545	45	4501	4545
2054546	2097396	57	A	1.0	4649	104	4546	4649
2097508	2112130	58	A	0.99925	4704	55	4650	4704
2112900	2189320	59	A	1.0	4840	136	4705	4840
2193100	2261616	60	B	0.99	4992	152	4841	4992
2261798	2320768	61	A	0.99996	5100	108	4993	5100
2320854	2367120	62	A	0.99964	5207	107	5101	5207
2368820	2385960	63	B	0.77426	5248	41	5208	5248
2389340	2390360	64	A	0.99808	5249	1	5249	5249
2393020	2420432	65	C	0.99833	5297	48	5250	5297
2420566	2423660	66	A	0.80334	5305	8	5298	5305
