docLabel	start	end	count	rank	text
3Symp_2_05	1398662	1399548	1	0.05	other models
3Symp_2_05	1121422	1122920	1	0.05	real world projects
3Symp_2_05	435730	746556	2	0.05	local models
3Symp_2_05	1358058	1358576	1	0.05	global decision
3Symp_2_05	744556	746556	1	0.05	heterogeneous local models
3Symp_2_05	436866	523480	2	0.05	real world systems
3Symp_2_05	738854	940644	4	0.05	global parameters
3Symp_2_05	591382	655248	2	0.05	generative models
3Symp_2_05	375534	376628	1	0.05	model alignment
3Symp_2_05	653002	655248	1	0.04	generic hierarchical generative models
3Symp_2_05	1223998	1236504	2	0.04	global goals
3Symp_2_05	1563562	1569252	2	0.04	real world entities
3Symp_2_05	481320	482760	1	0.04	several real world challenges
3Symp_2_05	1066302	1067704	2	0.04	more data
3Symp_2_05	358922	360532	1	0.04	planetary scale decision support
