start	end	sentNum	speaker	confidence	wordPosSent	wordPosDoc	text
16580	16792	1	A	0.9954	1	1	Welcome.
16846	17252	2	A	0.36337	1	2	Raph,
17316	17930	2	A	0.99987	2	3	also
19020	19384	2	A	0.71	3	4	co
19422	19716	2	A	0.70962	4	5	author
19748	19848	2	A	0.99988	5	6	on
19854	19976	2	A	1.0	6	7	the
19998	20280	2	A	0.99924	7	8	paper.
20350	20970	3	B	0.97587	1	9	So
22220	22488	3	B	0.98731	2	10	how
22494	22568	3	B	0.79149	3	11	are
22574	22744	3	B	0.92558	4	12	you
22782	23370	3	B	0.9701	5	13	doing?
24380	24756	4	B	0.99901	1	14	I'm
24788	25176	4	B	0.52247	2	15	good.
25278	25544	5	B	0.94338	1	16	What
25582	25832	5	B	0.99831	2	17	about
25886	26490	5	B	0.99557	3	18	you?
27260	27768	6	A	0.9998	1	19	Pretty
27854	28200	6	A	0.99998	2	20	good.
28270	28504	7	A	0.99997	1	21	Other
28542	28744	7	A	1.0	2	22	than
28782	29032	7	A	0.99995	3	23	this
29086	29396	7	A	0.81361	4	24	brief
29428	29876	7	A	0.9996	5	25	interval
29908	30104	7	A	1.0	6	26	of
30142	30344	7	A	0.99989	7	27	white
30382	30680	7	A	0.81411	8	28	light,
30750	30948	7	A	0.99975	9	29	I'm
30964	31144	7	A	0.99989	10	30	just
31182	31556	7	A	0.98991	11	31	hanging
31588	32170	7	A	0.99641	12	32	out.
35260	36036	8	B	0.98166	1	33	Fantastic.
36068	36360	9	B	0.99525	1	34	So
36430	36628	9	B	0.99975	2	35	I'm
36644	36824	9	B	0.9996	3	36	trying
36862	36968	9	B	1.0	4	37	to
36974	37144	9	B	1.0	5	38	figure
37182	37384	9	B	0.8583	6	39	out
37422	37672	9	B	0.9995	7	40	here
37726	37944	9	B	0.98893	8	41	how
37982	38136	9	B	0.99	9	42	I
38158	38730	9	B	0.99984	10	43	can.
39460	39836	10	B	0.91124	1	44	I'm
39868	40064	10	B	0.99998	2	45	using
40102	40256	10	B	0.95	3	46	a
40278	40850	10	B	0.98131	4	47	different
41220	41724	10	B	0.93019	5	48	slide
41772	42204	10	B	0.98015	6	49	software,
42252	42416	10	B	0.99765	7	50	so
42438	42576	10	B	1.0	8	51	I
42598	42736	10	B	0.99908	9	52	need
42758	43280	10	B	0.99	10	53	to
43430	43696	10	B	0.99997	11	54	make
43718	43904	10	B	0.99999	12	55	sure
43942	44096	10	B	0.99975	13	56	that
44118	44256	10	B	0.99	14	57	I
44278	44704	10	B	0.99959	15	58	can
44822	45104	10	B	0.99931	16	59	pull
45142	45296	10	B	0.99775	17	60	this
45318	45456	10	B	0.99856	18	61	up
45478	45568	10	B	0.99855	19	62	in
45574	45648	10	B	1.0	20	63	the
45654	45824	10	B	0.99992	21	64	right
45862	46112	10	B	0.99983	22	65	way.
46166	46336	11	B	0.99482	1	66	So
46358	46496	11	B	0.99991	2	67	give
46518	46656	11	B	1.0	3	68	me
46678	46816	11	B	0.99982	4	69	just
46838	46976	11	B	0.99	5	70	a
46998	47184	11	B	0.99995	6	71	quick
47222	47520	11	B	0.88	7	72	second.
47590	48160	12	A	0.92823	1	73	Yeah,
48310	49010	12	A	0.98284	2	74	great.
50100	50512	13	B	0.9674	1	75	Cool.
50566	50784	14	A	0.98625	1	76	So
50822	51036	14	A	0.79029	2	77	just
51078	51284	14	A	0.99776	3	78	just
51322	51910	14	A	1.0	4	79	to
52360	52772	14	A	0.64162	5	80	read
52826	53044	14	A	0.99998	6	81	off
53082	53424	14	A	0.95922	7	82	what's
53472	53732	14	A	0.99998	8	83	coming
53786	53956	14	A	0.99995	9	84	while
53978	54212	14	A	0.7322	10	85	you
54266	54532	14	A	0.99998	11	86	figure
54586	55190	14	A	0.99999	12	87	that
