docLabel	sp	myTime	myTimeDisplay	myTimeSRT
3Symp_2_09	A	13740	00:13	00:00:13,472
3Symp_2_09	A	96878	01:36	00:01:36,184
3Symp_2_09	A	120590	02:00	00:02:00,095
3Symp_2_09	A	404536	06:44	00:06:44,694
3Symp_2_09	A	488830	08:08	00:08:08,418
3Symp_2_09	A	681488	11:21	00:11:21,164
3Symp_2_09	A	714060	11:54	00:11:54,490
3Symp_2_09	A	902600	15:02	00:15:02,135
3Symp_2_09	A	1004120	16:44	00:16:44,090
3Symp_2_09	A	1136820	18:56	00:18:56,029
3Symp_2_09	A	1306410	21:46	00:21:46,181
3Symp_2_09	A	1448440	24:08	00:24:08,305
3Symp_2_09	A	1565900	26:05	00:26:05,410
3Symp_2_09	A	1622206	27:02	00:27:02,461
3Symp_2_09	A	1928800	32:08	00:32:08,737
3Symp_2_09	A	2754120	45:54	00:45:54,485
3Symp_2_09	A	2884080	48:04	00:48:04,597
3Symp_2_09	A	3696160	1:01:36	01:01:36,112
3Symp_2_09	A	3820010	1:03:40	01:03:40,029
3Symp_2_09	A	3910140	1:05:10	01:05:10,811
3Symp_2_09	A	4231100	1:10:31	01:10:31,720
3Symp_2_09	A	4275960	1:11:15	01:11:15,109
3Symp_2_09	A	4334300	1:12:14	01:12:14,632
3Symp_2_09	A	4382860	1:13:02	01:13:02,058
3Symp_2_09	A	4512340	1:15:12	01:15:12,233
3Symp_2_09	A	4578860	1:16:18	01:16:18,838
3Symp_2_09	A	4642240	1:17:22	01:17:22,412
3Symp_2_09	A	5153290	1:25:53	01:25:53,404
3Symp_2_09	A	5230074	1:27:10	01:27:10,469
3Symp_2_09	A	5472520	1:31:12	01:31:12,687
3Symp_2_09	A	5527914	1:32:07	01:32:07,736
3Symp_2_09	B	52756	00:52	00:00:52,370
3Symp_2_09	B	103200	01:43	00:01:43,815
3Symp_2_09	B	5510866	1:31:50	01:31:50,725
3Symp_2_09	C	337210	05:37	00:05:37,081
3Symp_2_09	C	796268	13:16	00:13:16,192
3Symp_2_09	C	1365662	22:45	00:22:45,234
3Symp_2_09	C	1968110	32:48	00:32:48,777
3Symp_2_09	C	2590866	43:10	00:43:10,333
3Symp_2_09	C	3961894	1:06:01	01:06:01,268
3Symp_2_09	C	4638968	1:17:18	01:17:18,379
3Symp_2_09	C	4648030	1:17:28	01:17:28,470
3Symp_2_09	C	5237260	1:27:17	01:27:17,476
3Symp_2_09	D	409270	06:49	00:06:49,742
3Symp_2_09	D	1148100	19:08	00:19:08,035
3Symp_2_09	D	2823988	47:03	00:47:03,542
3Symp_2_09	D	2935464	48:55	00:48:55,648
3Symp_2_09	D	3730350	1:02:10	01:02:10,193
3Symp_2_09	D	3864758	1:04:24	01:04:24,417
3Symp_2_09	D	4179406	1:09:39	01:09:39,263
3Symp_2_09	D	4250696	1:10:50	01:10:50,916
3Symp_2_09	D	4307436	1:11:47	01:11:47,423
3Symp_2_09	D	4367402	1:12:47	01:12:47,963
3Symp_2_09	D	5171720	1:26:11	01:26:11,416
3Symp_2_09	E	515864	08:35	00:08:35,688
3Symp_2_09	E	1033440	17:13	00:17:13,324
3Symp_2_09	E	2133760	35:33	00:35:33,924
3Symp_2_09	E	3398720	56:38	00:56:38,063
3Symp_2_09	E	4716630	1:18:36	01:18:36,009
3Symp_2_09	E	5269560	1:27:49	01:27:49,508
3Symp_2_09	F	699800	11:39	00:11:39,347
3Symp_2_09	F	1453480	24:13	00:24:13,310
3Symp_2_09	F	1599860	26:39	00:26:39,444
3Symp_2_09	F	1665918	27:45	00:27:45,504
3Symp_2_09	F	2008118	33:28	00:33:28,811
3Symp_2_09	F	3005860	50:05	00:50:05,706
3Symp_2_09	F	3112102	51:52	00:51:52,807
3Symp_2_09	F	4503462	1:15:03	01:15:03,144
3Symp_2_09	F	4548400	1:15:48	01:15:48,593
3Symp_2_09	F	5330484	1:28:50	01:28:50,563
3Symp_2_09	F	5504242	1:31:44	01:31:44,719
3Symp_2_09	G	782418	13:02	00:13:02,054
3Symp_2_09	G	854848	14:14	00:14:14,718
3Symp_2_09	G	945780	15:45	00:15:45,567
3Symp_2_09	G	1742860	29:02	00:29:02,569
3Symp_2_09	G	3091660	51:31	00:51:31,786
3Symp_2_09	G	3237900	53:57	00:53:57,920
3Symp_2_09	G	5436942	1:30:36	01:30:36,657
