start	end	paragNum	speaker	pconfid	wordPos	paragWordPos	paragFirstWordCount	paragLastWordCount
4980	35628	1	A	0.64	53	53	1	53
35724	49536	2	B	0.9969	95	42	54	95
49568	50310	3	B	1.0	97	2	96	97
54900	100930	4	A	0.99961	189	92	98	189
103780	134780	5	A	0.99992	249	60	190	249
135360	142860	6	A	0.90671	269	20	250	269
146330	207734	7	A	0.99888	393	124	270	393
207932	218250	8	A	0.96	408	15	394	408
220830	243090	9	A	1.0	464	56	409	464
243510	291540	10	A	0.99995	552	88	465	552
298180	336320	11	A	0.99993	633	81	553	633
340290	398138	12	A	0.99998	761	128	634	761
398234	465430	13	A	0.99998	869	108	762	869
469950	508280	14	A	0.74463	935	66	870	935
510810	564920	15	A	1.0	1023	88	936	1023
567230	584080	16	A	0.99	1056	33	1024	1056
587380	664820	17	A	1.0	1194	138	1057	1194
664980	710410	18	A	0.64	1288	94	1195	1288
711260	741164	19	A	0.67458	1357	69	1289	1357
741202	781920	20	A	0.99999	1440	83	1358	1440
783060	793510	21	A	0.99991	1462	22	1441	1462
795880	835836	22	A	0.84722	1543	81	1463	1543
835868	838160	23	A	0.9891	1547	4	1544	1547
840580	877928	24	A	0.99	1633	86	1548	1633
878024	917530	25	A	1.0	1724	91	1634	1724
917840	931520	26	A	0.99989	1747	23	1725	1747
933620	953220	27	A	1.0	1783	36	1748	1783
955800	993510	28	A	0.99979	1856	73	1784	1856
994200	1042560	29	A	1.0	1954	98	1857	1954
1044840	1066280	30	A	0.99845	1999	45	1955	1999
1069040	1099792	31	A	0.73249	2056	57	2000	2056
1099936	1112040	32	A	0.99	2077	21	2057	2077
1116650	1138320	33	A	0.99873	2119	42	2078	2119
1140450	1188506	34	A	0.99999	2216	97	2120	2216
1188698	1212120	35	A	1.0	2247	31	2217	2247
1216070	1225000	36	A	0.9999	2266	19	2248	2266
1227210	1248666	37	A	0.99997	2315	49	2267	2315
1248858	1294218	38	A	1.0	2396	81	2316	2396
1294384	1303630	39	A	1.0	2419	23	2397	2419
1306210	1337286	40	A	0.99584	2482	63	2420	2482
1337398	1375442	41	A	0.9894	2544	62	2483	2544
1375506	1406030	42	A	0.63987	2603	59	2545	2603
1411100	1462570	43	A	0.65	2693	90	2604	2693
1463200	1508090	44	A	0.99979	2756	63	2694	2756
1512720	1522690	45	A	1.0	2772	16	2757	2772
1525540	1586820	46	A	0.99981	2885	113	2773	2885
1587480	1624160	47	A	1.0	2943	58	2886	2943
1627740	1664390	48	A	0.9978	3011	68	2944	3011
1667100	1676920	49	A	0.88709	3030	19	3012	3030
1679180	1717940	50	A	0.99992	3112	82	3031	3112
1718020	1771240	51	A	0.68	3218	106	3113	3218
1773020	1796080	52	A	0.99988	3285	67	3219	3285
1796980	1841820	53	A	0.99982	3375	90	3286	3375
1843700	1884780	54	A	0.99525	3451	76	3376	3451
1885600	1899760	55	A	1.0	3496	45	3452	3496
1902870	1956100	56	A	0.99884	3585	89	3497	3585
1958330	1994980	57	A	0.9398	3667	82	3586	3667
1995430	2035280	58	A	1.0	3746	79	3668	3746
2035970	2065190	59	A	0.99997	3826	80	3747	3826
2067770	2088560	60	A	1.0	3875	49	3827	3875
2089570	2091760	61	A	0.99917	3882	7	3876	3882
2094230	2114710	62	A	0.95845	3920	38	3883	3920
2117560	2136940	63	A	0.99996	3951	31	3921	3951
2137440	2159908	64	A	0.9998	4006	55	3952	4006
2159994	2195180	65	A	0.99993	4072	66	4007	4072
2195700	2223716	66	A	0.95892	4135	63	4073	4135
2223748	2241790	67	A	0.99955	4177	42	4136	4177
2245680	2275060	68	A	0.73	4225	48	4178	4225
2275220	2310980	69	A	1.0	4290	65	4226	4290
2311320	2338732	70	A	0.99301	4352	62	4291	4352
2338786	2366550	71	A	1.0	4413	61	4353	4413
2369660	2397904	72	A	0.97	4459	46	4414	4459
2398102	2423450	73	A	0.99995	4502	43	4460	4502
