docLabel	start	end	count	rank	text
3Symp_2_09	2114620	2115748	1	0.06	active inference models
3Symp_2_09	161568	5440324	39	0.05	active inference
3Symp_2_09	826322	4034584	5	0.05	other people
3Symp_2_09	4072122	4565280	2	0.05	other things
3Symp_2_09	4024362	4025300	1	0.05	active inference agents
3Symp_2_09	4939164	4939674	1	0.05	different things
3Symp_2_09	1269902	1271656	1	0.05	many other negative things
3Symp_2_09	671210	673602	1	0.05	single agent active inference
3Symp_2_09	3292722	3293784	1	0.05	active insurance models
3Symp_2_09	2462686	2464932	1	0.05	different space time scales
3Symp_2_09	1368302	1368824	1	0.05	different way
3Symp_2_09	4090722	4100190	2	0.04	signal processing people
3Symp_2_09	2387014	4627556	2	0.04	different scales
3Symp_2_09	1127704	1130508	2	0.04	conscious things
3Symp_2_09	1129346	1130508	1	0.04	non conscious things
