start	end	paragNum	speaker	pconfid	wordPos	paragWordPos	paragFirstWordCount	paragLastWordCount
3600	4150	1	A	0.66757	1	1	1	1
7800	52610	2	B	0.99988	94	93	2	94
53400	61750	3	B	0.85247	112	18	95	112
66100	83290	4	B	0.81026	153	41	113	153
85340	172100	5	A	0.99934	284	131	154	284
172250	198760	6	A	0.99993	330	46	285	330
198840	241210	7	B	0.9999	426	96	331	426
242720	299660	8	B	0.56818	521	95	427	521
301120	375868	9	A	0.99	635	114	522	635
375964	398940	10	B	0.99973	691	56	636	691
402960	468144	11	A	0.99973	788	97	692	788
468272	553740	12	A	0.99999	918	130	789	918
553810	618310	13	B	0.99941	1051	133	919	1051
624420	642180	14	B	0.99981	1093	42	1052	1093
646280	654090	15	B	1.0	1120	27	1094	1120
661430	737660	16	A	0.99687	1244	124	1121	1244
741970	822354	17	A	0.99718	1369	125	1245	1369
822402	891040	18	A	1.0	1482	113	1370	1482
892530	938640	19	B	0.99963	1587	105	1483	1587
939810	991840	20	B	0.99994	1677	90	1588	1677
995730	1041120	21	A	1.0	1746	69	1678	1746
1046130	1079690	22	A	0.8893	1820	74	1747	1820
1080110	1109730	23	B	0.99998	1872	52	1821	1872
1112890	1115800	24	B	0.99915	1880	8	1873	1880
1120570	1180140	25	A	0.99998	1972	92	1881	1972
1182670	1237870	26	A	1.0	2069	97	1973	2069
1242450	1271800	27	B	0.99981	2128	59	2070	2128
1275930	1333580	28	A	0.75357	2227	99	2129	2227
1334590	1372070	29	B	0.99997	2277	50	2228	2277
1374840	1468080	30	A	0.99905	2409	132	2278	2409
1469720	1527476	31	B	0.9991	2511	102	2410	2511
1527658	1559250	32	B	0.52118	2580	69	2512	2580
1561380	1607920	33	B	0.99889	2689	109	2581	2689
1608070	1671430	34	A	0.99956	2799	110	2690	2799
1672040	1730550	35	B	1.0	2933	134	2800	2933
1731580	1733850	36	B	0.99758	2941	8	2934	2941
1736860	1751580	37	B	1.0	2966	25	2942	2966
1755290	1758860	38	B	0.96876	2973	7	2967	2973
1761310	1854630	39	A	1.0	3133	160	2974	3133
1855610	1876490	40	A	0.99999	3166	33	3134	3166
1879390	1940706	41	B	0.99955	3293	127	3167	3293
1940888	1957110	42	B	0.99933	3329	36	3294	3329
1957180	1976640	43	A	0.99991	3371	42	3330	3371
1979170	2027790	44	B	0.99987	3450	79	3372	3450
2028370	2068220	45	B	0.99986	3516	66	3451	3516
2070510	2178190	46	A	0.99905	3683	167	3517	3683
2178260	2241170	47	A	0.99998	3790	107	3684	3790
2242230	2258790	48	B	0.99998	3814	24	3791	3814
2261070	2328910	49	A	0.99814	3913	99	3815	3913
2329250	2376320	50	A	0.7298	3973	60	3914	3973
2379650	2425454	51	B	0.99995	4055	82	3974	4055
2425572	2455474	52	B	0.99997	4120	65	4056	4120
2455602	2478800	53	B	1.0	4170	50	4121	4170
2480930	2489620	54	B	0.93	4191	21	4171	4191
2491750	2582330	55	A	0.99994	4334	143	4192	4334
2582410	2605874	56	B	0.85386	4404	70	4335	4404
2606002	2640500	57	B	0.99983	4485	81	4405	4485
2642870	2646500	58	A	0.99996	4492	7	4486	4492
2671000	2713564	59	B	0.99536	4591	99	4493	4591
2713692	2729590	60	B	0.99998	4633	42	4592	4633
2732300	2796620	61	A	0.99686	4738	105	4634	4738
2798880	2934090	62	B	1.0	4978	240	4739	4978
2934700	2947470	63	A	1.0	5004	26	4979	5004
2950560	2982328	64	B	0.99993	5074	70	5005	5074
2982494	3005340	65	B	0.99855	5114	40	5075	5114
3008180	3011650	66	B	0.99996	5122	8	5115	5122
3015220	3048460	67	A	0.99935	5173	51	5123	5173
3051040	3131800	68	A	0.57997	5284	111	5174	5284
3133980	3181530	69	B	0.99818	5395	111	5285	5395
3184780	3202300	70	A	0.99916	5426	31	5396	5426
3204900	3272660	71	A	0.70509	5521	95	5427	5521
3275850	3321842	72	B	0.99996	5614	93	5522	5614
3321906	3357300	73	B	1.0	5665	51	5615	5665
3359750	3466498	74	A	0.99924	5819	154	5666	5819
3466584	3510450	75	A	0.69554	5879	60	5820	5879
3513190	3528520	76	A	0.99945	5898	19	5880	5898
3531870	3601390	77	A	0.50106	5999	101	5899	5999
3607330	3699630	78	A	0.82	6141	142	6000	6141
3699970	3738700	79	B	0.51	6212	71	6142	6212
3742190	3839980	80	A	0.99929	6355	143	6213	6355
3843070	3889260	81	A	0.82979	6444	89	6356	6444
3890430	3918654	82	B	0.94	6491	47	6445	6491
3918702	3995760	83	A	0.99998	6609	118	6492	6609
4000610	4008980	84	A	0.9994	6629	20	6610	6629
4021560	4055780	85	B	0.01314	6688	59	6630	6688
4058230	4127160	86	A	0.98919	6801	113	6689	6801
4129870	4224310	87	A	0.99986	6944	143	6802	6944
4224650	4272070	88	A	0.96	7011	67	6945	7011
4275930	4299790	89	A	0.70474	7069	58	7012	7069
4300530	4364340	90	B	0.96	7208	139	7070	7208
4365610	4370760	91	B	0.69917	7222	14	7209	7222
