start	end	sentNum	speaker	confidence	wordPosSent	wordPosDoc	text
420	970	1	A	0.60527	1	1	You.
5180	5496	2	B	0.97	1	2	All
5518	5896	2	B	0.99964	2	3	right.
5998	6484	3	C	0.71	1	4	July
6532	7332	3	C	0.87	2	5	25,
7476	7896	3	C	1.0	3	6	2023.
7918	9832	4	C	0.93	1	7	And
9886	10056	4	C	0.91756	2	8	we
10078	10264	4	C	0.97785	3	9	are
10302	10504	4	C	0.99998	4	10	in
10542	10792	4	C	1.0	5	11	the
10846	11332	4	C	0.89837	6	12	discussion
11396	12100	4	C	0.99967	7	13	section,
12260	12756	4	C	0.99988	8	14	basics
12788	12936	4	C	1.0	9	15	of
12958	13236	4	C	0.97645	10	16	Active
13268	13780	4	C	0.98819	11	17	Inference.
13860	14056	5	C	0.99996	1	18	This
14078	14264	5	C	0.99994	2	19	is
14302	14456	5	C	1.0	3	20	the
14478	14760	5	C	1.0	4	21	first
14830	15364	5	C	0.99998	5	22	discussion
15412	15764	5	C	0.99843	6	23	section
15812	15976	5	C	0.99032	7	24	that
15998	16196	5	C	0.99846	8	25	we've
16228	16376	5	C	0.99981	9	26	had
16398	16536	5	C	0.99965	10	27	for
16558	17080	5	C	0.98416	11	28	this
17230	17880	5	C	0.99999	12	29	course,
18030	18344	5	C	0.99984	13	30	so
18382	18536	5	C	0.99997	14	31	thank
18558	18696	5	C	0.99999	15	32	you
18718	18952	5	C	1.0	16	33	all
19006	19224	5	C	0.99999	17	34	for
19262	20148	5	C	0.93385	18	35	joining.
20324	20664	6	C	1.0	1	36	And
20702	20948	6	C	0.88138	2	37	it's
20964	21096	6	C	0.84964	3	38	going
21118	21208	6	C	1.0	4	39	to
21214	21576	6	C	0.99657	5	40	be
21678	22580	6	C	0.7106	6	41	regarding
22740	23016	6	C	1.0	7	42	the
23038	23444	6	C	0.9999	8	43	topics
23492	23704	6	C	0.99998	9	44	that
23742	23956	6	C	0.88661	10	45	Ben
23988	24424	6	C	0.73474	11	46	White
24542	25164	6	C	0.9686	12	47	introduced
25252	25696	6	C	0.99282	13	48	in
