start	end	sentNum	speaker	confidence	wordPosSent	wordPosDoc	text
410	670	1	A	0.3922	1	1	Hello.
740	926	2	A	0.55	1	2	All
948	1520	2	A	0.99481	2	3	right.
1970	2334	3	B	0.99985	1	4	Hello
2372	2526	3	B	1.0	2	5	and
2548	2830	3	B	1.0	3	6	welcome,
2900	3374	3	B	0.99998	4	7	everyone.
3492	3774	4	B	0.61819	1	8	It
3812	4350	4	B	0.99872	2	9	is
4500	5306	4	B	0.98	3	10	July
5418	5946	4	B	0.97	4	11	11,
6058	7646	4	B	0.92	5	12	2023.
7828	8126	5	B	0.99999	1	13	We
8148	8334	5	B	0.91667	2	14	are
8372	8574	5	B	0.99995	3	15	in
8612	8986	5	B	0.97813	4	16	active
9018	9482	5	B	0.7293	5	17	inference
9546	9726	5	B	1.0	6	18	for
9748	9886	5	B	1.0	7	19	the
9908	10190	5	B	1.0	8	20	social
10260	11066	5	B	0.99354	9	21	sciences,
11258	11662	5	B	1.0	10	22	and
11716	11934	5	B	1.0	11	23	today
11972	12126	5	B	0.9981	12	24	is
12148	12286	5	B	1.0	13	25	going
12308	12446	5	B	1.0	14	26	to
12468	12654	5	B	0.99995	15	27	be
12692	12846	5	B	1.0	16	28	a
12868	13194	5	B	0.99998	17	29	lecture
13242	13502	5	B	1.0	18	30	by
13556	13834	5	B	0.99967	19	31	Ben
13882	14238	5	B	0.99995	20	32	White
14324	14766	5	B	1.0	21	33	on
14868	15402	5	B	0.99969	22	34	basics
15466	15646	5	B	1.0	23	35	of
15668	15978	5	B	0.99887	24	36	active
15994	16394	5	B	0.99855	25	37	inference,
16442	16606	5	B	1.0	26	38	the
16628	16906	5	B	0.99943	27	39	active
16938	17274	5	B	0.88683	28	40	inference
17322	17774	5	B	0.99994	29	41	agent.
17892	18174	6	B	1.0	1	42	So,
18212	18554	6	B	0.99985	2	43	Ben,
18602	18766	6	B	0.99999	3	44	thank
18788	18926	6	B	0.91551	4	45	you
18948	19134	6	B	0.99997	5	46	for
19172	19326	6	B	1.0	6	47	the
19348	19994	6	B	0.99996	7	48	lecture.
20122	20414	7	B	0.99937	1	49	Off
20452	20606	7	B	1.0	2	50	to
20628	20958	7	B	0.99998	3	51	you,
21044	21678	7	B	0.81	4	52	and
21844	22186	7	B	0.68713	5	53	we're
22218	22414	7	B	1.0	6	54	looking
22452	22654	7	B	0.99986	7	55	forward
22692	22894	7	B	0.83	8	56	to
22932	23566	7	B	0.99998	9	57	it.
23748	24094	8	A	0.99996	1	58	Thank
24132	24286	8	A	0.99997	2	59	you
24308	24446	8	A	0.99994	3	60	very
24468	24702	8	A	0.99899	4	61	much.
24756	25094	9	A	0.98365	1	62	Yeah,
25172	25366	9	A	0.95371	2	63	me
25388	25960	9	A	0.79	3	64	too.
26330	27078	10	A	0.99111	1	65	Very
27244	27622	10	A	0.99995	2	66	happy
27676	27846	10	A	1.0	3	67	to
27868	27958	10	A	0.99999	4	68	be
27964	28086	10	A	0.62	5	69	a
28108	28246	10	A	1.0	6	70	part
28268	28406	10	A	1.0	7	71	of
28428	28998	10	A	0.99917	8	72	this,
29164	29446	10	A	1.0	9	73	to
29468	29558	10	A	0.99996	10	74	be
29564	29906	10	A	0.52114	11	75	kicking
29938	30134	10	A	1.0	12	76	things
30172	30374	10	A	1.0	13	77	off
30412	30710	10	A	0.99976	14	78	with
30780	30966	10	A	1.0	15	79	the
30988	31174	10	A	1.0	16	80	first
31212	32018	10	A	0.99992	17	81	module
32194	32486	10	A	0.99971	18	82	on
32508	32694	10	A	0.99999	19	83	this
32732	33320	10	A	0.99965	20	84	course.
33930	34258	11	A	0.99802	1	85	I'm
34274	34358	11	A	0.98866	2	86	going
34364	34438	11	A	1.0	3	87	to
34444	34614	11	A	0.99552	4	88	be
34652	34902	11	A	0.99999	5	89	talking
34956	35558	11	A	1.0	6	90	about
35724	36054	11	A	1.0	7	91	the
36092	36386	11	A	0.99491	8	92	active
36418	36834	11	A	0.91565	9	93	inference
36882	37190	11	A	0.99976	10	94	agent
37260	37590	11	A	1.0	11	95	and
37660	37894	11	A	0.98232	12	96	trying
37932	38038	11	A	1.0	13	97	to
38044	38214	11	A	0.99994	14	98	cover
38252	38358	11	A	0.99998	15	99	some
