text	entity_type		start	end
July 11, 2023	date		4500	7678
social sciences	occupation		9908	11018
Ben White	person_name		13556	14238
Ben	person_name		18276	18554
Avil	person_name		41900	42398
PhD student	occupation		48416	49290
philosophy	occupation		49568	50006
University of Sussex	organization		50288	51094
Andy Clark	person_name		51812	52522
Avel	person_name		53012	53466
phenomenology	occupation		95632	96646
philosophical	occupation		123928	124622
Carl Fristen	person_name		172328	173038
Ramstard	person_name		551632	552198
Berenberg	person_name		568312	568926
scientist	occupation		573022	573678
scientists	occupation		578412	578962
Amazon rainforest	location		708964	710186
Amazon	location		740144	740970
Amazon	location		755444	755834
agents	occupation		808548	808910
James Gibson	person_name		831324	832482
Cole Friston	person_name		857042	858160
theoretical cognitive science	occupation		864166	865964
radical	political_affiliation		956892	957244
philosophy	occupation		996258	996616
cognitive science	occupation		996754	997544
cognitive science	occupation		1096578	1097384
Jacob Howie	person_name		1108566	1109404
Andy Clark	person_name		1122122	1123216
Jacob Howie	person_name		1123408	1124912
Clark	person_name		1133444	1133844
Howie	person_name		1149586	1149896
Clark	person_name		1150034	1150344
Maxwell Ramstead	person_name		1153542	1154428
Howie	person_name		1171488	1171856
Axel Constant	person_name		1179582	1180532
Andy Clark	person_name		1180798	1181396
Carl Friston	person_name		1181598	1182516
authors	occupation		1268474	1268784
cognitivism	political_affiliation		1362886	1363564
cognitivism	political_affiliation		1366538	1367344
Andy Clark	person_name		1411366	1412044
authors	occupation		1413228	1413516
Clark	person_name		1439660	1440164
Clark	person_name		1463142	1463672
philosophy of mind	occupation		1581548	1582566
theoretical cognitive science	occupation		1582668	1584354
Andy Clark	person_name		1615252	1616154
intravenous drip	medical_process		1620728	1621902
Agents	occupation		1629416	1629778
folk psychology	occupation		1655732	1656602
folk psychology	occupation		1657636	1658522
folk psychology	occupation		1662260	1663258
folk psychology	occupation		1680970	1681890
folk psychology	occupation		1699008	1699782
Fristen	person_name		1723992	1724446
Thornton	person_name		1724478	1724974
Clark	person_name		1725144	1725550
Colin Klein	person_name		1757792	1758522
Klein	person_name		1768772	1769134
Klein	person_name		1775112	1775454
