start	end	paragNum	speaker	pconfid	wordPos	paragWordPos	paragFirstWordCount	paragLastWordCount
650	19994	1	A	0.52571	46	46	1	46
20122	39350	2	B	0.99705	100	54	47	100
39930	99530	3	A	0.98	256	156	101	256
99600	128920	4	A	1.0	348	92	257	348
129370	162880	5	A	1.0	434	86	349	434
163490	192102	6	A	0.91	524	90	435	524
192166	222622	7	A	0.76	598	74	525	598
222686	260960	8	A	1.0	709	111	599	709
262630	310510	9	A	0.56656	834	125	710	834
311170	349878	10	A	1.0	935	101	835	935
349974	380194	11	A	0.86	1028	93	936	1028
380322	410858	12	A	0.99939	1111	83	1029	1111
411034	440626	13	A	1.0	1204	93	1112	1204
440658	471490	14	A	1.0	1309	105	1205	1309
472150	497420	15	A	1.0	1378	69	1310	1378
499790	527042	16	A	1.0	1459	81	1379	1459
527186	567186	17	A	0.91	1571	112	1460	1571
567368	601462	18	A	1.0	1652	81	1572	1652
601526	640214	19	A	1.0	1795	143	1653	1795
640252	652240	20	A	0.99	1836	41	1796	1836
654610	675458	21	A	0.91	1905	69	1837	1905
675624	704842	22	A	1.0	1996	91	1906	1996
704986	730050	23	A	1.0	2084	88	1997	2084
730130	780406	24	A	0.84	2212	128	2085	2212
780508	824980	25	A	1.0	2336	124	2213	2336
825830	839530	26	A	1.0	2379	43	2337	2379
844480	886090	27	A	1.0	2483	104	2380	2483
887100	939544	28	A	1.0	2590	107	2484	2590
939662	981540	29	A	1.0	2684	94	2591	2684
981700	1012636	30	A	1.0	2760	76	2685	2760
1012748	1049820	31	A	0.99822	2865	105	2761	2865
1050240	1105024	32	A	0.99	2994	129	2866	2994
1105142	1136596	33	A	1.0	3066	72	2995	3066
1136708	1172470	34	A	0.88	3157	91	3067	3157
1175800	1218928	35	A	1.0	3267	110	3158	3267
1219104	1241628	36	A	1.0	3324	57	3268	3324
1241714	1280020	37	A	1.0	3432	108	3325	3432
1280180	1292780	38	A	1.0	3457	25	3433	3457
1295040	1330916	39	A	0.7	3538	81	3458	3538
1331108	1374720	40	A	0.99996	3656	118	3539	3656
1374800	1409360	41	A	0.84	3737	81	3657	3737
1410900	1477690	42	A	0.52	3908	171	3738	3908
1478540	1516400	43	A	1.0	3999	91	3909	3999
1516480	1543100	44	A	1.0	4064	65	4000	4064
1544560	1568790	45	A	1.0	4109	45	4065	4109
1571000	1599802	46	A	0.99549	4182	73	4110	4182
1599936	1629362	47	A	1.0	4268	86	4183	4268
1629416	1679606	48	A	0.9999	4392	124	4269	4392
1679788	1702060	49	A	1.0	4452	60	4393	4452
1704030	1738882	50	A	1.0	4557	105	4453	4557
1739026	1747210	51	A	1.0	4574	17	4558	4574
1749790	1788054	52	A	1.0	4679	105	4575	4679
1788092	1838834	53	A	1.0	4806	127	4680	4806
1838962	1884694	54	A	1.0	4936	130	4807	4936
1884812	1922414	55	A	1.0	5019	83	4937	5019
1922462	1954506	56	A	1.0	5107	88	5020	5107
1954698	1988946	57	A	1.0	5193	86	5108	5193
1989138	2020542	58	A	1.0	5276	83	5194	5276
2020606	2048842	59	A	1.0	5353	77	5277	5353
2048896	2097162	60	A	1.0	5477	124	5354	5477
2097216	2115710	61	A	1.0	5527	50	5478	5527
2117990	2119940	62	A	0.99	5533	6	5528	5533
2122870	2140390	63	A	1.0	5572	39	5534	5572
2142830	2182600	64	A	0.92	5684	112	5573	5684
2183290	2248890	65	A	0.9	5840	156	5685	5840
2249040	2301020	66	A	1.0	5962	122	5841	5962
2301470	2351958	67	A	1.0	6084	122	5963	6084
2352054	2384802	68	A	0.91	6171	87	6085	6171
2384866	2419300	69	A	0.99992	6270	99	6172	6270
2419750	2440440	70	A	1.0	6329	59	6271	6329
2442730	2487640	71	A	0.99897	6459	130	6330	6459
2488490	2519806	72	A	1.0	6536	77	6460	6536
2519918	2531910	73	A	1.0	6560	24	6537	6560
2533930	2580920	74	A	0.93	6672	112	6561	6672
2582410	2587240	75	A	0.99798	6679	7	6673	6679
2591210	2610880	76	A	0.98748	6733	54	6680	6733
2612930	2641790	77	A	0.98655	6815	82	6734	6815
2641970	2688802	78	A	0.87	6942	127	6816	6942
2688866	2722718	79	A	1.0	7018	76	6943	7018
2722894	2776398	80	A	1.0	7152	134	7019	7152
2776574	2812350	81	A	0.9	7237	85	7153	7237
2812850	2855274	82	A	0.78	7336	99	7238	7336
2855402	2908480	83	A	1.0	7449	113	7337	7449
2911170	2933030	84	A	0.99	7505	56	7450	7505
2935450	2965406	85	A	1.0	7602	97	7506	7602
2965508	2991962	86	A	1.0	7671	69	7603	7671
2992016	3042858	87	A	0.7	7780	109	7672	7780
3043024	3080340	88	A	1.0	7874	94	7781	7874
3081030	3120820	89	A	1.0	7977	103	7875	7977
3121990	3158494	90	A	1.0	8070	93	7978	8070
3158532	3185574	91	A	0.94047	8143	73	8071	8143
3185772	3224814	92	A	0.77	8241	98	8144	8241
