start	end	sentNum	speaker	confidence	wordPosSent	wordPosDoc	text
650	1200	1	A	0.52571	1	1	Alright.
1810	2270	2	B	0.74579	1	2	Hello
2340	2526	2	B	1.0	2	3	and
2548	2830	2	B	0.99998	3	4	welcome
2900	3422	2	B	0.99997	4	5	everyone.
3556	3806	3	B	1.0	1	6	It
3828	4350	3	B	0.99927	2	7	is
4500	5226	3	B	0.59	3	8	July
5338	6074	3	B	0.48	4	9	11,
6122	7678	3	B	0.87	5	10	2023.
7844	8126	4	B	1.0	1	11	We
8148	8286	4	B	0.99919	2	12	are
8308	8590	4	B	0.63918	3	13	in
8660	8986	4	B	0.79656	4	14	active
9018	9514	4	B	0.88378	5	15	inference
9562	9726	4	B	1.0	6	16	for
9748	9886	4	B	1.0	7	17	the
9908	10190	4	B	1.0	8	18	social
10260	11018	4	B	0.92633	9	19	sciences
11194	11582	4	B	0.65	10	20	and
11636	11902	4	B	0.91	11	21	today
11956	12126	4	B	0.99858	12	22	is
12148	12286	4	B	0.99997	13	23	going
12308	12398	4	B	1.0	14	24	to
12404	12574	4	B	0.93826	15	25	be
12612	12766	4	B	0.61	16	26	a
12788	13194	4	B	0.99283	17	27	lecture
13242	13502	4	B	0.99999	18	28	by
13556	13866	4	B	0.99977	19	29	Ben
13898	14238	4	B	0.99989	20	30	White
14324	14766	4	B	1.0	21	31	on
14868	15354	4	B	0.99992	22	32	basics
15402	15614	4	B	0.76	23	33	of
15652	15978	4	B	0.99964	24	34	active
15994	16426	4	B	0.86377	25	35	inference,
16458	16606	4	B	1.0	26	36	the
16628	16858	4	B	0.99966	27	37	active
16874	17306	4	B	0.63378	28	38	inference
17338	17774	4	B	0.97179	29	39	agent.
17892	18222	5	B	0.99	1	40	So
18276	18554	5	B	0.99926	2	41	Ben,
18602	18766	5	B	0.99941	3	42	thank
18788	18926	5	B	0.99	4	43	you
18948	19134	5	B	1.0	5	44	for
19172	19326	5	B	0.83	6	45	the
19348	19994	5	B	0.56712	7	46	lecture.
20122	20414	6	B	0.99705	1	47	Off
20452	20606	6	B	1.0	2	48	to
20628	20958	6	B	0.99	3	49	you
21044	21678	6	B	1.0	4	50	and
21844	22186	6	B	0.99201	5	51	we're
22218	22414	6	B	1.0	6	52	looking
22452	22702	6	B	0.99128	7	53	forward
22756	22926	6	B	1.0	8	54	to
22948	23566	6	B	1.0	9	55	it.
23748	24094	7	A	0.99976	1	56	Thank
24132	24238	7	A	1.0	2	57	you
24244	24414	7	A	0.56657	3	58	very
24452	24702	7	A	0.97725	4	59	much.
24756	25094	8	A	0.96	1	60	Yeah,
25172	25366	8	A	0.99879	2	61	me
25388	25960	8	A	0.99705	3	62	too.
26330	27078	9	A	0.90023	1	63	Very
27244	27622	9	A	0.99999	2	64	happy
27676	27846	9	A	1.0	3	65	to
27868	27958	9	A	1.0	4	66	be
27964	28086	9	A	1.0	5	67	a
28108	28246	9	A	0.99999	6	68	part
28268	28406	9	A	1.0	7	69	of
28428	28950	9	A	0.98	8	70	this,
29100	29414	9	A	0.59	9	71	to
29452	29558	9	A	0.99995	10	72	be
29564	29906	9	A	0.99927	11	73	kicking
29938	30134	9	A	1.0	12	74	things
30172	30374	9	A	0.99998	13	75	off
30412	30710	9	A	0.99946	14	76	with
30780	30966	9	A	1.0	15	77	the
30988	31174	9	A	1.0	16	78	first
31212	32018	9	A	0.99477	17	79	module
32194	32486	9	A	1.0	18	80	on
32508	32694	9	A	1.0	19	81	this
32732	33320	9	A	0.99955	20	82	course.
33850	34258	10	A	0.84511	1	83	I'm
34274	34358	10	A	0.99854	2	84	going
34364	34438	10	A	1.0	3	85	to
34444	34566	10	A	0.99976	4	86	be
34588	34822	10	A	0.97137	5	87	talking
34876	35526	10	A	0.80037	6	88	about
35708	36006	10	A	1.0	7	89	the
36028	36386	10	A	0.98543	8	90	active
36418	36834	10	A	0.98051	9	91	inference
36882	37190	10	A	0.99747	10	92	agent
37260	37590	10	A	1.0	11	93	and
37660	37894	10	A	0.98542	12	94	trying
37932	38038	10	A	1.0	13	95	to
38044	38214	10	A	0.99992	14	96	cover
38252	38358	10	A	0.99998	15	97	some
38364	38438	10	A	1.0	16	98	of
38444	38566	10	A	1.0	17	99	the
38588	39350	10	A	0.99993	18	100	basics.
39930	40246	11	A	0.98	1	101	I
40268	40498	11	A	0.99119	2	102	won't
40514	40646	11	A	0.99989	3	103	take
40668	40806	11	A	0.69252	4	104	too
40828	41014	11	A	1.0	5	105	long
41052	41506	11	A	0.55013	6	106	introducing
41538	41830	11	A	0.99651	7	107	myself.
41900	42398	12	A	0.22586	1	108	Avil
42434	42586	12	A	0.99997	2	109	gave
42608	42698	12	A	1.0	3	110	a
42704	42826	12	A	0.99917	4	111	very
42848	43174	12	A	0.51649	5	112	thorough
43222	44010	12	A	0.47365	6	113	introduction
44590	45098	12	A	0.99987	7	114	in
45184	45434	12	A	0.9904	8	115	his
45472	45866	12	A	0.77796	9	116	talk
45968	46534	12	A	0.98622	10	117	recently,
46582	46746	12	A	0.99996	11	118	but
46768	47382	12	A	0.61567	12	119	I'm
47526	47786	12	A	1.0	13	120	a
47808	48042	12	A	1.0	14	121	second
48096	48362	12	A	0.99789	15	122	year
48416	48934	12	A	0.82948	16	123	PhD
48982	49290	12	A	0.99991	17	124	student
49360	49546	12	A	0.99995	18	125	in
49568	50006	12	A	0.99993	19	126	philosophy
50038	50138	12	A	1.0	20	127	at
50144	50266	12	A	1.0	21	128	the
50288	50566	12	A	0.99997	22	129	University
50598	50698	12	A	1.0	23	130	of
50704	51094	12	A	0.96985	24	131	Sussex,
51142	51258	12	A	1.0	25	132	and
51264	51398	12	A	0.87	26	133	I
51424	51566	12	A	0.96105	27	134	work
51588	51774	12	A	0.99999	28	135	with
51812	52106	12	A	0.98008	29	136	Andy
52138	52522	12	A	0.99938	30	137	Clark
52586	52766	12	A	1.0	31	138	and
52788	52974	12	A	0.99857	32	139	with
53012	53466	12	A	0.54844	33	140	Avel
53498	53646	12	A	1.0	34	141	and
53668	53806	12	A	0.99999	35	142	some
53828	53966	12	A	0.9999	36	143	other
53988	54606	12	A	0.80824	37	144	people
54788	55326	12	A	0.9981	38	145	using
55428	55786	12	A	0.85967	39	146	active
55818	56746	12	A	0.70221	40	147	inference
56938	57342	12	A	1.0	41	148	to
57396	57518	12	A	1.0	42	149	try
57524	57694	12	A	0.67	43	150	and
57732	57934	12	A	0.99985	44	151	find
57972	58222	12	A	0.9967	45	152	things
58276	58494	12	A	1.0	46	153	out
58532	58830	12	A	0.99999	47	154	about
58900	59230	12	A	1.0	48	155	our
59300	59774	12	A	0.99998	49	156	relationship
59892	60270	12	A	1.0	50	157	with
60340	60910	12	A	0.99999	51	158	technology
61060	61422	12	A	0.99	52	159	and
61476	61694	12	A	0.99987	53	160	within
61732	61886	12	A	1.0	54	161	the
61908	62234	12	A	0.88395	55	162	context
62282	62506	12	A	1.0	56	163	of
62548	62706	12	A	0.99947	57	164	well
62728	62962	12	A	0.88781	58	165	being
63016	63138	12	A	0.99	59	166	and
63144	63406	12	A	0.99733	60	167	mental
63438	64020	12	A	0.99188	61	168	health.
65590	65906	13	A	1.0	1	169	The
65928	66334	13	A	0.8215	2	170	aims
66382	66690	13	A	1.0	3	171	for
66760	67378	13	A	1.0	4	172	today
67544	67838	13	A	0.99615	5	173	I'm
67854	67986	13	A	0.97359	6	174	going
68008	68098	13	A	1.0	7	175	to
68104	68226	13	A	0.99999	8	176	try
68248	68434	13	A	0.98	9	177	and
68472	69060	13	A	0.99999	10	178	provide
69670	70034	13	A	0.99981	11	179	quite
70072	70274	13	A	1.0	12	180	a
70312	70574	13	A	0.73403	13	181	wide
70622	71566	13	A	0.61649	14	182	ranging
71758	72462	13	A	0.99988	15	183	overview
72526	72850	13	A	1.0	16	184	of
72920	73202	13	A	1.0	17	185	how
73256	73646	13	A	0.99575	18	186	active
73678	74126	13	A	0.99637	19	187	inference
74158	74450	13	A	0.75287	20	188	has
74520	74974	13	A	0.99998	21	189	connected
75022	75330	13	A	0.99998	22	190	with
75400	75806	13	A	0.88524	23	191	areas
75838	76034	13	A	1.0	24	192	of
76072	76734	13	A	0.7021	25	193	philosophical
76782	77150	13	A	0.90395	26	194	interest
77240	77880	13	A	0.77	27	195	and
78490	79074	13	A	0.91268	28	196	particularly
79122	79286	13	A	0.99999	29	197	how
79308	79494	13	A	0.57068	30	198	they
79532	79826	13	A	1.0	31	199	relate
79858	79958	13	A	1.0	32	200	to
79964	80134	13	A	0.93	33	201	the
80172	80614	13	A	0.99992	34	202	individual
80732	81158	13	A	0.99609	35	203	agent
