start	end	sentNum	speaker	confidence	text
650	1200	1	A	0.52571	Alright.
1810	3422	2	B	0.74579	Hello and welcome everyone.
3556	7678	3	B	1.0	It is July 11, 2023.
7844	17774	4	B	1.0	We are in active inference for the social sciences and today is going to be a lecture by Ben White on basics of active inference, the active inference agent.
17892	19994	5	B	0.99	So Ben, thank you for the lecture.
20122	23566	6	B	0.99705	Off to you and we're looking forward to it.
23748	24702	7	A	0.99976	Thank you very much.
24756	25960	8	A	0.96	Yeah, me too.
26330	33320	9	A	0.90023	Very happy to be a part of this, to be kicking things off with the first module on this course.
33850	39350	10	A	0.84511	I'm going to be talking about the active inference agent and trying to cover some of the basics.
39930	41830	11	A	0.98	I won't take too long introducing myself.
41900	64020	12	A	0.22586	Avil gave a very thorough introduction in his talk recently, but I'm a second year PhD student in philosophy at the University of Sussex, and I work with Andy Clark and with Avel and some other people using active inference to try and find things out about our relationship with technology and within the context of well being and mental health.
65590	85350	13	A	1.0	The aims for today I'm going to try and provide quite a wide ranging overview of how active inference has connected with areas of philosophical interest and particularly how they relate to the individual agent and the experience of the agent and how the agent finds themselves in the world.
85420	90118	14	A	1.0	So I've split this up to look at several different defined topics.
90214	99530	15	A	1.0	So I'm going to move quite quickly through mind, agency, emotion and phenomenology, and I'm going to say a little bit about the self as well.
99600	104160	16	A	1.0	And then there's going to be a case study at the end that I'm going to move through if we have time.
104690	115270	17	A	1.0	So one of the other aims that I have is to lay out very clearly some of the core concepts and core mechanisms like precision, weighting and prediction error generative models.
115450	118942	18	A	0.55242	I'm not going to go into any technical details whatsoever.
119006	121006	19	A	1.0	This is all going to be fairly abstract.
121118	128920	20	A	1.0	My background and my interest in these frameworks is philosophical, so it's quite abstract in terms of how everything fits together.
129370	138490	21	A	1.0	And I'm going to try and bring some of these threads together to build up a layered picture of what the active inference agent is like.
138560	150406	22	A	0.99999	Because this course is kind of aimed towards seeing how active inference applies to larger scales, collective behavioral, social norms, sociocultural landscapes.
150518	158522	23	A	0.92	And I think in order to do justice to those things, we need to first have a good idea of the individual in active inference.
158666	161454	24	A	0.52	So we've got our work cut out for us.
161572	162880	25	A	1.0	So I'll get started.
163490	168658	26	A	0.91	So before I dive in, I wanted to just say a little bit about how these frameworks hang together.
168744	173950	27	A	0.99	So active inference is based on Carl Fristen's free energy principle.
174030	175794	28	A	1.0	I think most of us are familiar with that.
175832	186822	29	A	0.99987	But the free energy principle just states that in order to persist through time, biological organisms must occupy only those states that it would expect to occupy, given the type of thing that it is.
186956	192102	30	A	1.0	So free energy is essentially a measure of the disatunement between a system and its environment.
192166	198780	31	A	0.76	And I'm going to say a little bit more about attunement and how that gets cashed out in various ways as we go on.
199150	206926	32	A	0.9999	Active inference is a process theory that essentially explains how embodied organisms actually go about remaining in those expected states.
207028	211120	33	A	1.0	So how we actually go about minimizing free energy.
211490	220290	34	A	1.0	And the idea is that all adaptive behavior is explained by agents garnering evidence to confirm their own expectations.
221430	222622	35	A	0.86773	Predictive processing.
222686	233474	36	A	1.0	For the purposes of the lecture today, I'm going to treat these as synonymous because most of the work that I kind of came up through as I was learning about this was predictive processing.
233602	244966	37	A	0.86	And all of the papers that we're using today that refer to predictive processing refer to a predictive processing that I take to be more or less synonymous with active inference.
244998	250566	38	A	1.0	So that's a very embodied, inactive flavor of predictive processing.
250678	258474	39	A	1.0	I think generally the difference is that predictive processing can be a much broader term and predictive processing can also apply to passive models of perception.
258522	260960	40	A	0.99999	But we're not going to concern ourselves with that.
262630	268180	41	A	0.56656	Okay, so some key concepts of active inference, predictive processing then.
268630	288626	42	A	1.0	So the framework phase that agents embody or agents have, we won't concern ourselves with the nuance there, but they have a generative model, which is essentially a kind of understanding or a model of the regularities that underpin the dynamics between the agent and the environment.
288738	297754	43	A	0.91	So another way to think about this in very rough terms is a kind of mental model of the regularities in the world and how the agent exists in the world.
297952	303278	44	A	0.98	And using that model, the agent can generate predictions about its own sensory states.
303444	310510	45	A	1.0	So given the model, what kinds of sensory states would it expect to find itself in in a particular set of circumstances?
311170	316174	46	A	1.0	And so where those predictions don't actually match the sensory inputs.
316222	326306	47	A	1.0	So where there's a discrepancy between the actual incoming sense data and the prediction, prediction errors are generated and prediction errors are going to flow upwards through the hierarchy.
326338	333538	48	A	1.0	So the generative model is said to be a hierarchical model and predictions flow downwards and prediction errors flow upwards.
333714	341050	49	A	0.92	And the sole imperative of the brain body system according to this framework is to minimize those prediction errors.
342830	349878	50	A	0.99	So a good way to kind of get a little handle on this is to think about just the example of perception.
349974	353454	51	A	0.86	So perception traditionally so I'm talking about visual perception here.
353492	356206	52	A	0.66042	It's traditionally been understood as a bottom up process.
356388	366402	53	A	0.64	And what that means is that the brain waits for incoming sensory signals and then it processes them as they come in and it combines them in kind of increasingly abstract ways.
366536	372750	54	A	1.0	And what we see is some combination of those sensory signals that have come in and been processed and combined.
372910	380194	55	A	1.0	So if you think about me leaving my apartment in the morning and stepping out onto the street and seeing some cars.
380322	391046	56	A	0.99939	What's happening there is some sensory information is hitting my retina and it's being processed first with very basic features like light shade, edges and so on and so forth.
391158	396346	57	A	1.0	And then it's being combined with my understanding of what a car is or what a bus stop is.
396448	399020	58	A	1.0	And that gives me my kind of visual field.
400850	406382	59	A	0.56109	Predictive processing, famously, at this point, flips this picture upside down on its head.
406436	410858	60	A	1.0	So visual perception under predictive processing is a top down affair.
411034	416494	61	A	1.0	So the generative model is going to encode multilevel expectations about the likely scene.
416542	426814	62	A	1.0	So just to be very clear, when we talk about multilevel and hierarchical, the higher up levels are going to be tracking longer time scales and higher levels of abstraction.
426942	430466	63	A	0.67	The lower levels are going to be much faster, much more concrete.
430658	433650	64	A	0.73	So a changeable scene.
433730	440626	65	A	1.0	So there's going to be some variation in what I see when I leave my apartment every day is going to mean that there's always going to be some error in that picture.
440658	445546	66	A	1.0	So it's never going to be the same two days in a row or it's extremely unlikely to be.
445648	452986	67	A	1.0	So no matter how well I can predict what I'm going to see when I leave my house, it's always going to be cleaned up by some prediction errors.
453178	460880	68	A	0.7	So essentially, when I step outside and I step into the street, my brain is already anticipating what it's going to see out there.
461490	467326	69	A	0.93	So I know where particular cars are going to be parked, I know where the bus stop is, so on and so forth.
467438	471490	70	A	0.81	And the perceptual experience that we have is a construction.
472150	478050	71	A	1.0	We actually experience the expectation that has been kind of cleaned up post prediction error.
478210	482102	72	A	0.99984	There's a little bit of debate there about exactly what it is that we experience.
482236	488650	73	A	0.99975	But for our purposes today, we can say that visual perception is essentially a construction.
490430	495334	74	A	0.5	So on the face of it, prediction errors can be minimized using one of two strategies.
495382	497420	75	A	1.0	And this is going to be really important.
499790	503386	76	A	1.0	So we have what I just described there, which is perceptual inference.
503498	507082	77	A	0.96105	That's where we revise our predictions to better fit the evidence.
507146	511630	78	A	1.0	So essentially we update our model to better reflect the regularities in the environment.
512290	520740	79	A	1.0	Or we can engage in active inference, which is where the framework gets its name from, which is where we essentially make the evidence fit the model.
521190	527042	80	A	1.0	So that's where we in some sense update the world so it conforms to the original prediction.
527186	538890	81	A	0.91	And active inference agents bring about those expected states by sampling the world in a biased way, so they have certain expectations and then we sample the world to confirm the predictions.
539230	550710	82	A	1.0	And I put perceptual inference there in scare quotes because perceptual inference on kind of readings of most readings of active inference just becomes a kind of action readiness.
