docLabel	start	end	count	rank	text
Basics2023-05	1230500	1231790	1	0.06	social systems
Basics2023-05	2046192	2047094	2	0.06	social systems
Basics2023-05	4676578	4678056	3	0.06	social systems
Basics2023-05	13214	14680	1	0.06	collective behavior
Basics2023-05	145388	146790	2	0.06	collective behavior
Basics2023-05	676090	677480	3	0.06	collective behavior
Basics2023-05	679038	680280	4	0.06	collective behavior
Basics2023-05	713224	714430	5	0.06	collective behavior
Basics2023-05	837938	839080	6	0.06	collective behavior
Basics2023-05	890162	891500	7	0.06	collective behavior
Basics2023-05	988278	989132	8	0.06	collective behavior
Basics2023-05	2242742	2243850	9	0.06	collective behavior
Basics2023-05	2259220	2260522	10	0.06	collective behavior
Basics2023-05	2771272	2772696	11	0.06	collective behavior
Basics2023-05	2776738	2777960	12	0.06	collective behavior
Basics2023-05	2877794	2879180	13	0.06	collective behavior
Basics2023-05	2890774	2892080	14	0.06	collective behavior
Basics2023-05	2936022	2937180	15	0.06	collective behavior
Basics2023-05	3068832	3070048	16	0.06	collective behavior
Basics2023-05	3733184	3734410	17	0.06	collective behavior
Basics2023-05	4309550	4310840	18	0.06	collective behavior
Basics2023-05	4315474	4316312	19	0.06	collective behavior
Basics2023-05	4445372	4446710	20	0.06	collective behavior
Basics2023-05	4468850	4470270	21	0.06	collective behavior
Basics2023-05	4824866	4825768	22	0.06	collective behavior
Basics2023-05	3511516	3512556	1	0.06	collective systems
Basics2023-05	1023214	1023668	1	0.06	different kinds
Basics2023-05	1150762	1151648	2	0.06	different kinds
Basics2023-05	1226050	1226746	3	0.06	different kinds
Basics2023-05	2679432	2680046	4	0.06	different kinds
Basics2023-05	3714358	3716320	1	0.06	different social intelligences
Basics2023-05	4747206	4749760	1	0.06	different social considerations
Basics2023-05	1734578	1735238	1	0.06	other system
Basics2023-05	18558	19560	1	0.06	social sciences
Basics2023-05	1052378	1053696	2	0.06	social sciences
Basics2023-05	1205548	1206630	3	0.06	social sciences
Basics2023-05	1829958	1830980	4	0.06	social sciences
Basics2023-05	2019336	2020238	5	0.06	social sciences
Basics2023-05	2630648	2631282	6	0.06	social sciences
Basics2023-05	3623994	3624672	7	0.06	social sciences
Basics2023-05	4100688	4101382	8	0.06	social sciences
Basics2023-05	4827346	4828500	9	0.06	social sciences
Basics2023-05	2242742	2246230	1	0.06	collective behavior crossover
Basics2023-05	4653578	4654550	1	0.06	social questions
Basics2023-05	2007972	2009710	1	0.05	information systems
Basics2023-05	3245822	3247364	1	0.05	certain social scientific methods
Basics2023-05	2209156	2209534	1	0.05	other people
Basics2023-05	2748410	2749350	2	0.05	other people
Basics2023-05	2752506	2753060	3	0.05	other people
Basics2023-05	3567930	3568950	1	0.05	different agents
Basics2023-05	3071728	3072880	1	0.05	individual behavior
