start	end	paragNum	speaker	confidence	startTime	wordCount	text
5460	6010	1	A	0.59	00:05	1	You.
8300	40530	2	A	0.99995	00:08	58	Hello and welcome. It's August 16, 2023. We're in the collective behavior discussion section of the active inference for the Social sciences course in 2023. So perhaps let us all go around and give an opening in introduction and or reflection and see who joins and what happens from there. But just so that everybody has said hello.
48840	58490	3	B	0.99847	00:48	19	Hi, everyone. I'm Brun 09:00 P.m. In South Africa, and, yeah, just excited to be and see what happens.
66580	92890	4	C	0.90319	01:06	48	Hi, I'm Andrew. I'm a graduate student in Indiana, and I guess my field of interest now is knowledge management. And I think that figuring out how we collectively learn and can share information is a really interesting topic, and I'd like to see how this would apply.
97850	116910	5	D	0.40449	01:37	40	Hi, I'm Gina, and I'm from Guatemala, but I'm living in Spain, studying and doing experiments related to this topic and trying to learn a little bit of the theory that's behind it so we can advance better. I'm excited.
120610	132562	6	E	0.99955	02:00	24	Hello. My name is Sasha. I'm calling in from California. I'm also a graduate student. Yeah, just really enjoyed the spirited presentation last week.
132616	157370	7	E	0.54959	02:12	39	I'm looking forward to a discussion. All right, well, how about anyone can give a first reflection on collective behavior? What was their thought or context before, and where are they at as we kind of begin? Yeah, Regina.
160830	209318	8	D	0.64	02:40	106	Okay, so I just want to make sure that I understand because I took, like, two big lessons from your lesson, right? And the first one is that this famous model of active inference that has the agent and the environment and the Markov blanket in the middle, right? And just interacts with everything. Right. So I think what I got from what you discuss, maybe I didn't have a good definition of an agent, but first, that you can have that agent not be just an individual, but also your definition of an individual changes depending on what you want to study in the behavior.
209414	239890	9	D	0.99969	03:29	77	Right. So an agent can be an ant, it can be an ecosystem, it can be an eye looking at something, or it can be as a society, for example. And I think that's a big take for me because it changes a lot the concept of how to study things and use active imprints just by changing how big the agent can be. So I don't know if I got that right. So first, that clarification.
243340	244970	10	A	0.65852	04:03	5	So what is an agent?
249820	281270	11	D	0.94569	04:09	82	Yeah, so I don't know if there's, like, a formal definition of an agent in active inference. Right. But if we want to study whatever we want, because I'm about study, because I have to do that's, like, my goal, whatever I'm doing. So I want to study whatever I have to choose what's going to be my agent and the environment it has. So choosing the agent, you can do it to create a model or to make an experiment, whatever.
281800	294010	12	D	0.99933	04:41	23	But the choice you make, it will depend on what you understand as an individual or as an agent? I think so. Right.
305070	347720	13	A	0.99979	05:05	99	Awesome. Anyone have a thought on that? If I continue with something, just to add something else, and this will be my mind. And then I'm thinking, is that also a big problem that we have or I think I have, is that since I am part of the environment, you know, the perspective of whoever is studying whatever it is, it's also going to be an effect in it. So maybe scientists already decided, but I don't know that we can never have an objective way of studying something if you're part of the environment of the agent.
