start	end	sentNum	speaker	confidence	wordPosSent	wordPosDoc	text
5340	5890	1	A	0.70328	1	1	You.
7860	8272	2	A	0.99989	1	2	Hello
8326	8930	2	A	0.99999	2	3	everyone.
9700	10016	3	A	0.99998	1	4	It
10038	10416	3	A	0.55907	2	5	is
10518	11004	3	A	1.0	3	6	August
11052	11360	3	A	1.0	4	7	2,
11430	12928	3	A	1.0	5	8	2023.
13094	13436	4	A	0.99976	1	9	We're
13468	13616	4	A	0.99999	2	10	in
13638	13872	4	A	1.0	3	11	the
13926	14236	4	A	0.78073	4	12	active
14268	14764	4	A	0.73137	5	13	inference
14812	14976	4	A	0.99999	6	14	for
14998	15136	4	A	1.0	7	15	the
15158	15440	4	A	1.0	8	16	Social
15510	16028	4	A	0.99961	9	17	Sciences
16124	16768	4	A	0.99988	10	18	course.
16934	17356	5	A	0.95267	1	19	I'm
17388	17676	5	A	0.99897	2	20	Daniel
17708	18540	5	A	0.99078	3	21	Friedman,
18700	19024	5	A	1.0	4	22	and
19062	19216	5	A	1.0	5	23	this
19238	19376	5	A	0.99999	6	24	is
19398	19488	5	A	0.98755	7	25	going
19494	19568	5	A	1.0	8	26	to
19574	19840	5	A	0.99995	9	27	be
19910	20096	5	A	1.0	10	28	a
20118	20620	5	A	0.99999	11	29	lecture
20700	21232	5	A	1.0	12	30	on
21366	21964	5	A	0.99983	13	31	collective
22012	22796	5	A	0.97822	14	32	behavior.
22988	23536	6	A	1.0	1	33	Now
23638	23904	6	A	1.0	2	34	of
23942	24192	6	A	1.0	3	35	course,
24246	24892	6	A	0.99982	4	36	disclaimers
24956	25136	6	A	0.99997	5	37	could
25158	25756	6	A	0.99984	6	38	abound
25868	26096	6	A	1.0	7	39	and
26118	26268	6	A	0.99222	8	40	there's
26284	26416	6	A	0.99989	9	41	so
26438	26576	6	A	1.0	10	42	many
26598	26832	6	A	1.0	11	43	ways
26886	27008	6	A	1.0	12	44	to
27014	27136	6	A	1.0	13	45	go
27158	27392	6	A	1.0	14	46	about
27446	27664	6	A	1.0	15	47	this
27702	28044	6	A	0.99929	16	48	topic
28092	28352	6	A	1.0	17	49	of
28406	28844	6	A	0.99986	18	50	collective
28892	29292	6	A	0.99985	19	51	behavior
29356	29584	6	A	0.99675	20	52	that
29622	29992	6	A	0.91939	21	53	in
30086	30708	6	A	0.5257	22	54	duality,
30804	31160	6	A	0.56816	23	55	in
31230	32180	6	A	0.99472	24	56	enactment,
32340	32616	6	A	1.0	25	57	I
32638	32824	6	A	0.99992	26	58	really
32862	33064	6	A	0.99999	27	59	hope
33102	33256	6	A	0.99999	28	60	it
33278	33608	6	A	0.99995	29	61	is
33694	34084	6	A	0.49904	30	62	multi
34132	34484	6	A	0.99888	31	63	scale
34532	34696	6	A	1.0	32	64	and
34718	35572	6	A	0.99895	33	65	collective.
35716	36036	7	A	0.88346	1	66	I'm
36068	36264	7	A	0.99987	2	67	really
36302	36552	7	A	1.0	3	68	looking
36606	36920	7	A	0.99999	4	69	forward
36990	37176	7	A	1.0	5	70	to
37198	37480	7	A	0.99941	6	71	your
37550	37972	7	A	0.99647	7	72	comments
38036	38216	7	A	1.0	8	73	and
38238	38424	7	A	0.99981	9	74	your
