docLabel	sp	myTime	myTimeDisplay	myTimeSRT
AIFSS-07D	A	3930	00:03	00:00:03,927
AIFSS-07D	A	41210	00:41	00:00:41,216
AIFSS-07D	A	178230	02:58	00:02:58,671
AIFSS-07D	A	388326	06:28	00:06:28,532
AIFSS-07D	A	1003850	16:43	00:16:43,088
AIFSS-07D	A	1709740	28:29	00:28:29,542
AIFSS-07D	A	1870090	31:10	00:31:10,685
AIFSS-07D	A	1943410	32:23	00:32:23,752
AIFSS-07D	A	3154830	52:34	00:52:34,843
AIFSS-07D	A	3358560	55:58	00:55:58,029
AIFSS-07D	A	3647480	1:00:47	01:00:47,843
AIFSS-07D	A	4828630	1:20:28	01:20:28,109
AIFSS-07D	B	6530	00:06	00:00:06,524
AIFSS-07D	B	144590	02:24	00:02:24,335
AIFSS-07D	B	209050	03:29	00:03:29,920
AIFSS-07D	B	276320	04:36	00:04:36,532
AIFSS-07D	B	4062486	1:07:42	01:07:42,214
AIFSS-07D	B	4277650	1:11:17	01:11:17,126
AIFSS-07D	B	4382930	1:13:02	01:13:02,059
AIFSS-07D	B	4624460	1:17:04	01:17:04,234
AIFSS-07D	B	4823250	1:20:23	01:20:23,104
AIFSS-07D	B	5060110	1:24:20	01:24:20,317
AIFSS-07D	C	193180	03:13	00:03:13,761
AIFSS-07D	C	212810	03:32	00:03:32,957
AIFSS-07D	C	286776	04:46	00:04:46,637
AIFSS-07D	C	786930	13:06	00:13:06,099
AIFSS-07D	C	1355850	22:35	00:22:35,224
AIFSS-07D	C	1690840	28:10	00:28:10,523
AIFSS-07D	C	1723230	28:43	00:28:43,556
AIFSS-07D	C	1759930	29:19	00:29:19,586
AIFSS-07D	C	1884198	31:24	00:31:24,699
AIFSS-07D	C	2738770	45:38	00:45:38,469
AIFSS-07D	C	3365680	56:05	00:56:05,030
AIFSS-07D	C	4287030	1:11:27	01:11:27,220
AIFSS-07D	C	4659396	1:17:39	01:17:39,583
AIFSS-07D	D	927390	15:27	00:15:27,383
AIFSS-07D	D	1174030	19:34	00:19:34,060
AIFSS-07D	D	2591546	43:11	00:43:11,334
AIFSS-07D	D	3021390	50:21	00:50:21,722
AIFSS-07D	D	4446032	1:14:06	01:14:06,630
AIFSS-07D	F	1578460	26:18	00:26:18,423
AIFSS-07D	F	1714750	28:34	00:28:34,547
AIFSS-07D	F	1751530	29:11	00:29:11,578
AIFSS-07D	F	3273980	54:33	00:54:33,950
AIFSS-07D	F	4536250	1:15:36	01:15:36,472
AIFSS-07D	E	2555750	42:35	00:42:35,304
AIFSS-07D	E	2640234	44:00	00:44:00,377
AIFSS-07D	E	4215494	1:10:15	01:10:15,564
AIFSS-07D	E	4754350	1:19:14	01:19:14,041
