start	end	sentNum	speaker	confidence	wordPosSent	wordPosDoc	text
3930	4480	1	A	0.65241	1	1	You.
6530	7134	2	B	0.99993	1	2	Hello.
7252	7678	3	B	0.69342	1	3	Welcome,
7764	8494	3	B	0.99996	2	4	everybody.
8692	9226	4	B	0.74172	1	5	It's
9258	9674	4	B	1.0	2	6	November
9722	10030	4	B	1.0	3	7	1,
10100	10446	4	B	0.98	4	8	2023,
10468	11982	4	B	0.96	5	9	and
12036	12254	4	B	0.84502	6	10	we
12292	12446	4	B	0.99996	7	11	are
12468	12702	4	B	0.99504	8	12	in
12756	13070	4	B	1.0	9	13	the
13140	13994	4	B	0.99938	10	14	closing
14122	14890	4	B	0.99993	11	15	discussion
14970	15658	4	B	0.93305	12	16	section
15754	16400	4	B	0.99926	13	17	for
16770	17520	4	B	0.99999	14	18	this
18530	18990	4	B	1.0	15	19	first
19060	19562	4	B	0.99989	16	20	instance
19626	19854	4	B	1.0	17	21	of
19892	20218	4	B	0.99925	18	22	active
20234	20666	4	B	0.35617	19	23	inference
20698	20846	4	B	1.0	20	24	for
20868	20958	4	B	1.0	21	25	the
20964	21182	4	B	1.0	22	26	social
21236	22026	4	B	0.99991	23	27	sciences.
22218	22666	5	B	0.74211	1	28	It's
22698	22846	5	B	1.0	2	29	been
22868	22958	5	B	1.0	3	30	a
22964	23690	5	B	0.99997	4	31	journey.
23850	24186	6	B	0.99841	1	32	I'm
24218	24366	6	B	1.0	2	33	sure
24388	24538	6	B	0.99985	3	34	we'll
24554	24686	6	B	0.99998	4	35	have
24708	24894	6	B	0.99999	5	36	many
24932	25134	6	B	0.99996	6	37	fun
25172	25422	6	B	0.99999	7	38	things
25476	25694	6	B	1.0	8	39	to
25732	25934	6	B	0.99999	9	40	talk
25972	26560	6	B	0.76256	10	41	about
27010	27422	6	B	1.0	11	42	and
27476	28010	6	B	0.99934	12	43	explore
28090	28720	6	B	1.0	13	44	today.
29050	29414	7	B	0.98696	1	45	So
29452	30230	7	B	0.71407	2	46	Avil,
30730	31480	7	B	1.0	3	47	please
32170	32534	7	B	0.99997	4	48	take
32572	32822	7	B	0.99942	5	49	it
32876	33094	7	B	0.99999	6	50	from
33132	33526	7	B	0.99998	7	51	here
33628	33990	7	B	1.0	8	52	and
34060	34342	7	B	0.99984	9	53	maybe
34396	34566	7	B	0.99998	10	54	give
34588	34774	7	B	0.94731	11	55	an
34812	35426	7	B	0.72533	12	56	overview
35538	35814	7	B	1.0	13	57	of
35852	36006	7	B	0.99998	14	58	what
36028	36226	7	B	0.95359	15	59	we're
36258	36358	7	B	0.97745	16	60	going
36364	36774	7	B	0.74	17	61	to
36892	37270	7	B	0.99977	18	62	do
37340	37622	7	B	1.0	19	63	and
37676	37894	7	B	0.99995	20	64	talk
37932	38134	7	B	1.0	21	65	about
38172	38760	7	B	1.0	22	66	today.
41210	41622	8	A	0.71518	1	67	Okay,
41676	41894	8	A	0.99954	2	68	so
41932	42086	8	A	0.99997	3	69	this
42108	42294	8	A	0.6316	4	70	is
42332	42726	8	A	0.63	5	71	the
42828	43314	8	A	0.55605	6	72	conclusion
43362	43714	8	A	0.79221	7	73	session
43762	43926	8	A	1.0	8	74	of
43948	44230	8	A	0.97421	9	75	our
44300	44630	8	A	0.99806	10	76	course
44700	44934	8	A	0.9997	11	77	on
44972	45266	8	A	0.96872	12	78	active
45298	46158	8	A	0.8467	13	79	inference
46354	46906	8	A	0.65479	14	80	for
47008	47322	8	A	1.0	15	81	the
47376	47690	8	A	0.99995	16	82	social
47760	48374	8	A	0.76192	17	83	science.
48502	48746	9	A	0.99996	1	84	We
48768	49002	9	A	0.99992	2	85	have
49056	49514	9	A	0.99931	3	86	talked
49632	50374	9	A	0.88365	4	87	extensively
50422	50634	9	A	0.99999	5	88	about
50672	50966	9	A	0.99586	6	89	active
50998	51414	9	A	0.92265	7	90	inference,
51462	51866	9	A	0.99753	8	91	maybe
51968	52282	9	A	0.99998	9	92	less
52336	52934	9	A	0.99847	10	93	extensively
52982	53482	9	A	0.98058	11	94	about
53616	53914	9	A	0.85079	12	95	for
53952	54154	9	A	1.0	13	96	the
54192	54490	9	A	0.99976	14	97	social
54560	54902	9	A	0.82879	15	98	science
54966	55770	9	A	0.91103	16	99	parts.
56110	56474	10	A	0.99817	1	100	So
56512	56714	10	A	1.0	2	101	the
56752	57062	10	A	0.97359	3	102	goal
57126	57354	10	A	1.0	4	103	of
57392	57642	10	A	1.0	5	104	the
57696	58086	10	A	0.99989	6	105	session
58118	58266	10	A	0.9999	7	106	would
58288	58474	10	A	0.99861	8	107	be
58512	58966	10	A	0.54965	9	108	basically
59088	59374	10	A	1.0	10	109	to
59412	60110	10	A	0.61493	11	110	assess
60610	61022	10	A	0.99998	12	111	what
61076	61438	10	A	0.99999	13	112	we
61524	61822	10	A	0.99994	14	113	talked
61876	62142	10	A	0.99996	15	114	about
62196	62366	10	A	1.0	16	115	and
62388	62574	10	A	0.99998	17	116	how
62612	62814	10	A	0.99996	18	117	it
62852	63054	10	A	0.99993	19	118	is
63092	63514	10	A	0.9999	20	119	relevant
63562	63726	10	A	1.0	21	120	or
63748	63934	10	A	0.99997	22	121	not
63972	64126	10	A	1.0	23	122	to
64148	64238	10	A	1.0	24	123	the
64244	64586	10	A	0.99983	25	124	practice
64618	64766	10	A	0.76	26	125	of
64788	65022	10	A	0.99421	27	126	social
65076	65790	10	A	0.82131	28	127	sciences.
68070	68820	11	A	0.62262	1	128	Basically,
69270	69586	11	A	0.99996	2	129	this
69608	69794	11	A	0.94288	3	130	is
69832	69986	11	A	1.0	4	131	a
70008	70446	11	A	0.99999	5	132	discussion
70478	70766	11	A	0.99771	6	133	session,
70798	70946	11	A	0.99994	7	134	so
70968	71106	11	A	0.99993	8	135	there
71128	71314	11	A	0.99975	9	136	is
71352	71554	11	A	0.99998	10	137	no
71592	71938	11	A	0.99999	11	138	clear
72024	72418	11	A	0.99997	12	139	plan.
72504	72850	12	A	0.99923	1	140	But
72920	73198	12	A	0.85091	2	141	I'd
73214	73346	12	A	0.99977	3	142	like
73368	73554	12	A	1.0	4	143	to
73592	74180	12	A	0.99999	5	144	address
74630	75090	12	A	0.99998	6	145	how
75160	75662	12	A	0.99948	7	146	formally
75726	76046	12	A	0.75367	8	147	active
76078	77006	12	A	0.98067	9	148	inference
77198	77934	12	A	0.99803	10	149	accounts
77982	78494	12	A	0.99997	11	150	for
78632	79154	12	A	0.97103	12	151	agency
79202	79366	12	A	1.0	13	152	and
79388	79906	12	A	0.73939	14	153	normativity
79938	80086	12	A	1.0	15	154	and
80108	80514	12	A	0.9995	16	155	identity
80562	80774	12	A	0.57396	17	156	as
80812	80918	12	A	1.0	18	157	a
80924	81046	12	A	0.99995	19	158	kind
81068	81398	12	A	0.57	20	159	of
81484	82002	12	A	0.63524	21	160	integrated
82066	83058	12	A	0.69735	22	161	phenomenon,
83234	83574	12	A	1.0	23	162	how
83612	84006	12	A	0.99998	24	163	it
84108	84422	12	A	0.99997	25	164	can
84476	85058	12	A	0.99486	26	165	compare
85154	85558	12	A	0.96	27	166	or
85644	86134	12	A	0.99942	28	167	add
86252	86630	12	A	0.96	29	168	to
86700	86982	12	A	0.57465	30	169	our
87036	87634	12	A	0.9492	31	170	ground
87762	88440	12	A	0.94	32	171	or
88810	89314	12	A	0.99967	33	172	clash
89362	89670	12	A	0.94565	34	173	with,
89740	89878	12	A	1.0	35	174	I
89884	90066	12	A	0.99993	36	175	don't
90098	90582	12	A	0.99838	37	176	know,
90716	91394	12	A	0.95785	38	177	sociological
91442	91606	12	A	0.93	39	178	and
91628	91998	12	A	0.98152	40	179	political.
92034	92330	13	A	0.52551	1	180	Model
92400	92778	13	A	1.0	2	181	of
92864	93334	13	A	0.9867	3	182	agency
93382	93498	13	A	1.0	4	183	and
93504	93626	13	A	0.82	5	184	of
93648	93882	13	A	0.99992	6	185	social
93936	94342	13	A	0.99778	7	186	evolution
94406	94586	13	A	0.93	8	187	and
94608	94938	13	A	0.94	9	188	of
95024	95238	13	A	0.83	10	189	et
95254	95478	13	A	0.98486	11	190	cetera,
95494	95638	13	A	0.84	12	191	et
95654	96022	13	A	0.84145	13	192	cetera.
96086	96266	14	A	0.99978	1	193	All
96288	96474	14	A	0.84	2	194	the
96512	96902	14	A	0.99958	3	195	topics
96966	97146	14	A	0.99999	4	196	that
97168	97306	14	A	0.99999	5	197	we
97328	97686	14	A	0.96916	6	198	addressed,
97718	97866	14	A	0.99999	7	199	which
97888	98026	14	A	0.99999	8	200	are
98048	98890	14	A	0.99854	9	201	numerous
99550	100300	14	A	1.0	10	202	and
100750	101258	14	A	0.99997	11	203	discuss
101344	101594	14	A	1.0	12	204	about
101632	101882	14	A	1.0	13	205	the
101936	102422	14	A	0.55366	14	206	plausible
102486	102810	14	A	0.99893	15	207	future
102880	103114	14	A	0.99999	16	208	for
103152	103398	14	A	0.99948	17	209	active
103414	103906	14	A	0.99766	18	210	inference,
103958	104174	14	A	0.99994	19	211	what
104212	104366	14	A	0.99985	20	212	it
104388	104478	14	A	0.99995	21	213	can
104484	104606	14	A	0.99999	22	214	be
104628	104862	14	A	0.67607	23	215	used
104916	105470	14	A	0.99	24	216	to,
105620	106174	14	A	0.98871	25	217	maybe
106292	106670	14	A	0.65026	26	218	what
106740	107118	14	A	0.99868	27	219	it
107204	107454	14	A	0.99995	28	220	will
107492	107646	14	A	0.99999	29	221	be
107668	107902	14	A	0.66301	30	222	used
107956	108174	14	A	1.0	31	223	to,
108212	108654	14	A	0.99842	32	224	certainly
108772	109054	14	A	0.9999	33	225	how
109092	109246	14	A	0.99999	34	226	it
109268	109454	14	A	0.96	35	227	may
109492	109982	14	A	0.99956	36	228	change
110116	110414	14	A	1.0	37	229	and
110452	110606	14	A	0.99995	38	230	how
110628	110778	14	A	0.9985	39	231	it's
110794	111098	14	A	0.99792	40	232	relevant
111114	111680	14	A	1.0	41	233	to
115250	115758	14	A	0.69113	42	234	yes,
115844	116106	14	A	0.99977	43	235	that
116148	116740	14	A	0.95759	44	236	is
117510	118260	14	A	0.98	45	237	the
119670	120174	14	A	0.88754	46	238	crux
120222	120434	14	A	1.0	47	239	of
120472	121058	14	A	0.99582	48	240	it.
121224	121554	15	A	0.96427	1	241	We
121592	121794	15	A	0.99972	2	242	have
121832	122094	15	A	0.99946	3	243	brought
122142	122786	15	A	0.99978	4	244	in
122968	123694	15	A	0.46543	5	245	Alexey,
123742	123906	15	A	0.99997	6	246	who
123928	124306	15	A	0.99732	7	247	is
124408	124626	15	A	0.75	8	248	a
124648	125342	15	A	0.64083	9	249	philosopher
125406	125778	15	A	0.99981	10	250	interested
125864	126162	15	A	0.99999	11	251	in
126216	126482	15	A	0.99546	12	252	social
126536	127118	15	A	0.7224	13	253	ontology,
127214	127918	15	A	0.99897	14	254	specifically
128014	128274	15	A	0.98	15	255	the
128312	128514	15	A	1.0	16	256	study
128552	128658	15	A	1.0	17	257	of
128664	128930	15	A	0.99916	18	258	social
129000	129694	15	A	0.95065	19	259	kinds,
129822	130114	15	A	0.9999	20	260	which
130152	130402	15	A	0.99969	21	261	is
130456	130674	15	A	0.99972	22	262	from
130712	131098	15	A	0.51738	23	263	Kairos
131134	131720	15	A	0.96929	24	264	Research.
132250	132710	16	A	0.99	1	265	And
132780	133062	16	A	0.84	2	266	I
133116	133286	16	A	0.99995	3	267	do
133308	133446	16	A	0.99999	4	268	not
133468	133654	16	A	0.99996	5	269	know
133692	133846	16	A	0.99986	6	270	who
133868	134194	16	A	0.59797	7	271	Colin
134242	134742	16	A	0.9997	8	272	is,
134876	135222	16	A	0.9996	9	273	but
135276	135586	16	A	0.99599	10	274	he's
135618	135766	16	A	0.99982	11	275	with
135788	136118	16	A	0.92	12	276	us.
136204	136454	17	A	0.99768	1	277	Hi,
136492	137270	17	A	0.50908	2	278	Colleen.
139050	139606	18	A	0.99603	1	279	So
139708	139974	18	A	0.99975	2	280	how
140012	140166	18	A	0.99996	3	281	should
140188	140326	18	A	0.99978	4	282	we
140348	140706	18	A	0.78544	5	283	proceed?
140738	141590	19	A	0.7888	1	284	Danielle?
142270	142586	20	A	0.98543	1	285	What
142608	142746	20	A	0.99475	2	286	do
142768	142858	20	A	0.99817	3	287	we
142864	143420	20	A	0.99844	4	288	do?
144590	144906	21	B	0.99992	1	289	If
144928	145126	21	B	0.98548	2	290	you'd
145158	145354	21	B	0.99997	3	291	like,
145392	145786	21	B	0.99984	4	292	maybe
145888	146422	21	B	0.97946	5	293	pose
146486	146666	21	B	1.0	6	294	a
146688	147260	21	B	0.81896	7	295	specific
147630	148378	21	B	0.99999	8	296	question
148544	148874	21	B	1.0	9	297	or
148912	149690	21	B	0.99783	10	298	prompt,
150350	150714	21	B	0.99995	11	299	which
150752	150906	21	B	0.99995	12	300	could
150928	151066	21	B	0.99998	13	301	be
151088	151526	21	B	0.73815	14	302	preceded
151558	151706	21	B	0.99999	15	303	by
151728	151866	21	B	0.99	16	304	a
151888	152726	21	B	0.99991	17	305	statement,
152918	153226	21	B	1.0	18	306	and
153248	153434	21	B	0.61518	19	307	then
153472	153626	21	B	0.99999	20	308	we
153648	153786	21	B	0.99998	21	309	can
153808	154138	21	B	0.81323	22	310	all
154224	154474	21	B	0.99999	23	311	hear
154512	155014	21	B	0.99595	24	312	everyone's
155062	155366	21	B	0.99998	25	313	voice
155398	155546	21	B	0.99969	26	314	on
155568	156140	21	B	0.70301	27	315	that.
157710	158170	22	A	0.69694	1	316	Okay,
158240	158714	22	A	0.99812	2	317	so
158832	159066	22	A	0.63	3	318	a
159088	159274	22	A	1.0	4	319	good
159312	159562	22	A	0.99986	5	320	question
159616	159786	22	A	0.99928	6	321	would
159808	160282	22	A	0.92627	7	322	be
160416	160762	22	A	0.4378	8	323	ActInf
160816	161770	22	A	0.05256	9	324	inference
162370	163290	22	A	0.99915	10	325	describes
163370	163834	22	A	0.54521	11	326	agency
163882	164046	22	A	0.51	12	327	and
164068	164554	22	A	0.93974	13	328	relativity
164602	164766	22	A	1.0	14	329	and
164788	165290	22	A	0.97818	15	330	identity
165370	165566	22	A	0.99828	16	331	as
165588	165726	22	A	0.7	17	332	a
165748	165886	22	A	0.99409	18	333	kind
165908	166480	22	A	0.99	19	334	of
167430	168190	22	A	0.96041	20	335	integrated
168270	169054	22	A	0.80727	21	336	phenomenon.
169182	169618	23	A	1.0	1	337	I
169704	170098	23	A	0.99999	2	338	think
170184	170482	23	A	0.53681	3	339	we
170536	170754	23	A	0.99999	4	340	should
170792	170994	23	A	1.0	5	341	go
171032	171330	23	A	0.99996	6	342	over
171400	171682	23	A	0.99999	7	343	how
171736	172770	23	A	0.99937	8	344	precisely
173270	173682	23	A	0.77121	9	345	it
173736	174340	23	A	0.99969	10	346	works.
178230	178654	24	A	0.55354	1	347	So,
178712	178934	24	A	0.99691	2	348	yes,
178972	179186	24	A	0.86108	3	349	let's
179218	179366	24	A	1.0	4	350	do
179388	179574	24	A	0.99997	5	351	that.
179612	179766	25	A	1.0	1	352	I
179788	180360	25	A	0.99998	2	353	will
180970	181478	25	A	0.99991	3	354	find
181564	182200	25	A	0.99922	4	355	some,
183610	183878	25	A	0.73207	5	356	do
183884	184006	25	A	0.94626	6	357	you
184028	184262	25	A	0.99649	7	358	say,
184316	184930	25	A	0.92764	8	359	illustration?
185010	185206	26	A	0.99999	1	360	That
185228	185366	26	A	0.99992	2	361	will
185388	185526	26	A	1.0	3	362	make
185548	185686	26	A	1.0	4	363	it
185708	186274	26	A	0.99997	5	364	easier.
186402	187080	27	A	0.99905	1	365	But
187450	187826	27	A	0.99461	2	366	let's
187858	188054	27	A	0.99984	3	367	hear
188092	188386	27	A	0.61565	4	368	people's
188418	188658	27	A	0.57607	5	369	thoughts
188674	188758	27	A	0.99993	6	370	on
188764	188934	27	A	0.98384	7	371	that,
188972	189560	27	A	0.99998	8	372	please.
193180	193544	28	C	0.99237	1	373	Can
193582	193736	28	C	0.99995	2	374	you
193758	193988	28	C	0.99985	3	375	pose
194004	194184	28	C	0.99989	4	376	your
194222	194616	28	C	0.99982	5	377	question
194718	194984	28	C	0.99972	6	378	just
195022	195176	28	C	1.0	7	379	a
195198	195444	28	C	0.99675	8	380	tad
195492	195704	28	C	1.0	9	381	more
195742	196520	28	C	0.98822	10	382	clearly?
197020	197336	29	B	0.99967	1	383	How
197358	197592	29	B	0.78771	2	384	are
197646	198244	29	B	0.62953	3	385	agency,
198372	199300	29	B	0.99366	4	386	normativity
199380	199624	29	B	1.0	5	387	and
199662	200596	29	B	0.99379	6	388	identity
200788	201444	29	B	0.66902	7	389	addressed
201492	201924	29	B	0.99786	8	390	separately
201972	202136	29	B	1.0	9	391	and
202158	202536	29	B	0.97874	10	392	together
202638	202856	29	B	0.99844	11	393	in
202878	203156	29	B	0.98297	12	394	active
203188	203960	29	B	0.95252	13	395	inference?
209050	209602	30	B	0.8266	1	396	Mao,
209666	209846	30	B	0.99989	2	397	go
209868	210006	30	B	0.99996	3	398	for
210028	210600	30	B	0.98412	4	399	it.
212810	213560	31	C	0.82806	1	400	So
214570	214934	31	C	0.77	2	401	I
214972	215174	31	C	0.99994	3	402	think
215212	215366	31	C	0.99998	4	403	we
215388	215526	31	C	0.9999	5	404	like
215548	215686	31	C	0.61	6	405	to
215708	215894	31	C	0.98505	7	406	look
215932	216086	31	C	1.0	8	407	at
216108	216342	31	C	0.99995	9	408	things
216396	216566	31	C	0.99998	10	409	in
216588	216870	31	C	0.87976	11	410	terms
216940	217318	31	C	1.0	12	411	of
217404	218402	31	C	0.76068	13	412	interrelations.
218546	218806	32	C	0.99897	1	413	In
218828	219106	32	C	0.94725	2	414	active
219138	219554	32	C	0.99091	3	415	inference,
219602	219814	32	C	0.99994	4	416	nothing
219852	220054	32	C	0.99986	5	417	is
220092	220466	32	C	0.99999	6	418	defined
220498	220694	32	C	1.0	7	419	by
220732	221030	32	C	0.99967	8	420	itself,
221100	221426	32	C	0.89085	9	421	it's
221458	221746	32	C	0.99975	10	422	defined
221778	221926	32	C	0.99997	11	423	in
221948	222334	32	C	0.69452	12	424	relation
222402	222682	32	C	0.91	13	425	to
222736	223002	32	C	0.99999	14	426	other
223056	223658	32	C	1.0	15	427	things.
223824	224154	33	C	1.0	1	428	And
224192	224442	33	C	0.78229	2	429	this
224496	224934	33	C	0.9095	3	430	definition
224982	225194	33	C	0.87084	4	431	in
225232	225494	33	C	0.99981	5	432	relation
225542	225754	33	C	1.0	6	433	to
225792	225946	33	C	1.0	7	434	other
225968	226202	33	C	1.0	8	435	things
226256	226570	33	C	0.76326	9	436	also
226640	227046	33	C	0.99804	10	437	defines
227078	227226	33	C	1.0	11	438	the
227248	227526	33	C	0.9988	12	439	types
227558	227706	33	C	1.0	13	440	of
227728	228598	33	C	0.7965	14	441	constraints
