start	end	paragNum	speaker	confidence	startTime	wordCount	text
2040	2590	1	A	0.65	00:02	1	You.
6480	34820	2	B	0.93411	00:06	66	All right. Hello and welcome everyone. It is July 7, 2023, and we are in the first introductory session of the course, active Inference for the Social Sciences. This is going to be a really exciting course and journey that we're all going to join and co create together. With no further ado, I will pass it to please mute turn off the live stream Avil.
36600	57864	3	B	0.99767	00:36	55	Thank you. Complex systems and feedbacks with cyberphysical systems will be a theme. We told you it would be. I will pass now to Avil for the introductory session. If you're watching live, please feel free to write any comments or questions in the chat and I'll relay them at the end onto the lecture.
57912	58940	4	B	0.99985	00:57	2	Thanks, Abel.
71160	72390	5	B	0.99826	01:11	3	Go for it.
85270	98630	6	A	0.76565	01:25	32	So, hi, do you hear me? Well, there was a sound issue. Okay, cool. So I'm avoid I organized, I guess, the course. I had the idea and worked on the curriculum.
99930	101880	7	A	0.9995	01:39	6	Do you see the slides? Well.
104330	112778	8	B	0.99973	01:44	25	Looks good. And just make sure to close the YouTube video or mute it. So, hi, do you hear me? Well, that was Sunday. Sure.
112864	125034	9	A	0.6	01:52	23	Okay, cool. Okay. I did not know I had to do that. So this is the introduction session of the course. Very unsurprisingly.
125162	183742	10	A	0.99997	02:05	126	My name is Kerriu. I am a funding member of Kairos Research and I am a non funding member of Active Inference Lab, which co organize the course. And first I will basically present the teaching team. So we have Danielle, which is with us, which is a PhD in Ecology and Evolution, studying ants behavior in an eco evo kind of way, who is a president and co founder of the Enactive Transitutes and who is interested in, among the things art, philosophy and cognitive security. Then we have Ben, which is also here with us, which is a second year PhD candidate in Philosophy at the University of Sussex, which, like me, interested four E cognition, which is Embodied, Enactive, Embedded and Extended cognition.
183806	230690	11	A	0.99986	03:03	116	We don't need to get into that now. He will explain to you. And in Enactive Processing, which is basically working on the cognitive science of technology. And then we have people who are not here today, which are mao Albarasa, PhD candidate in the Cognitive Computing at University Morielo, which is head of Product Innovation and Research at versus private sector research lab in AI and the mathematics of AI, which specializes in wildlife inference. The theory we're working on right now, script theory, which she will Extended maybe I will talk a bit of it today, but she will be the one who explains what script theory is to you and modern artificial intelligence.
231030	263574	12	A	0.6	03:51	87	And we have Lauren Gonzala, also a PhD candidate, also in philosophy, but in Wollongong, I believe this is how you say it in Australia, which is centered in philosophy of mind and in the status of information processing, as the term is used in cognitive science. And then there is me. So I made a career timeline because when I talk about what I did, people get confused. I did physics, math, I did engineering, I did cognitive science. I did research in ecology and evolution.
263702	306310	13	A	1.0	04:23	113	I did a master's in complex system physics, and I did, like, one year, apparently, given my timeline or two, no, more than more, two of independent research as part of kerose research and as part of the French Society of Cliodynamics before I started the PhD I'm doing now. Which is something about the enaction between mind and material culture. We will get into that at some point. And the question motivation I have are essentially describing the relation between phenomenology. So the way we experience the world and physical reality, which I have the fringe view that somehow phenomenology is constructive of physical reality, which could have weak and strong interpretation.
306390	345000	14	A	0.74	05:06	100	I subscribe to both. I'm trying maybe more importantly here to explain or at least describe how sociocultural life form, let us say the regularities that in the life, social life, human social life are constructed, which is hard. And I'm trying to build a research that is effective at doing knowledge, not word piles through our work in Kairos research. So these are specific reference. You will get the slides at some point I guess I will publish them on the website and then we will be able to check it out if this is of interest to you.
346010	381166	15	A	0.99982	05:46	77	So let us get on the actual relevant content. So what we are going for here is basically explain the very basic demarch of the course, explain how it's of relevance, how the framework we propose is of relevance to social science and present a few case study to make the case. And then we will talk about course layout. But this is pretty quick. So first I'd like to talk about the explanation of cultural dynamics.
381358	404070	16	A	0.99976	06:21	38	What does explaining cultural dynamics even mean? Depends who talks. There are many types or views on what is scientific explanation. I say we can cluster them in three broad categories. One is numerological, so it's about laws.
404230	454214	17	A	1.0	06:44	97	And what it does is to take regularities, just say here is this regularity and consider that these statements. So the law has an explanatory capacity toward the regularity. So for example, for those of you who are familiar with the work of, and I forget names, foundation, the foundation trilogy, I believe it's trilogy. This is pretty close to what they call psycho history. So basically trying to find laws of behavior and using them to predict history in a regular lawful way, then we have mechanical explanation which are more typical of the life science.
454342	524874	18	A	1.0	07:34	164	And what we do in mechanical explanation is to look at the structure of a system and model the structure and try to use this model to predict specific regularities that are of interest. And you have approach to social sense that is I'd say quite close to that which is Cliodynamics, which waits a lot on the Nomological side but still is centered on dynamics and mechanisms and explanation by calling onto structure in specific societies. And then you have a functional explanation which asks what constraints exist so that the system does what it is that the system does. Here again, you will also use a lot of contextual modeling, very often evolutionary game theory. So simulation where we suppose that agent can have specific traits and those that reproduce more or that have more fitness give their traits around and you have the discipline field of study of culture evolution that does that very concretely by just asking how culture evolves.
524922	598150	19	A	0.99471	08:44	167	So what cultural threats can get more fitness and be transmitted a very evolutionary centered approach to social change. So, to sum all of this up, basically we explain things by calling on to regularities always and we can talk about regularities in the phenomenology. So what the system does in of itself in the structure that is in the language system activity or in the function that is the constraint that exists over what the stem does and you have a specific brand of explanatory strategies that try to Legify behavior to make Nomological lawful explanation of human behavior and of sociocultural change. And it's not immediately evident how they do that, how they think it's a coherent idea to begin with because well, humans learn culture change so what laws could they be in a field which is changing with time always? So in my opinion it is more a question of rhetorics than of epistemology because I do not think the answer is coherent.
598570	661180	20	A	1.0	09:58	138	The answer is, as far as I'm concerned that people they just Raify regularities that are observed in experimental settings often that are quite heavily fabricated as kind of cognitive laws of behavior. And because those people usually agree in spirit to the mechanical kind of explanation they talk about cognitive mechanism or mental processes but only insofar that those mechanism or processes are explanatory of cognitive laws. They do not do the work of looking at the structure and function of the systems. They just claim there must be a mechanism that explain the vague law that I have observed over 20 people that came to my lab and these laws, they are assumed to scale for the explanation of social activity. And so you have it, you have the recipe for universal law of social change.
662910	707530	21	A	1.0	11:02	94	And basically the whole argument stands on the idea that you have a presentation or mental processes or cognitive mechanism that somehow entail that the subject's behavior is regular through time and between individuals. And you never have the work that would actually in any capacity prove it for reasons that we will not get into because it would get math heavy and renty. So if the rules and regularities of human behavior can change through learning, through culture, evolution, through whatnot, how can we exactly model or explain or even describe this agency?
709550	737538	22	A	0.99995	11:49	67	This is not dwell in anomaly callful framework because when we do natural laws, we look at regularities, we claim here is a law, this regularity is a law. So it explains that it exists and this is a circle. Because as far as I'm concerned, it's a circular reasoning. Like the regularities explain the regularities, which explain the regularities. There is no way out of this.
737624	760310	23	A	0.5	12:17	62	You can recurse this all day long. The only fact that you observe the thing is your explanation for the thing. This is not, hopefully, how we do Things in Science. And you have a process of explanation that is more complete. If you look at structure and function written lodge you can look at a specific system which has specific structure.
760390	803480	24	A	1.0	12:40	113	And you can look at what the system does, the function that the system enacts a specific point in time. And you can look at how this function, this activity, shapes the system later on at T plus one. You can have developmental approach to things that is centered on how system unfold how they learn, how they evolve through time that is doable there is no law against that and it could actually work. So yeah, let's do that. Let's explain natural phenomenon by describing how the underlying structure work but also by trying to explain how it's brought about how the system's activity explain the way it takes shape through time.
804750	868014	25	A	0.93749	13:24	138	So a claim that we will make here that is itself could be contentious but we don't have to look at why it is not relevant here is that active inference, which is a specific new trendy theory of human cognition can actually explain how regularities underlying social activity be constructed through time. And let us look at what active inference says precisely. So we won't look at the math ever, we won't look here at the specifics of the theory. The only thing we are going for is to prove that this theory indeed does what I think it does, which is explain or at least describe in a nontrivial way the evolution of social regulatories. So if active inference framework is true, then cognitive agents perceive the world through expectation they have developed about the world.
868132	904282	26	A	0.99998	14:28	90	So perception is an active process. I do not perceive things with my eyes and compute higher and higher level of traits of what I saw. I basically expect things in front of me and I will actively look at the things that are most likely to inform me. And something that is critical about this framework is that the prediction it also underlies action or policies. So let's say trajectory of action that I enact, I will do the action that I believe I am more likely to do.
904416	959110	27	A	1.0	15:04	122	I will do that in virtue of me believing I am more likely to do this action. Whoops. So in that framework, active inference is understood as a process of enaction of a specific model that is causally shaped both by an agent's dynamics and an environment Cliodynamics and this relation well, brings a model that corresponds in abstract way to the structure of the dynamics of the relation. And this model I can also look at it in a way more concrete sense in that it is what's in the lies what drives the agent dynamic? You have a duality between the Cliodynamics and the epistemic mental states that we put, that we project, that we can observe in the dynamic.
959610	1009290	28	A	0.99679	15:59	96	So a very important aspect of this is that world's entirely agency, as we would understand the term. There is no distinct step of perception which informs the agent on what the world is like and based on which the agents decide freely what action it will take. There is a constant prediction of what is going to happen and this is enacted by the agent both through perception and action. So what drives decision here? What drives generally the flow that analyze the agent behavior is the agent self model and that has interesting consequences.
1009950	1030478	29	A	0.9997	16:49	21	So I have notifications. So we'll cut them sorry, what? Let me drink. I will drink. I need to drink it.
1030564	1086210	30	A	0.9971	17:10	116	So one consequence of this feminism is that normativity so the values and norms it's hard to go around that word that drive behavior. They are not in the brain, they are not something that the agent abstractly relates to. They are Embedded in the very process in which the agent understands and gorges and navigates the world. And this is very relevant for a human cultural evolution because well, we are cultural creatures. We learn expectation about each other both explicitly by looking at how people do things and then expecting them to do the same things again and implicitly through the very process by which we relate to other people like norms, like language.
1086870	1145894	31	A	1.0	18:06	126	And the way you look at this learning through be, it can be reduced essentially because of the properties of active inference to what people call regimes of attention. So the way I pay attention to things, the specific things I will look at in my process of understanding and navigating the world, the flow by which has been that is the same thing as a set of value and a set of expectations. So what is important here is that normativity and values and things like that, they are Embedded in my cognition in a much more basic way than conscious self reflection. Although of course conscious self enaction can inform that flow. It is Embedded in the shared expectation I have with other people.
1145932	1193270	32	A	1.0	19:05	131	And there is no warranty, no result that I can actually be reflexive about it because, well, the way I predict things, it's based on the statistical regulators that have seen in the world and because the way I pay attention, it's entailed by a predictive model of what is going on around me. I'm very constrained, very much constrained by the statistics I have of the thing I have seen around me. So regularities drive, how I pay attention, which drive implicit or explicit value and normativity. And you can add dimical steps, you can add reflexivity, you can add, I don't know, accountability, you can add a lot of things, but you cannot remove the very basic way in which cultural values and cultural expectation are Embedded in perception.
1196650	1243640	33	A	0.96511	19:56	101	Yes, this is a repetition of what I said, the patterns in the flow of attention that are Embedded that I have developed through the very fact of engaging with a cultural niche. And they constrain my actions towards specific outcome. They entail specific values, specific norms, and they entail, at least they constrain very heavily the intention that I'm even able to conceive to generate. So there is an equivalent way to see this, which is engagement with the cultural landscape. So every agent, they experience the world not in the same way, of course, but they experience the same.
1244650	1279038	34	A	0.55879	20:44	85	Let us say that each person's experience of the world, it predicts very strongly the experience of the world that other people will develop around them. So there are structural properties of the landscape, of opportunities and perception and possible action that we experience. There are properties that are transferred between individuals robustly. This is the case, for example, of norms. If I look at a law, any specific law, all of the people in the same country, they are subject to the same law.
1279124	1287950	35	A	0.99998	21:19	35	So maybe some of them can just ignore it. They live too far from the city. We don't have cops here. Maybe some of them are above the law in some capacity. It's their relation.
1288030	1324400	36	A	0.67465	21:28	93	But the basic constraints that the law entail, it is experienced by everyone in a different way. We will all expect that specific people will react to specific situation in specific way. And this is a real property of the landscape that we experience. So the way that this landscape shapes exploitation in a robust way, we can look at basically it as a constraint. So not as a derivative property of a landscape that I can or cannot experience, but just as a statistical force that shapes behavior in a specific way.
