docLabel	start	end	count	rank	text
CCL2023-08	230702	293974	2	0.08	social action
CCL2023-08	2531950	2533526	1	0.08	Active inference models
CCL2023-08	86546	2166910	5	0.08	social behavior
CCL2023-08	53408	3381626	18	0.08	social norms
CCL2023-08	199648	201050	1	0.08	social understanding
CCL2023-08	1168748	2105974	15	0.08	social scripts
CCL2023-08	229976	232098	1	0.07	contextual social action
CCL2023-08	2718438	2720170	1	0.07	social cognition behavior
CCL2023-08	1229750	1231718	1	0.07	complex social environments
CCL2023-08	3370832	3372202	1	0.07	social values
CCL2023-08	1996262	1997558	1	0.07	complex social scripts
CCL2023-08	251088	2732510	16	0.07	social interactions
CCL2023-08	181548	2772214	15	0.07	social cognition
CCL2023-08	393298	395370	1	0.07	complex social interactions
CCL2023-08	127688	342642	2	0.07	social expectations
