start	end	paragNum	speaker	pconfid	wordPos	paragWordPos	paragFirstWordCount	paragLastWordCount
5850	6400	1	A	0.67517	1	1	1	1
8450	29598	2	B	0.75905	48	47	2	48
29684	55798	3	A	0.99941	110	62	49	110
55984	110880	4	A	0.6588	245	135	111	245
112050	144730	5	A	0.99998	324	79	246	324
147390	182642	6	A	0.99998	410	86	325	410
182786	232098	7	A	0.9999	501	91	411	501
232274	278530	8	A	0.99999	575	74	502	575
279110	348380	9	A	0.99114	699	124	576	699
349790	395370	10	A	0.99998	812	113	700	812
397470	449734	11	A	0.6425	920	108	813	920
449862	478050	12	A	1.0	981	61	921	981
480570	515390	13	A	0.99852	1061	80	982	1061
515890	575090	14	A	1.0	1174	113	1062	1174
575910	620370	15	A	0.99991	1262	88	1175	1262
622630	658750	16	A	0.99982	1333	71	1263	1333
661670	714210	17	A	0.99999	1437	104	1334	1437
715190	764500	18	A	0.60457	1539	102	1438	1539
764950	784730	19	A	0.60825	1582	43	1540	1582
786750	812290	20	A	0.99977	1639	57	1583	1639
814390	882018	21	A	0.99997	1775	136	1640	1775
882124	888570	22	A	0.99996	1789	14	1776	1789
890670	949730	23	A	1.0	1908	119	1790	1908
950550	978890	24	A	1.0	1979	71	1909	1979
981070	1015510	25	A	0.99008	2063	84	1980	2063
1016250	1052930	26	A	0.99997	2161	98	2064	2161
1053430	1097810	27	A	0.99974	2251	90	2162	2251
1098310	1151374	28	A	0.99999	2362	111	2252	2362
1151422	1190240	29	A	0.99801	2447	85	2363	2447
1193010	1232890	30	A	0.69929	2514	67	2448	2514
1235170	1268710	31	A	0.99934	2583	69	2515	2583
1270730	1324250	32	A	0.99981	2701	118	2584	2701
1324830	1326380	33	A	0.83724	2706	5	2702	2706
1330660	1352200	34	A	0.9941	2754	48	2707	2754
1355450	1382750	35	A	0.65716	2819	65	2755	2819
1385900	1393390	36	A	0.99999	2838	19	2820	2838
1397030	1446180	37	A	0.99922	2946	108	2839	2946
1452360	1482450	38	A	0.79059	3003	57	2947	3003
1485390	1511890	39	A	0.9999	3059	56	3004	3059
1518170	1565140	40	A	0.99996	3149	90	3060	3149
1567270	1577450	41	A	0.25	3168	19	3150	3168
1579550	1636730	42	A	0.76121	3297	129	3169	3297
1637250	1660690	43	A	0.99912	3348	51	3298	3348
1663640	1706400	44	A	0.82309	3438	90	3349	3438
1709710	1723790	45	A	1.0	3471	33	3439	3471
1727540	1746760	46	A	0.99814	3511	40	3472	3511
1749580	1807416	47	A	0.98659	3620	109	3512	3620
1807528	1831140	48	A	0.99923	3670	50	3621	3670
1835270	1900790	49	A	0.56647	3789	119	3671	3789
1903370	1947000	50	A	1.0	3878	89	3790	3878
1950990	1975810	51	A	0.99995	3932	54	3879	3932
