start	end	paragNum	speaker	confidence	startTime	wordCount	text
5850	6400	1	A	0.67517	00:05	1	You.
8450	29598	2	B	0.75905	00:08	47	Hello and welcome. It's September 20, 2023. We're at the Active Inference Institute in the course, active Inference for the social Sciences, and here with Mao Aberrassen, who will be presenting today on norm scripts and linguistics under active inference. So thank you, Mao, to you. Awesome.
29684	55798	3	A	0.99941	00:29	62	So, hi, everyone. In as last time, there was a presentation on semiotics and semantics. I won't dig too far into linguistics, but I'll touch on it at the end of the course. So what are we going to do in this module? We're going to explore the concept of active inference and its relevance to social norms and human decision making.
55984	110880	4	A	0.6588	00:55	135	As you will have seen in the previous classes, active inference is a theoretical framework that seeks to explain how organisms, including humans, engage with their environment to minimize uncertainty and maintain their internal states. We're not going to dig into these concepts too, too much, because I assume they have been previously explained. At length, however, I will explain how they connect to social phenomena. So this framework has significant implications for understanding social behavior, as it can help explain how individuals conform to social norms and make decisions based on the expectations of others. We'll delve into the role of active inference in human societies, emphasizing how humans and other organisms constantly seek to minimize their uncertainty about the world by updating their beliefs and taking actions to maintain a stable internal state.
112050	144730	5	A	0.99998	01:52	79	This is a crucial process for survival. It allows individuals to predict and adapt to their environment. In the context of human societies, active inference plays a critical role in explaining how individuals navigate complex social situations, conform to social expectations, and make decisions that align with their beliefs and values. Furthermore, we'll explore the concept of deontic value within active inference, which refers to the value attributed to actions based on their adherence to social norms and expectations.
147390	182642	6	A	0.99998	02:27	86	By adhering to social norms, individuals can minimize the uncertainty associated with their actions and maintain a sense of predictability and stability in their social environment. So, together, all these insights will provide you with a comprehensive understanding of the complex interplay between active inference, social norms, and human decision making. So let's dive in. We'll start by introducing a philosophical framework. Building on the framework of active inference in activism offers us a complementary lens to understand the dynamic and contextual nature of social cognition.
182786	232098	7	A	0.9999	03:02	91	So, while active inference provides the computational underpinnings for understanding social norms and decision making, we still need to anchor ourselves within a larger theoretical framework. Inactivism enriches this perspective by emphasizing the practical and developmental aspects of social understanding. So what is inactivism if it hasn't been introduced before? Inactivism is a philosophical stance that extends beyond traditional theories of cognition, emphasizing the role of interactions and relational dynamics in shaping both individual and social cognition. It argues that cognition is a dynamic, real time, fluid, and contextual social action.
232274	278530	8	A	0.99999	03:52	74	You can read more about this in Ineshi Bolito's texts and Thomas van S in 2022. Generative models and Hermeneutics serve as a cognitive structure and framework for interpretation, respectively. These elements are continuously updated based on social interactions and signals, thereby facilitating effective communication and understanding. Hermeneutics provides a theoretical framework for interpreting social signals and cues crucial for effective social interactions. So Hermeneutics allows for a nuanced understanding of contextually constituted meaning.
279110	348380	9	A	0.99114	04:39	124	It goes beyond the conventional notion of Self contained objects to explore the deeper contextual meanings in behavior and cognition. Yatimer's Hermeneutics offers a way to analyze social action that goes beyond positivist and humanist approaches by fusing the conceptual schemes of the observer and the social actor. It complements inactivism by providing the interpretive framework that are continuously updated through social interactions, enriching our understanding of cognition as dynamic, real time, and contextual. In the realm of social cognition, inactivism introduces the concept of generalized synchronization, which allows for a nuanced understanding of how social interactions mutually influence cognitive processes. The relationship between individual beliefs and social expectations is complex, and it's fundamentally shaped by our interactions with the others and the world.
349790	395370	10	A	0.99998	05:49	113	We thus see that meaning is coconstituted by the individual and the environment. If we adopt an activist and Hermeneutics approach, we find the philosophical foundations that lead into a comprehensive overview of the intersection with social cognition. If you want more references to read about these topics, you can ask me at the end of the class, and I can send you a few. So it's essential to note, however, that there are some criticisms that point out the limitations of inactivism in explaining social cognition. One of the key criticism is that current articulations of inactivism are not yet up to the task when it comes to explaining complex social interactions.
397470	449734	11	A	0.6425	06:37	108	Despite these criticisms, inactivism provides a consistent epistemology for a psychology that is intrinsically social. Looking forward, the field of inactivism and social cognition is ripe for exploration and would benefit from a deeper connection to active inference. There has been such research, so researchers like Maxwell Ramstead has developed a concept of inactive inference, which offers a promising avenue for integrating inactivism and active inference. His research aligns with folk psychology and suggests that these frameworks can coexist and enrich our understandings of social cognition. Future other directions could involve, for instance, integrating inactivism with other cognitive theories and exploring its applicability in real world social scenarios.
449862	478050	12	A	1.0	07:29	61	Through its connection to active inference, we can make accurate and testable predictions. So while inactivism now provides us with a foundational understanding of cognition and social interaction, the concept of agency further enriches this understanding by introducing more philosophical perspectives that align with or diverge from inactivism. So we can build on top of inactivism through the notion of agency.
480570	515390	13	A	0.99852	08:00	80	So we will now focus on the key issue of inactivism, which is how does agency emerge? How do things self organize through their interaction with the environment? Why are they not fully determined? How can we account for agency in a system where effectively self organization is seen as some degree of determined by the materiality of the agent and its environment? Agency is a complex construct that has been explored through a multitude of philosophical and scientific frameworks.
