docLabel	start	end	count	rank	text
CCL2023-07	3512272	4780386	2	0.07	active inference agents
CCL2023-07	3512032	3513338	1	0.07	other active inference agents
CCL2023-07	13132	6262540	65	0.07	active inference
CCL2023-07	6044852	6046506	1	0.07	active inference accounts
CCL2023-07	4959548	4960566	1	0.06	active inference offering
CCL2023-07	3240326	3243504	1	0.06	active inference style stuff
CCL2023-07	4962422	4962970	1	0.05	different things
CCL2023-07	4391296	4392134	1	0.05	active influence
CCL2023-07	3238900	6197000	7	0.05	generative models
CCL2023-07	5160128	5161334	1	0.05	cognitive models
CCL2023-07	3400492	3401830	1	0.05	active imprints
CCL2023-07	5325828	5326574	1	0.05	specific things
CCL2023-07	6082208	6084074	1	0.05	active inference generative model
CCL2023-07	4123938	5857358	3	0.05	inference ontology
CCL2023-07	751034	1350684	2	0.05	specific principles
