start	end	sentNum	speaker	confidence	text
6810	8120	2	B	0.53971	Hello and welcome.
8650	11862	3	B	1	It is September 12, 2023.
11996	26098	4	B	0.85307	We're here in the Active Inference for the Social Sciences course at the Active Inference Institute and having a discussion section on semiotics and semantics here with Lorena Ganzerla.
26274	29294	5	B	0.73679	We're going to be having a fun discussion, I hope.
29412	34458	6	B	0.99917	If you're watching Live, please feel free to write any questions in the Live chat.
34634	38682	7	B	0.98131	If you thought about joining and you weren't sure, it's not too late.
38826	46978	8	B	0.96906	Otherwise, we're going to pick up on some key points from the lecture and on the topic and see where we go.
47064	56200	9	B	0.90672	So, Lorena, welcome back and however you want to begin, let's go from there.
57450	58246	10	C	0.56	Okay.
58428	58918	11	C	0.99977	Hello.
59004	60710	12	C	0.99998	Thank you, Daniel.
62170	75978	13	C	0.99764	So let's try to recap a little bit where we left off during the lecture just to remind us where we were.
76064	94866	14	C	0.99911	Like, my point, what I was trying to articulate was the idea of what does it mean to talk about a formal semantics in a way that is not really loaded because it's an interesting thought.
95048	101314	15	C	0.95336	Like to have a semantics that is actually only formal, right?
101432	110214	16	C	0.99999	In principle, it would be relative to meaningful to meaning, right?
110412	120040	17	C	0.67556	In the notion that active inference is trying to cash it out.
124170	133630	18	C	0.70305	It's more like an idea or a way of modeling how we deal with meaningful situations.
134450	142530	19	C	1	And to understand that in a more interesting, more embodied and more concrete way.
142600	166570	20	C	1	I was suggesting that we could use biosemiotics as a as a model and as a theory for living creatures like language users to navigate the realm of symbols.
168510	210550	21	C	0.98	And gave one example which came from James Cott, which is the European forestry that comes with a practice understanding this scientific understanding of forests as a practice that allows us to refer to meaningful things in the environment in terms of what is valuable, what's interesting and what is not and interestingly, what is more important also from what becomes valuable.
211130	218754	22	C	1	It is what is cropped out from the meaningful perspective.
218802	228098	23	C	0.99981	So things natural parts of nature becomes left out or understood as something that is not desirable.
228214	253960	24	C	0.99	And you just understand what you don't want in your articulating principle as wheats or something that you should get rid of in respect to what is more desirable in terms of crops and how you understand nature in a more commoditized way.
260010	271690	25	C	0.95	And I find, like this example from Scott kind of very elucidating in the book.
271760	281614	26	C	0.89735	He creates this in the book, he's talking about states how we articulate life around one specific notion of state.
281812	287434	27	C	0.5476	But in this specific example, he has the idea of one official observer.
287562	338340	28	C	0.87	And this official observer establishes a principle of meaning in a way, you have to have a handle of nature, and that also articulates how villages and how practices around agriculture and how people relate to each other within these practices gets organized specifically for one interesting point that he makes that is to appreciate the constriction of that is like a vision that notices not what within the meaningful crops, but which is left outside the field of vision.
341240	379010	29	C	1	And I bring that specifically to understand how the fragility principle can or could be connected to a generalized synchronization over time in relation to those symbols and those practices in terms of niche construction and how this niche construction brings along with the symbolic use of language, predictive value.
386410	387206	30	B	0.99098	Thank you.
387308	394710	31	B	0.23137	Brynn, want to bring up any thoughts on that or any other pieces or I'm happy to add a comment.
405120	413372	32	B	0.60218	Brynn okay, guess not.
413426	414030	33	C	0.62	Okay.
417780	419104	34	B	1	A lot to say there.
419222	422444	35	B	0.51918	There was a little bit of a double play with what is cropped.
422572	431300	36	B	1	On one hand, what is cropped is the industrial crop that is being prepared.
433640	436964	37	B	0.99	And then the other side of that coin is what is cropped out.
437162	444088	38	B	1	And what we crop in is the part that we're paying attention to and we can't pay attention to everything.
444254	447364	39	B	0.92051	So it's like two sides of the same coin.
447492	457420	40	B	0.99998	What we pay attention to, what we include in attention in our cognitive awareness, leaves the shadow, which is what we exclude.
457920	462910	41	B	1	And that could be like the weeds or the other ecosystem services.
463360	480016	42	B	0.99996	So by highlighting the meaning or one dimension of meaning or one stance on meaning, it's like a seesaw that becomes salient to the extent that something else must be deprioritized.
480208	484336	43	B	0.94219	So that's how we accentuate these distributions of meaning.
484528	493450	44	B	1	And what do we get from active inference and free energy principle beyond, for example, what's provided in seeing like a state?
494540	496344	45	B	1	I think there's a lot we could say on that.
496382	511224	46	B	0.99956	But one piece is we get a process theory, a real procedural approach to how different systems come to do sense making and cognition and action.
511352	535568	47	B	0.99571	So just describing the lay of the land or the history of forestry in Europe or any other state of affairs in the world, merely describing it may not even help us determine what's going to happen a short time later, let alone a long time later, or what might happen in a very different ecology.
535744	557848	48	B	0.54691	Whereas if we understand the processes of sense making and decision making that different kinds of cognitive agents do, certainly humans also though states as cognitive entities, which is what seeing like a state or thinking like a state entails, we get a process based view on what otherwise might be merely descriptive.
557944	568210	49	B	1	And along with that process based view, we gain an increased ability to make unique explanations, predictions, accounts, and so on.
570580	591032	50	C	0.68	Yeah, we can also understand it in a different perspective in terms of realizing what becomes sensitized and what becomes desensitized along the process.
591086	598824	51	C	0.85379	So you can possibly model that using these kind of tools and understanding how that happens over time.
599022	609284	52	C	1	I don't know how much in terms of prediction of things that were not foreseen in these descriptions, we can achieve.
609412	624172	53	C	0.99864	In fact, you can achieve some level for sure, but that system should be decide how that delivers a very all encompassing prediction.
624316	626912	54	C	0.99915	In this case, I don't believe it can.
626966	627184	55	B	0.99906	Right.
627222	662590	56	C	0.98	I don't think that's the purpose as well, but we can at least have which might not be as positive as we want, but I think we can understand how we can gain some understanding in this process of being more sensitive or less sensitive to specific primes and how these organizational principles, how powerful they become over time.
666060	673032	57	B	0.98	Yeah, I'll read some comments in the chat and then Lorena or Brent feel free to just give any thoughts.
673096	676780	58	B	0.92161	Just upcycle club wrote hello.
676930	690320	59	B	0.38317	Biomimicry can enhance biosemiotics by showing us how nature solves problems and creates beauty through signs and codes and by encouraging us to apply these principles to our own creations.
692200	703972	60	C	0.7	Yeah, the idea of coding is an interesting idea, but to talk about codes, I don't think that's my take.
704026	705510	61	C	0.99948	Right, I don't understand.
706360	714948	62	C	1	We haven't coded any type of principles within our cognitive ability.
715044	735260	63	C	0.99517	But biologically speaking, however, you can understand these encodings in terms of becoming more or less sensitive over time to environmental cues as the example in terms of I use the example of forestry.
735340	736064	64	C	0.99991	Right.
736262	744900	65	C	0.99995	So in that specific case, what?
744970	752580	66	C	1	You become more sensitive and the more you organize your life, or social life is organized around specific principles.
753240	785280	67	C	1	Then you can make sense of these relational stories instead of just leveraging one full difficult to explain notion of encoding in terms of social cognition because it will be hard to explain how the brain will be encoding these specific symbols, but they can be cashed out in the environment relationally in terms of those organizational principles.
