start	end	speaker	sentiment	confidence	text
3330	3880	A	0.546256959438324	You.
6810	8120	B	0.872096598148346	Hello and welcome.
8650	11862	B	0.9174364805221558	It is September 12, 2023.
11996	26098	B	0.9132304787635803	We're here in the Active Inference for the Social Sciences course at the Active Inference Institute and having a discussion section on semiotics and semantics here with Lorena Ganzerla.
26274	29294	B	0.9777611494064331	We're going to be having a fun discussion, I hope.
29412	34458	B	0.7291085124015808	If you're watching Live, please feel free to write any questions in the Live chat.
34634	38682	B	0.7250155210494995	If you thought about joining and you weren't sure, it's not too late.
38826	46978	B	0.7753167748451233	Otherwise, we're going to pick up on some key points from the lecture and on the topic and see where we go.
47064	56200	B	0.8222917914390564	So, Lorena, welcome back and however you want to begin, let's go from there.
57450	58246	C	0.584351658821106	Okay.
58428	58918	C	0.5208580493927002	Hello.
59004	60710	C	0.8880262970924377	Thank you, Daniel.
62170	75978	C	0.871159553527832	So let's try to recap a little bit where we left off during the lecture just to remind us where we were.
76064	94866	C	0.562006950378418	Like, my point, what I was trying to articulate was the idea of what does it mean to talk about a formal semantics in a way that is not really loaded because it's an interesting thought.
95048	101314	C	0.8230551481246948	Like to have a semantics that is actually only formal, right?
101432	110214	C	0.8767150640487671	In principle, it would be relative to meaningful to meaning, right?
110412	120040	C	0.8045294284820557	In the notion that active inference is trying to cash it out.
124170	133630	C	0.8471574187278748	It's more like an idea or a way of modeling how we deal with meaningful situations.
134450	142530	C	0.7220140099525452	And to understand that in a more interesting, more embodied and more concrete way.
142600	166570	C	0.85112464427948	I was suggesting that we could use biosemiotics as a as a model and as a theory for living creatures like language users to navigate the realm of symbols.
168510	210550	C	0.5350817441940308	And gave one example which came from James Cott, which is the European forestry that comes with a practice understanding this scientific understanding of forests as a practice that allows us to refer to meaningful things in the environment in terms of what is valuable, what's interesting and what is not and interestingly, what is more important also from what becomes valuable.
211130	218754	C	0.7304496765136719	It is what is cropped out from the meaningful perspective.
218802	228098	C	0.7471920251846313	So things natural parts of nature becomes left out or understood as something that is not desirable.
228214	253960	C	0.5366372466087341	And you just understand what you don't want in your articulating principle as wheats or something that you should get rid of in respect to what is more desirable in terms of crops and how you understand nature in a more commoditized way.
260010	271690	C	0.7113261818885803	And I find, like this example from Scott kind of very elucidating in the book.
271760	281614	C	0.8818871974945068	He creates this in the book, he's talking about states how we articulate life around one specific notion of state.
281812	287434	C	0.768762469291687	But in this specific example, he has the idea of one official observer.
287562	338340	C	0.7040528655052185	And this official observer establishes a principle of meaning in a way, you have to have a handle of nature, and that also articulates how villages and how practices around agriculture and how people relate to each other within these practices gets organized specifically for one interesting point that he makes that is to appreciate the constriction of that is like a vision that notices not what within the meaningful crops, but which is left outside the field of vision.
341240	379010	C	0.8976976275444031	And I bring that specifically to understand how the fragility principle can or could be connected to a generalized synchronization over time in relation to those symbols and those practices in terms of niche construction and how this niche construction brings along with the symbolic use of language, predictive value.
386410	387206	B	0.8529649376869202	Thank you.
387308	394710	B	0.5867694020271301	Brynn, want to bring up any thoughts on that or any other pieces or I'm happy to add a comment.
405120	413372	B	0.643727719783783	Brynn okay, guess not.
413426	414030	C	0.584351658821106	Okay.
417780	419104	B	0.7859137058258057	A lot to say there.
419222	422444	B	0.798943042755127	There was a little bit of a double play with what is cropped.
422572	431300	B	0.7465934157371521	On one hand, what is cropped is the industrial crop that is being prepared.
