start	end	paragNum	speaker	pconfid	wordPos	paragWordPos	paragFirstWordCount	paragLastWordCount
3330	3880	1	A	0.77	1	1	1	1
6810	34458	2	B	0.53971	63	62	2	63
34634	58918	3	B	0.98131	114	51	64	114
59004	110214	4	C	0.99998	197	83	115	197
110412	120040	5	C	0.67556	209	12	198	209
124170	218754	6	C	0.70305	340	131	210	340
218802	253960	7	C	0.99981	400	60	341	400
260010	338340	8	C	0.95	528	128	401	528
341240	379010	9	C	1.0	578	50	529	578
386410	394710	10	B	0.99098	600	22	579	600
405120	414030	11	B	0.60218	605	5	601	605
417780	431300	12	B	1.0	637	32	606	637
433640	462910	13	B	0.99	713	76	638	713
463360	511224	14	B	0.99996	811	98	714	811
511352	568210	15	B	0.99571	941	130	812	941
570580	626912	16	C	0.68	1035	94	942	1035
626966	662590	17	B	0.99906	1095	60	1036	1095
666060	705510	18	B	0.98	1174	79	1096	1174
706360	752580	19	C	1.0	1245	71	1175	1245
753240	827916	20	C	1.0	1374	129	1246	1374
828018	882290	21	B	0.99892	1487	113	1375	1487
882980	944076	22	B	0.96798	1608	121	1488	1608
944268	973020	23	B	1.0	1675	67	1609	1675
976630	1034280	24	C	1.0	1803	128	1676	1803
1034810	1107040	25	C	0.74535	1937	134	1804	1937
1108530	1164900	26	C	0.99999	2038	101	1938	2038
1166150	1180920	27	C	0.99978	2074	36	2039	2074
1184660	1212010	28	C	0.74215	2124	50	2075	2124
1215500	1254020	29	B	0.99994	2192	68	2125	2192
1255000	1266200	30	B	0.99997	2208	16	2193	2208
1269100	1307860	31	C	0.99965	2263	55	2209	2263
1311100	1358340	32	C	0.9488	2336	73	2264	2336
1360600	1439306	33	C	1.0	2444	108	2337	2444
1439338	1457300	34	C	1.0	2486	42	2445	2486
1460010	1499486	35	B	0.99	2552	66	2487	2552
1499678	1543950	36	B	1.0	2639	87	2553	2639
1544370	1627354	37	B	0.99	2777	138	2640	2777
1627552	1673100	38	C	0.9999	2860	83	2778	2860
1675470	1744560	39	B	0.97073	3012	152	2861	3012
1745030	1800094	40	B	0.99885	3111	99	3013	3111
1800142	1876512	41	C	0.99988	3230	119	3112	3230
1876576	1948716	42	C	0.9994	3363	133	3231	3363
1948818	1983620	43	C	1.0	3415	52	3364	3415
1987870	1999870	44	C	0.99996	3429	14	3416	3429
2002900	2030200	45	B	0.92	3476	47	3430	3476
2030350	2065456	46	B	1.0	3565	89	3477	3565
2065558	2103184	47	B	1.0	3631	66	3566	3631
2103302	2161120	48	B	0.57	3744	113	3632	3744
2162280	2188844	49	B	0.99066	3798	54	3745	3798
2188962	2236040	50	B	1.0	3884	86	3799	3884
2239420	2306076	51	C	0.59	4026	142	3885	4026
2306268	2366704	52	B	1.0	4133	107	4027	4133
2366752	2423510	53	B	0.99981	4230	97	4134	4230
2425320	2428630	54	C	0.9995	4238	8	4231	4238
2458220	2462860	55	C	0.89	4249	11	4239	4249
2467200	2496790	56	C	0.57729	4300	51	4250	4300
2501720	2530000	57	C	1.0	4347	47	4301	4347
2532980	2567890	58	C	1.0	4414	67	4348	4414
2576380	2629220	59	B	0.93444	4507	93	4415	4507
2629380	2659680	60	B	0.99999	4575	68	4508	4575
2663680	2673680	61	C	0.99729	4589	14	4576	4589
2681330	2772632	62	C	0.99884	4697	108	4590	4697
2772766	2790220	63	C	1.0	4738	41	4698	4738
2792720	2839420	64	B	0.9999	4820	82	4739	4820
2841440	2920840	65	B	1.0	4959	139	4821	4959
2923820	2949810	66	B	0.99989	5019	60	4960	5019
2952420	2978090	67	C	0.84684	5069	50	5020	5069
2980300	3049040	68	B	1.0	5181	112	5070	5181
3054380	3088128	69	C	0.64	5271	90	5182	5271
3088144	3091670	70	B	0.91487	5283	12	5272	5283
3093880	3158772	71	B	0.9999	5397	114	5284	5397
3158836	3173330	72	C	0.47	5427	30	5398	5427
3175540	3190950	73	C	1.0	5458	31	5428	5458
3195780	3215400	74	B	0.99524	5501	43	5459	5501
3215820	3216810	75	B	0.95986	5503	2	5502	5503
3220460	3284588	76	A	0.99	5628	125	5504	5628
3284674	3303750	77	A	0.99977	5676	48	5629	5676
