docLabel	start	end	count	rank	text
AIFSS-06D	15422	2972912	26	0.06	active inference
AIFSS-06D	2972218	2974230	1	0.06	active inference journal work
AIFSS-06D	2121478	2122732	1	0.06	active inference modeling
AIFSS-06D	1981408	1983472	1	0.06	check level active inference
AIFSS-06D	1752728	1754414	1	0.06	active inference enactivists
AIFSS-06D	2742364	2744790	1	0.06	hierarchical active models
AIFSS-06D	68658	173102	2	0.05	specific questions
AIFSS-06D	323970	1832346	2	0.05	social constraints
AIFSS-06D	52602	1455106	2	0.05	more questions
AIFSS-06D	2222636	2223350	1	0.05	good things
AIFSS-06D	193816	194922	1	0.05	act inference
AIFSS-06D	2031558	2032632	1	0.05	axio inference
AIFSS-06D	1116672	1118148	1	0.04	minimization things
AIFSS-06D	2517772	2519996	1	0.04	free energy principle systems
AIFSS-06D	2178896	2181530	1	0.04	human social aggregated collective behavior
