start	end	speaker	confidence	paragNum	paragWordCount	wordPos	text
4770	5320	A	0.5877	1	1	1	You.
7370	7974	A	1.0	2	1	2	Hello
8092	8374	A	1.0	2	2	3	and
8412	8662	A	1.0	2	3	4	welcome,
8716	9126	A	0.72211	2	4	5	everyone.
9228	9586	A	0.49858	2	5	6	It's
9618	10546	A	0.56	2	6	7	October
10738	11474	A	0.59	2	7	8	18,
11522	12838	A	0.98	2	8	9	2023.
13004	13474	A	0.49193	2	9	10	We're
13522	13734	A	0.89536	2	10	11	in
13772	14118	A	0.52	2	11	12	the
14204	14598	A	0.99984	2	12	13	course
14684	15106	A	0.99861	2	13	14	active
15138	15698	A	0.97705	2	14	15	inference
15794	16006	A	1.0	2	15	16	for
16028	16166	A	1.0	2	16	17	the
16188	16422	A	1.0	2	17	18	social
16476	17170	A	0.99907	2	18	19	sciences.
17330	17606	A	1.0	2	19	20	And
17628	17910	A	1.0	2	20	21	today
17980	18402	A	0.53465	2	21	22	we're
18466	18694	A	0.99999	2	22	23	in
18732	18934	A	1.0	2	23	24	the
18972	19634	A	0.92014	2	24	25	lecture
19762	20054	A	0.85328	2	25	26	by
20092	20246	A	1.0	2	26	27	the
20268	20598	A	0.99992	2	27	28	course
20684	20934	A	1.0	2	28	29	co
20972	21634	A	0.97582	2	29	30	organizer,
21682	21894	A	1.0	2	30	31	and
21932	22086	A	0.99992	2	31	32	that
22108	22246	A	0.99971	2	32	33	will
22268	22546	A	0.7597	2	33	34	kick
22578	22774	A	0.99998	2	34	35	off
22812	23014	A	1.0	2	35	36	the
23052	23398	A	0.99998	2	36	37	final
23484	23782	A	0.9131	2	37	38	leg
23836	24006	A	1.0	2	38	39	of
24028	24166	A	1.0	2	39	40	the
24188	24854	A	0.99999	2	40	41	course,
25052	25414	A	0.99998	2	41	42	which
25452	25894	A	0.99996	2	42	43	is
26012	26498	A	0.30936	2	43	44	Avel
26514	26866	A	0.73039	2	44	45	Gwenin
