start	end	sentNum	speaker	confidence	wordPosSent	wordPosDoc	text
3480	4030	1	A	0.86309	1	1	You.
6000	6412	2	B	0.98519	1	2	Hello
6466	6636	2	B	1.0	2	3	and
6658	6940	2	B	0.99991	3	4	welcome,
7010	7676	2	B	0.99918	4	5	everyone.
7858	8296	3	B	0.86187	1	6	It's
8328	8616	3	B	0.95	2	7	June
8648	9052	3	B	0.7	3	8	3,
9106	10364	3	B	0.78	4	9	2023.
10482	10776	4	B	0.9192	1	10	We're
10808	10956	4	B	0.99986	2	11	in
10978	11116	4	B	1.0	3	12	the
11138	11420	4	B	1.0	4	13	first
11490	12072	4	B	0.93197	5	14	discussion
12136	12728	4	B	0.9948	6	15	section
12824	13084	4	B	0.99967	7	16	for
13122	13544	4	B	0.99796	8	17	Physics
13592	13804	4	B	0.99943	9	18	as
13842	14284	4	B	0.99982	10	19	information
14402	14984	4	B	0.99974	11	20	processing
15032	15292	4	B	0.99896	12	21	course
15346	15516	4	B	0.99991	13	22	with
15538	15816	4	B	0.99897	14	23	Chris
15848	16584	4	B	0.99948	15	24	Fields.
16712	17196	5	B	0.60605	1	25	So
17298	17756	5	B	0.9999	2	26	welcome
17858	18220	5	B	0.99	3	27	to
18290	18572	5	B	0.99995	4	28	all
18626	18796	5	B	0.99927	5	29	who
18818	19148	5	B	0.71703	6	30	are
19234	19580	5	B	0.55003	7	31	here
19650	19884	5	B	0.71014	8	32	on
19922	20076	5	B	1.0	9	33	and
20098	20332	5	B	0.99993	10	34	off
20386	20872	5	B	0.99645	11	35	camera.
20936	21212	6	B	0.99995	1	36	Really
21266	21624	6	B	0.99805	2	37	exciting
21672	21836	6	B	1.0	3	38	to
21858	22332	6	B	0.99968	4	39	see
22466	22716	6	B	0.99988	5	40	so
22738	22924	6	B	0.99999	6	41	many
22962	23260	6	B	0.99999	7	42	people
23330	23832	6	B	0.98425	8	43	joining
23896	24124	6	B	0.99964	9	44	for
24162	24556	6	B	0.99996	10	45	this
