text	entity_type		start	end
July 1, 2023	date		8072	10524
Physics	occupation		11202	11544
andre	person_name		25842	26584
Daniel	person_name		35578	36340
Chris	person_name		44622	45012
quantum theory	occupation		57954	58616
dynamical theory	occupation		65122	66620
Chris	person_name		78342	78696
chris	person_name		135800	136256
rodoxin	drug		162082	163180
quantum mechanics	occupation		191898	192736
Andre	person_name		221772	222560
Alice	person_name		316338	316664
Bob	person_name		316834	317016
chris	person_name		393952	394176
quantum mechanics	occupation		442478	443300
Rovelli	person_name		509362	510460
Rovelli	person_name		522098	522548
Dean	person_name		533274	533664
Chris	person_name		539066	539616
quantum mechanics	occupation		552942	554224
theoretic	occupation		564936	565624
Anders	person_name		597630	598084
Italian	nationality		679178	679536
physicist	occupation		679568	680144
Kiribella	person_name		681066	681904
Dean	person_name		682346	682644
quantum mechanics	occupation		688798	689524
quantum mechanics	occupation		690228	690884
Physics	occupation		696722	697064
Physics	occupation		697426	698296
scientist	occupation		764118	764604
Chris	person_name		784734	785124
operators	occupation		815382	815916
Alexey	person_name		891820	893000
mathematics	occupation		901602	902136
teacher	occupation		902168	902408
Chris	person_name		911606	911964
Shannon	person_name		918102	918524
Sandra	person_name		921338	921744
Chris	person_name		924442	924704
Bob	person_name		956902	957196
Alice	person_name		957590	957964
Chris	person_name		967460	967836
Audrey	person_name		969932	970316
Chris	person_name		976470	976764
computer science	occupation		1015558	1016284
Alice	person_name		1016950	1017244
Bob	person_name		1017414	1017724
Alice	person_name		1022122	1022592
Bob	person_name		1024538	1024816
computer science	occupation		1039294	1040440
computer science	occupation		1110882	1111496
Ellis	person_name		1111698	1111976
painter	occupation		1112274	1112632
Bob	person_name		1117586	1118136
Ellis	person_name		1120422	1120844
red green colorblindness	medical_condition		1133126	1134812
colorblind	medical_condition		1161858	1162860
colorblindness	medical_condition		1185322	1186064
Chris	person_name		1236538	1236816
Daniel	person_name		1282858	1283648
Alexey	person_name		1388698	1389620
Chris	person_name		1394122	1394464
quantum physics	occupation		1409938	1410584
Dean	person_name		1570440	1571300
Chris	person_name		1602260	1602716
Alice	person_name		1610342	1610860
Alice	person_name		1619082	1619552
Alice	person_name		1625848	1626126
Alice	person_name		1675276	1675586
Bob alice	person_name		1677906	1678594
Peaches	person_name		1679532	1680470
Daniel	person_name		1731804	1732466
physics	occupation		1818728	1819214
metaphysics	occupation		1819512	1820610
physics	occupation		1841408	1841894
Alexey	person_name		1849860	1850990
Alexi	person_name		1865528	1865918
Daniel	person_name		1866488	1866814
Daniel	person_name		1881052	1881474
Alice	person_name		1895494	1895814
Bob	person_name		1896304	1896566
Bob	person_name		1896598	1896886
Alice	person_name		1899316	1900106
Ellis	person_name		1912040	1912446
Bob	person_name		1913160	1913550
Ellis	person_name		1913630	1914046
Ellis	person_name		1926888	1927246
Bob Ellis	person_name		1927960	1929122
correspondent	occupation		1937616	1938730
Alice	person_name		1965430	1965982
atomic force microscopy	medical_process		1992512	1994662
X rays	medical_process		2000842	2001498
quantum mechanics	occupation		2017262	2018094
Dean	person_name		2082828	2083266
Landauer	person_name		2105570	2106570
Dean	person_name		2133770	2134322
Alice	person_name		2139488	2139846
Daniel	person_name		2201108	2201418
Chris	person_name		2210408	2210734
Chris	person_name		2267112	2267614
Chris	person_name		2309812	2310186
Alice	person_name		2364168	2364494
Federman	person_name		2457892	2458362
Daniel	person_name		2477992	2478382
Chris	person_name		2549904	2550326
dean	occupation		2552850	2553354
Chris	person_name		2615352	2615790
quantum mechanics	occupation		2632572	2633714
Bayesian mechanics	occupation		2666008	2667438
mechanics	occupation		2668376	2668894
physics	occupation		2669304	2670126
physics	occupation		2677068	2677522
Andre	person_name		2711730	2712186
Chris	person_name		2720008	2720286
Chris	person_name		2792350	2792806
Robelli	person_name		2794992	2795942
Chris	person_name		2968870	2969374
graph theory	occupation		2982476	2983074
Chris	person_name		3068152	3068526
Dino	person_name		3162828	3163510
physics	occupation		3195666	3196024
Chris	person_name		3198994	3199336
condensed matter physicist	occupation		3205094	3206124
physics	occupation		3207878	3208204
condensed matter theorists	occupation		3212358	3213452
Ada Saft	person_name		3220346	3221152
physicist	occupation		3223834	3224304
Chris	person_name		3233470	3234120
Chris	person_name		3264742	3265192
Alexey	person_name		3358576	3359254
Dean	person_name		3359552	3359846
Chris	person_name		3417808	3418086
Andre	person_name		3435992	3436286
quantum theory	occupation		3499836	3501030
Danielle	person_name		3504732	3505750
Chris	person_name		3509392	3509750
Chris	person_name		3515630	3516086
Chris	person_name		3527140	3527514
Chris	person_name		3534062	3534606
Daniel	person_name		3546120	3546626
Chris	person_name		3611776	3612278
Dean	person_name		3631172	3631802
Alice	person_name		3635192	3635582
Bob	person_name		3640472	3641022
feynman	person_name		3653548	3654002
Bob	person_name		3662016	3662374
Andrew	person_name		3663712	3664374
Alice	person_name		3667056	3667782
bob	person_name		3669630	3670086
Bob	person_name		3684790	3685534
Large Hadron Collider	location		3735030	3736930
quantum theory	occupation		3810588	3811798
quantum theory	occupation		3815488	3816406
heisenberg	person_name		3830852	3831674
Heisenberg	person_name		3903244	3904514
heisenberg	person_name		3929972	3930586
quantum theory	occupation		3944328	3944974
Andrew	person_name		3949772	3950194
Alexey	person_name		3967088	3967606
Alexi	person_name		3968208	3968598
Chris	person_name		3975972	3976186
heisenberg	person_name		3976452	3977434
Alice	person_name		4038870	4039374
Alice	person_name		4056396	4056834
Alice	person_name		4126676	4127242
Alice	person_name		4127572	4127914
Alice	person_name		4146792	4147434
Alice	person_name		4149292	4149970
Alice	person_name		4157452	4158258
Einstein	person_name		4175770	4176890
Einstein	person_name		4177588	4178106
observers	occupation		4180644	4181242
Einstein	person_name		4189912	4190686
Daniel	person_name		4201148	4201554
Alice	person_name		4223972	4224750
Bateson	person_name		4241448	4242046
Chris	person_name		4354408	4354654
