docLabel	sp	myTime	myTimeDisplay	myTimeSRT
cFPIP-02W	A	4280	00:04	00:00:04,276
cFPIP-02W	A	35242	00:35	00:00:35,620
cFPIP-02W	A	262320	04:22	00:04:22,392
cFPIP-02W	A	641900	10:41	00:10:41,828
cFPIP-02W	A	961780	16:01	00:16:01,667
cFPIP-02W	A	1157420	19:17	00:19:17,044
cFPIP-02W	A	1259840	20:59	00:20:59,140
cFPIP-02W	A	1516080	25:16	00:25:16,367
cFPIP-02W	A	2097302	34:57	00:34:57,894
cFPIP-02W	A	2764290	46:04	00:46:04,489
cFPIP-02W	A	3187806	53:07	00:53:07,870
cFPIP-02W	A	3440600	57:20	00:57:20,099
cFPIP-02W	A	3503610	58:23	00:58:23,156
cFPIP-02W	A	3995030	1:06:35	01:06:35,599
cFPIP-02W	A	4299800	1:11:39	01:11:39,347
cFPIP-02W	C	18786	00:18	00:00:18,976
cFPIP-02W	C	224342	03:44	00:03:44,072
cFPIP-02W	C	891820	14:51	00:14:51,087
cFPIP-02W	C	1035980	17:15	00:17:15,349
cFPIP-02W	C	1298548	21:38	00:21:38,173
cFPIP-02W	C	1436986	23:56	00:23:56,299
cFPIP-02W	C	1484480	24:44	00:24:44,341
cFPIP-02W	C	1570440	26:10	00:26:10,415
cFPIP-02W	C	1771496	29:31	00:29:31,598
cFPIP-02W	C	1977436	32:57	00:32:57,786
cFPIP-02W	C	2632170	43:52	00:43:52,375
cFPIP-02W	C	3169880	52:49	00:52:49,858
cFPIP-02W	C	3367470	56:07	00:56:07,032
cFPIP-02W	C	3493230	58:13	00:58:13,146
cFPIP-02W	C	3526370	58:46	00:58:46,179
cFPIP-02W	C	3611310	1:00:11	01:00:11,229
cFPIP-02W	C	4272830	1:11:12	01:11:12,078
cFPIP-02W	C	4309918	1:11:49	01:11:49,448
cFPIP-02W	B	552540	09:12	00:09:12,995
cFPIP-02W	B	754720	12:34	00:12:34,836
cFPIP-02W	B	1573480	26:13	00:26:13,418
cFPIP-02W	B	2468414	41:08	00:41:08,223
cFPIP-02W	B	3551130	59:11	00:59:11,198
cFPIP-02W	D	901200	15:01	00:15:01,121
cFPIP-02W	D	1016332	16:56	00:16:56,212
cFPIP-02W	D	1107100	18:27	00:18:27,000
cFPIP-02W	D	1199630	19:59	00:19:59,086
cFPIP-02W	D	1390520	23:10	00:23:10,253
cFPIP-02W	D	1468480	24:28	00:24:28,325
cFPIP-02W	D	1852788	30:52	00:30:52,673
cFPIP-02W	E	3645910	1:00:45	01:00:45,686
cFPIP-02W	E	4012270	1:06:52	01:06:52,772
