start	end	speaker	wconfidence	text
2490	3040	A	0.65161	You.
5970	6430	B	0.99995	Hello
6500	6782	B	0.99	and
6836	7294	B	1.0	welcome.
7412	7786	B	0.99953	It's
7818	8154	B	0.52	July
8202	8938	B	0.66	29,
9034	9406	B	1.0	2023,
9428	10942	B	0.84	and
10996	11226	B	0.86799	we're
11258	11598	B	0.7256	here
11684	12366	B	0.6356	in
12548	13354	B	0.99661	session
13482	14158	B	1.0	three
14324	15310	B	0.9375	discussion
15890	16734	B	1.0	of
16932	17294	B	1.0	the
17332	17582	B	0.99895	course
17636	18186	B	0.50404	physics's
18218	18606	B	1.0	Information
18708	19354	B	0.99995	Processing
19402	19518	B	1.0	at
19524	19646	B	0.79	the
19668	19946	B	0.7493	Active
19978	20394	B	0.9984	Inference
20442	21386	B	0.98796	Institute.
21578	21978	B	0.92093	We're
21994	22222	B	0.99775	having
22276	22542	B	1.0	a
22596	22814	B	0.99997	follow
22852	23102	B	0.90747	up
23156	23786	B	0.67115	discussion
23898	24270	B	0.99998	on
24340	24634	B	0.97804	Chris
24682	25306	B	0.86704	Fields's
25338	25630	B	1.0	third
25700	26250	B	0.99998	lecture
26330	26622	B	0.99993	on
26676	27138	B	0.98973	quantum
27194	27554	B	0.98716	reference
27602	28390	B	0.91503	frames,
28890	29350	B	0.99	and
29420	30002	B	0.50293	we're
30146	30454	B	0.99998	looking
30492	30694	B	0.99989	forward
30732	30886	B	1.0	to
30908	31094	B	0.99947	your
31132	32098	B	0.74277	participation.
32274	32566	B	0.9926	So
32588	32726	B	0.99721	if
32748	32898	B	0.99975	you're
32914	33094	B	0.99984	watching
33132	33430	B	0.80383	along
33500	33830	B	0.99973	live
33900	34278	B	1.0	and
34364	34626	B	0.99106	you've
34658	34806	B	0.99999	been
34828	35074	B	0.99676	invited
35122	35238	B	1.0	to
35244	35366	B	1.0	the
35388	35746	B	0.99979	calendar
35778	36022	B	0.99996	event,
36076	36306	B	0.98344	it's
36338	36486	B	0.99999	not
36508	36646	B	0.99999	too
36668	36866	B	0.99691	late
36898	37046	B	1.0	to
37068	37394	B	0.99998	jump
37442	37942	B	0.9999	in.
38076	38326	B	0.9997	If
38348	38546	B	0.97914	you're
38578	38966	B	0.99991	watching
39068	39334	B	0.99998	on
39372	40034	B	0.99953	YouTube,
40162	40406	B	0.99993	you
40428	40710	B	0.99986	can
40780	41062	B	0.99997	write
41116	41334	B	0.99999	any
41372	41718	B	0.99999	questions
41804	42054	B	0.99998	or
42092	42946	B	0.99988	comments
43138	43638	B	0.99918	in
43724	43974	B	1.0	the
44012	44214	B	0.99998	live
44252	44738	B	0.99994	chat
44834	45094	B	0.9999	with
45132	45474	B	0.99811	Dean
45522	45686	B	1.0	And.
45708	46078	B	0.84102	Ander
46114	46554	B	0.99961	here
46672	46966	B	0.99703	we're
46998	47098	B	0.92232	going
47104	47226	B	1.0	to
47248	47770	B	0.9999	be
47920	48282	B	0.99995	looking
48336	48506	B	1.0	at
48528	48618	B	0.99998	some
48624	48698	B	1.0	of
48704	48826	B	0.99	the
48848	49034	B	0.99993	key
49072	49660	B	0.99901	points
50030	50730	B	0.99	and
50880	51242	B	0.99983	taking
51296	51514	B	0.9897	it
51552	51706	B	0.99987	in
51728	51866	B	1.0	a
51888	52266	B	1.0	few
52368	52826	B	0.99998	different
52928	53926	B	0.99908	directions,
