start	end	sentNum	speaker	confidence	text
2940	3490	1	A	0.64	You.
7700	9810	2	B	0.96841	Hello and welcome, everybody.
10340	13852	3	B	0.99999	This is physics as information processing.
13996	26050	4	B	0.8394	It's October 28, 2023, and we're in discussion six, so we'll see where and how and when we go.
26420	29496	5	B	0.99979	But to begin with, thank you for watching.
29598	36276	6	B	0.99997	If you're watching live, please feel free to write any questions or comments in the live chat.
36388	46300	7	B	0.99998	As this is our last discussion, we're going to be probably ranging broadly, so looking forward to people's comments there.
46450	56930	8	B	0.97391	Otherwise, perhaps we can all go around first and say hello or just give any thoughts or reflections to get things going.
57300	67988	9	B	1.0	And then we'll jump into some of the questions and answers and look at some of these great thoughts that have been sent and responded to.
68074	71616	10	B	0.95093	So perhaps Dean and then Harrison.
71648	78490	11	B	0.99406	David, any just overall thoughts or comments to get us going?
80060	80424	12	C	0.99981	Thanks.
80462	80980	13	C	0.99574	Daniel.
81060	96216	14	C	1.0	I guess my overall impression was that I think that the way that the entire series was organized and structured allowed for these kinds of conversations that we're having today, which I think are really valuable.
96328	116640	15	C	0.99999	As you can see on the slide here, I think a lot of question and answer tends to be focused around what is, whereas the conversations that we've had, we can sort of tease that apart a little bit and ask questions around what if?
116790	120196	16	C	1.0	And get into the counterfactual piece of it and interact around that.
120218	121892	17	C	0.99	And I've really, really appreciated that.
121946	127670	18	C	0.98811	So that's my overall sense that we haven't left it sort of on the page.
129100	133800	19	C	0.87781	We've actually been able to sort of breathe some life into it through these conversations.
138270	139018	20	B	0.83268	Cool.
139184	140090	21	B	0.35721	Haris?
141550	146030	22	D	0.97878	Yeah, I just wanted to say that it was a great series.
146370	165620	23	D	0.9996	We all learned a lot, and we got the opportunity to even ask questions to Chris and get back some very insightful answers that they are very helpful in order to, let's say, push the envelope forward.
166550	170226	24	D	0.95476	Overall, this has been a great series.
170338	172006	25	D	0.9971	I've enjoyed it a lot.
172188	177654	26	D	0.99	And while conversing with some of my colleagues, they also enjoyed it.
177692	180826	27	D	0.94397	So the feedback is great.
181008	187340	28	D	0.99	And thanks to active Inference Institute for facilitating this, and to you guys.
188670	189466	29	A	0.99872	Thank you.
189568	191450	30	B	0.99952	ThanK you and welcome.
191600	198190	31	B	0.99994	David, if you want to just begin with, any thoughts or what brought you into the game in the bottom of the 9th?
202050	221640	32	A	0.99972	Well, in school, I was actually trying to use free energy to develop some sort of a network of agents that were deciding what information to send and what states to be in based on each other's approximation of each other's states.
223050	228920	33	A	0.73823	So I registered at the beginning, but then I guess life happened and I didn't really cross the page.
233630	238346	34	A	1.0	Now I'm just kind of opening up to things and participating more in the world that I exist in.
238448	239930	35	A	1.0	And this is a natural.
240990	243980	36	A	0.97786	This is really tied to the work that I was doing in school.
245150	247438	37	A	0.67	I don't know if this is a place to ask a question, so I'm.
247444	248254	38	D	0.99998	Not going to ask any questions.
248292	250202	39	A	0.70747	But that's like the urgent.
250346	251680	40	B	0.99994	Let's begin with that.
252370	252878	41	A	0.95723	Okay.
252964	254480	42	A	0.60793	Yeah, so I was thinking about.
255250	259410	43	A	0.9996	I'm still confused about like Markov Blanket and non localism.
263430	264386	44	A	0.70927	How would those two.
264408	265698	45	A	0.54505	What about work together?
265864	275474	46	A	0.99387	Well, like, non localism, seems to me that an entity could be distributed arbitrarily in whatever is.
