start	end	paragNum	speaker	pconfid	wordPos	paragWordPos	paragFirstWordCount	paragLastWordCount
4410	31474	1	A	0.59545	59	59	1	59
31602	110830	2	B	0.99958	195	136	60	195
111410	199014	3	A	0.55	375	180	196	375
199062	221330	4	A	0.76284	421	46	376	421
223510	264830	5	A	0.97724	514	93	422	514
265810	317490	6	A	0.88	618	104	515	618
319990	350170	7	A	0.99756	689	71	619	689
350590	408720	8	A	0.87892	808	119	690	808
409570	464560	9	A	0.84431	900	92	809	900
465810	523074	10	A	1.0	1008	108	901	1008
523112	571410	11	A	0.99851	1102	94	1009	1102
572390	630790	12	A	0.54	1213	111	1103	1213
631130	667730	13	A	1.0	1278	65	1214	1278
668230	706030	14	A	0.82	1349	71	1279	1349
706610	711550	15	A	0.58195	1356	7	1350	1356
713730	739142	16	A	0.63577	1414	58	1357	1414
739196	764346	17	A	1.0	1465	51	1415	1465
764538	816640	18	A	0.52	1583	118	1466	1583
817430	890710	19	A	1.0	1731	148	1584	1731
891950	955710	20	A	0.99998	1853	122	1732	1853
956130	993450	21	A	1.0	1930	77	1854	1930
993950	1035350	22	A	1.0	2009	79	1931	2009
1037370	1095158	23	A	0.99984	2115	106	2010	2115
1095334	1160830	24	A	0.89	2235	120	2116	2235
1162290	1236802	25	A	0.54	2388	153	2236	2388
1236866	1284600	26	A	1.0	2485	97	2389	2485
1285770	1335320	27	A	1.0	2586	101	2486	2586
1335690	1393740	28	A	0.9996	2709	123	2587	2709
1396510	1413770	29	A	0.43935	2753	44	2710	2753
1413850	1430878	30	A	0.85891	2795	42	2754	2795
1431054	1466602	31	A	0.53289	2874	79	2796	2874
1466746	1471380	32	A	0.57115	2880	6	2875	2880
1474150	1482360	33	A	0.99977	2899	19	2881	2899
1485230	1491020	34	A	0.98499	2909	10	2900	2909
1493150	1545840	35	A	0.99998	3052	143	2910	3052
1546370	1562820	36	A	1.0	3086	34	3053	3086
1566830	1616250	37	A	0.99998	3177	91	3087	3177
1619070	1678990	38	A	0.99996	3282	105	3178	3282
1680690	1765980	39	A	0.79	3427	145	3283	3427
1767710	1800870	40	A	0.74207	3510	83	3428	3510
1801450	1854440	41	A	0.99998	3630	120	3511	3630
1855210	1899160	42	A	1.0	3733	103	3631	3733
1900890	1991140	43	A	1.0	3894	161	3734	3894
1992150	2008700	44	A	0.99221	3925	31	3895	3925
2011310	2066540	45	A	0.99726	4027	102	3926	4027
2067630	2115450	46	A	0.60638	4117	90	4028	4117
2117150	2163690	47	A	0.99985	4207	90	4118	4207
2164350	2208362	48	A	0.99991	4306	99	4208	4306
2208496	2230110	49	A	0.99987	4350	44	4307	4350
2230850	2286690	50	A	1.0	4470	120	4351	4470
2287110	2345830	51	A	0.99	4573	103	4471	4573
2348170	2357510	52	A	0.99974	4598	25	4574	4598
2360270	2401862	53	A	0.79	4671	73	4599	4671
2401996	2459290	54	A	1.0	4784	113	4672	4784
2460430	2486610	55	A	0.59398	4843	59	4785	4843
2487110	2528560	56	A	0.72177	4925	82	4844	4925
2529170	2587970	57	A	0.59779	5038	113	4926	5038
2588950	2614422	58	A	0.99948	5095	57	5039	5095
2614486	2630720	59	A	0.99986	5124	29	5096	5124
2633330	2649350	60	C	0.97	5174	50	5125	5174
2654080	2733030	61	A	1.0	5337	163	5175	5337
2733660	2777510	62	A	1.0	5416	79	5338	5416
2780200	2815890	63	C	0.95012	5498	82	5417	5498
2816820	2845450	64	A	0.77203	5556	58	5499	5556
2852460	2878880	65	C	0.56706	5627	71	5557	5627
2879040	2890200	66	C	0.99874	5644	17	5628	5644
2890350	2903340	67	A	0.99633	5669	25	5645	5669
2906800	2942410	68	A	0.81107	5730	61	5670	5730
2946070	2987330	69	B	0.87694	5822	92	5731	5822
2990390	3030400	70	B	1.0	5898	76	5823	5898
3032450	3086930	71	A	0.99997	5989	91	5899	5989
3095350	3131630	72	B	0.99998	6065	76	5990	6065
3137410	3139230	73	B	0.79	6068	3	6066	6068
3141270	3171740	74	B	0.97957	6118	50	6069	6118
3173870	3215830	75	A	0.99956	6193	75	6119	6193
3219290	3244340	76	A	0.97	6245	52	6194	6245
3247350	3270060	77	A	0.99998	6276	31	6246	6276
3272190	3293650	78	A	0.99999	6324	48	6277	6324
3300810	3324640	79	B	0.98	6378	54	6325	6378
3327010	3388450	80	A	0.99993	6478	100	6379	6478
3392200	3393430	81	B	0.66	6481	3	6479	6481
3395800	3413150	82	A	0.99085	6513	32	6482	6513
3415200	3427730	83	A	0.9998	6537	24	6514	6537
3430900	3489028	84	A	0.99997	6648	111	6538	6648
3489114	3543670	85	A	0.99996	6743	95	6649	6743
3544600	3560170	86	A	0.99997	6764	21	6744	6764
3562800	3578800	87	A	0.99016	6793	29	6765	6793
3580900	3622590	88	A	0.99871	6857	64	6794	6857
3629210	3637110	89	A	0.9981	6875	18	6858	6875
3640350	3661634	90	B	0.99996	6909	34	6876	6909
3661752	3666930	91	A	0.99972	6920	11	6910	6920
