text	entity_type		start	end
July 13, 2023	date		9018	11230
physics	occupation		12356	12714
Chris Fields	person_name		16772	17818
Chris	person_name		33244	33714
Physics	occupation		38220	38770
theory	occupation		49472	50330
quantum theory	occupation		198288	199014
physics	occupation		216276	216682
physics	occupation		228664	229242
Galileo	person_name		232028	233350
Galileo	person_name		238988	239762
Galileo	person_name		281850	282882
Einstein	person_name		300672	301286
Galileo	person_name		305270	306594
physics	occupation		322792	323262
anubis	person_name		342768	343770
pharaoh	occupation		349248	350170
science	occupation		364372	364714
classical physics	occupation		375176	376222
Galileo	person_name		386572	387750
Einstein	person_name		391308	392094
classical physics	occupation		415252	416202
quantum information theory	occupation		436444	437874
Egyptian	nationality		449872	450374
quantum theory	occupation		461828	462554
quantum theory	occupation		485932	486950
quantum theory	occupation		503168	503846
Bartlett	person_name		521704	522590
Alice	person_name		559060	559658
Bob	person_name		560244	560762
physics	occupation		577512	578210
Alice	person_name		597870	598710
Bates	person_name		669528	669886
physics	occupation		689516	689954
physics	occupation		700272	700742
chemotaxis	medical_process		721848	722958
measurement operators	occupation		1129208	1130354
Aguirre	person_name		1431054	1431578
quantum information theory	occupation		1653308	1655030
operators	occupation		1667280	1668410
operators	occupation		1670612	1671690
biological or cognitive science	occupation		1761390	1763782
biology	occupation		1772788	1773338
physics	occupation		1776932	1777546
agent	occupation		1833656	1833922
agent	occupation		1835512	1836194
agent	occupation		1838488	1838818
agents	occupation		1843672	1844146
Alice	person_name		2077028	2077562
Bob	person_name		2080772	2081354
Bob	person_name		2082420	2082766
physics	occupation		2293688	2294238
Karl Friston	person_name		2307808	2308566
evolutionary theory	occupation		2341992	2343102
physics	occupation		2350828	2351554
physics	occupation		2414256	2415050
physicists	occupation		2415984	2416582
Bell	person_name		2446802	2447186
physics	occupation		2565408	2565910
Aguirre	person_name		2595852	2596710
Daniel	person_name		2613920	2614422
physics	occupation		2966784	2967174
physics	occupation		3052492	3053042
quantum theory	occupation		3075412	3076510
theoretic	occupation		3085614	3086126
classical thermodynamics	occupation		3436358	3438128
thermodynamics	occupation		3471858	3472536
Quantum theory	occupation		3537098	3538180
Quantum theory	occupation		3539498	3540144
Rovelli	person_name		3631116	3632070
Max Taymar	person_name		3633532	3634434
Chris	person_name		3644656	3645014
Aguirre	person_name		3645504	3646410
Daniel	person_name		3662376	3663102
Aguirre	person_name		3663752	3664558
