text	entity_type		start	end
physics	occupation		10032	10422
10 August 2023	date		15648	17740
Chris	person_name		18110	18710
Daniel	person_name		24032	24550
Daniel	person_name		27712	28054
quantum	occupation		41450	42034
theory	occupation		42652	43410
Bob	person_name		51068	51730
Alice	person_name		72746	73114
Bob	person_name		73348	74058
Alice	person_name		103324	103714
Bob	person_name		103964	104390
physics	occupation		222676	223034
Bob	person_name		264976	265770
science	occupation		298956	299442
operators	occupation		338776	339470
operator	occupation		341752	342222
agents	occupation		356784	357420
Mike Levin	person_name		425076	426170
ological quantum field theory	occupation		548332	551030
jim Glazeburg	person_name		580530	582502
Tanino Marciano	person_name		582872	584046
alice	person_name		711750	712086
Bob	person_name		712288	712582
Alice	person_name		848330	849138
Alice	person_name		909456	909814
Alice	person_name		919410	920090
Alice	person_name		928276	928682
Bob	person_name		934856	935598
Alice	person_name		947690	948242
Bob	person_name		960726	961126
Bob	person_name		964480	964854
Alice	person_name		972916	973402
Bob	person_name		974436	975034
Bob	person_name		991406	991778
Alice	person_name		1008000	1008422
Bob	person_name		1029082	1029546
Bob	person_name		1033112	1033374
Bob	person_name		1040200	1040542
Bob	person_name		1048684	1049218
Bob	person_name		1053788	1054178
Bob	person_name		1075082	1075466
Alice	person_name		1083352	1084206
Bob	person_name		1086456	1086974
physics	occupation		1116596	1117178
Alice	person_name		1125528	1126030
Bob	person_name		1134892	1135330
Bob	person_name		1200736	1201254
Bob	person_name		1204640	1205014
agents	occupation		1245296	1245658
Einstein	person_name		1289500	1290066
Podolski	person_name		1290098	1290738
Rosen	person_name		1290908	1291778
quantum theory	occupation		1311140	1311962
Schrodinger	person_name		1321176	1322210
Schrodinger	person_name		1329496	1330158
quantum theory	occupation		1337372	1338498
EPR	organization		1349008	1349446
Bohr	person_name		1360852	1361146
Einstein	person_name		1361178	1361754
Bohr	person_name		1363332	1364110
Einstein	person_name		1374936	1375582
Alan Aspet	person_name		1388812	1390018
quantum cryptography	occupation		1420972	1422322
quantum banking	occupation		1423036	1424242
authors	occupation		1477020	1477522
quantum theory	occupation		1514184	1514942
Bell	person_name		1524796	1525106
John Bell	person_name		1526716	1527750
Einstein	person_name		1535458	1536006
Podolski	person_name		1536038	1536646
Rosen	person_name		1536784	1537638
COVID of Science	event		1591008	1591862
classical	occupation		1622012	1622434
theory	occupation		1623154	1623938
Alice	person_name		1683814	1684134
Bob	person_name		1684368	1684970
Alice	person_name		1689632	1690054
Bob	person_name		1691232	1691622
Bob	person_name		1698260	1698874
Alice	person_name		1700548	1701194
Alice	person_name		1729308	1729762
Bob	person_name		1739472	1740170
Bob	person_name		1751332	1752030
Bob	person_name		1911496	1911966
Alice	person_name		1912952	1913502
Alice	person_name		1919990	1920554
Alice	person_name		1921276	1921682
Alice	person_name		1924732	1925154
LHC	organization		1955652	1956590
LHC	organization		1962808	1963422
Alice	person_name		1968310	1969070
LHC	organization		1985808	1986730
Feynman	person_name		2002612	2003162
physics	occupation		2025500	2025954
Alice	person_name		2039584	2040134
LHC	organization		2056228	2057150
physicists	occupation		2086352	2087078
Andrew	person_name		2088592	2088934
Chris	person_name		2092608	2093078
EPR experiment	medical_process		2132300	2133462
Locke	person_name		2189552	2190250
Locke	person_name		2199140	2199594
Bob	person_name		2234592	2235254
Bob	person_name		2236534	2237190
Charlie	person_name		2581020	2581556
Alice	person_name		2605318	2605740
Bob	person_name		2609776	2610500
Alice	person_name		2623980	2624724
Chris	person_name		2760120	2760900
Andrew	person_name		2764280	2764816
Alice	person_name		2807940	2808812
Bob	person_name		2812266	2812784
Daniel	person_name		2898338	2898936
quantum information science	occupation		2913318	2914792
quantum information security	occupation		2915098	2916630
quantum information sciences	occupation		3052528	3054170
Bohr	person_name		3062292	3062666
Bohr	person_name		3086892	3087298
1927 Solve Conference	event		3087948	3089922
quantum theory	occupation		3093232	3093974
Bohr	person_name		3101390	3102118
Copenhagen	location		3105348	3106154
Copenhagen	location		3118888	3119790
quantum theory	occupation		3121662	3122850
Bohr	person_name		3125944	3126638
science	occupation		3132604	3133430
science	occupation		3140540	3141282
theoret	occupation		3175998	3176574
Copenhagen	location		3219480	3220254
Alexi	person_name		3264756	3265306
Bob	person_name		3273672	3274014
Alice	person_name		3274792	3275490
Alexi	person_name		3286410	3287202
psychological trauma breakdown	medical_condition		3295680	3298038
Bala	person_name		3308036	3308778
Chris	person_name		3310356	3310634
Roland Rodriguez	person_name		3395730	3397100
huxley	person_name		3451474	3452620
Andrew	person_name		3493900	3494840
geometry	occupation		3519542	3520016
Luca	person_name		3599282	3600140
nine months	person_age		3718468	3718872
phylogenetics	occupation		3746682	3748048
Leuka	medical_condition		3753274	3754144
embryology	occupation		3768670	3769640
Mike Levin	person_name		3770878	3771796
Luca	person_name		3775058	3775848
pregnancy	medical_condition		3787766	3788640
bob	person_name		3879440	3880184
Alice	person_name		3881586	3882088
Chris	person_name		3917242	3917940
