start	end	sentNum	speaker	confidence	wordPosSent	wordPosDoc	text
4230	4780	1	A	0.61	1	1	You.
7390	7802	2	B	0.76166	1	2	Hello
7856	8026	2	B	1.0	2	3	and
8048	8474	2	B	0.96473	3	4	welcome,
8592	9306	2	B	0.99999	4	5	everyone.
9488	9786	3	B	1.0	1	6	This
9808	9994	3	B	0.99998	2	7	is
10032	10422	3	B	0.99577	3	8	physics.
10486	10666	4	B	0.99764	1	9	As
10688	11066	4	B	0.99896	2	10	information
11168	11862	4	B	0.99995	3	11	processing
11926	12374	4	B	0.67019	4	12	session
12422	12874	4	B	1.0	5	13	four
12992	13322	4	B	1.0	6	14	on
13376	14022	4	B	0.99951	7	15	communicating
14086	14806	4	B	0.99848	8	16	observers.
14918	15350	5	B	0.64155	1	17	It's
15430	15626	5	B	1.0	2	18	the
15648	15978	5	B	1.0	3	19	10
15984	16374	5	B	1.0	4	20	August
16422	17740	5	B	1.0	5	21	2023.
18110	18710	6	B	0.99775	1	22	Chris
18790	19082	6	B	0.99999	2	23	looking
19136	19402	6	B	0.99997	3	24	forward
19456	19626	6	B	1.0	4	25	to
19648	19882	6	B	0.99999	5	26	this
19936	20390	6	B	0.70226	6	27	lecture.
20470	20714	7	B	0.59	1	28	Off
20752	20954	7	B	0.78	2	29	to
20992	21580	7	B	1.0	3	30	you.
23470	23786	8	A	0.99997	1	31	Thank
23808	23994	8	A	0.63	2	32	you,
24032	24550	8	A	0.97944	3	33	Daniel,
24630	25114	8	A	1.0	4	34	and
25232	25610	8	A	0.74095	5	35	welcome
25680	25866	8	A	1.0	6	36	to
25888	26074	8	A	0.99999	7	37	this
26112	26810	8	A	0.99983	8	38	session.
27310	27674	9	A	0.99987	1	39	As
27712	28054	9	A	0.99781	2	40	Daniel
28102	28314	9	A	0.99991	3	41	said,
28352	28506	9	A	0.70423	4	42	this
28528	28666	9	A	0.9972	5	43	is
28688	28898	9	A	0.87	6	44	about
28944	29202	9	A	0.57	7	45	out
29256	29934	9	A	0.863	8	46	communicating
29982	30734	9	A	0.95545	9	47	observers.
30862	31250	10	A	1.0	1	48	And
31320	31726	10	A	0.99768	2	49	fasten
31758	31954	10	A	1.0	3	50	your
31992	32654	10	A	0.88327	4	51	seatbelts
32702	32914	10	A	0.98618	5	52	because
32952	33106	10	A	0.99996	6	53	we
33128	33266	10	A	0.99999	7	54	have
33288	33378	10	A	1.0	8	55	a
33384	33554	10	A	0.99999	9	56	lot
33592	33746	10	A	1.0	10	57	to
33768	34146	10	A	0.99999	11	58	cover
34248	34418	10	A	0.99901	12	59	in
34424	34546	10	A	0.99	13	60	the
34568	34850	10	A	0.99989	14	61	next
34920	35540	10	A	1.0	15	62	hour.
36870	37330	11	A	0.99104	1	63	So
37400	37586	11	A	0.99997	2	64	just
37608	37794	11	A	0.65	3	65	to
37832	38034	11	A	0.99996	4	66	do
38072	38226	11	A	1.0	5	67	a
38248	38530	11	A	1.0	6	68	quick
38600	39170	11	A	0.99999	7	69	review.
39320	39694	12	A	0.8619	1	70	We've
39742	39954	12	A	0.99996	2	71	been
39992	40290	12	A	0.99997	3	72	talking
40360	40980	12	A	1.0	4	73	about
41450	42034	12	A	0.6904	5	74	quantum
42082	42534	12	A	0.99995	6	75	information
42652	43410	12	A	0.9974	7	76	theory
43570	43894	12	A	1.0	8	77	and
43932	44226	12	A	0.99903	9	78	we've
44258	44406	12	A	0.99998	10	79	been
44428	44710	12	A	0.99993	11	80	talking
44780	45014	12	A	1.0	12	81	about
45052	45206	12	A	1.0	13	82	it
45228	45366	12	A	0.9999	14	83	in
45388	45574	12	A	1.0	15	84	the
45612	46082	12	A	0.99248	16	85	simplest
46146	46614	12	A	1.0	17	86	possible
46732	47590	12	A	0.99658	18	87	setting
48090	48840	12	A	0.99	19	88	of
49370	49878	12	A	1.0	20	89	two
49964	50482	12	A	0.61	21	90	systems,
50546	50866	12	A	0.99604	22	91	Alice
50898	51046	12	A	1.0	23	92	and
51068	51730	12	A	0.99979	24	93	Bob,
51890	52358	12	A	0.99971	25	94	that
