start	end	sentNum	speaker	confidence	text
4200	4750	1	A	0.55524	You.
6720	8348	2	B	0.99992	Hello and welcome, everyone.
8514	15624	3	B	1.0	It is September 14, 2023, and we are in the course, physics as information processing.
15752	17150	4	B	0.90887	It's lecture five.
18080	20904	5	B	1.0	Looking forward to this lecture and then a little conversation.
20952	21884	6	B	0.99958	Chris, off to you.
21922	22670	7	B	0.99984	Thank you.
24800	25596	8	A	1.0	Okay.
25778	27100	9	A	0.99999	Thank you, Daniel.
27840	32340	10	A	1.0	And welcome to to session five of Physics of information processing.
33400	46680	11	A	1.0	And today we're going to talk about Spacetime, and particularly about the idea that Spacetime is emergent from information processing.
47340	54940	12	A	1.0	And this has now become a very mainstream idea in the quantum information and quantum gravity communities.
57360	65580	13	A	1.0	And there's still, of course, some people holding out for the idea that Spacetime is fundamental.
66260	93000	14	A	0.62276	But I would say that, at least in these communities, I expect it's become now the dominant idea that Spacetime is not fundamental, that Spacetime is not part of the basic ontology of reality or something like that, and that instead, Spacetime is a construct.
93660	98570	15	A	0.99982	So that's what today's session is going to be about.
99740	123360	16	A	0.99986	So for those of you who are just joining or who would like a little review, we started this course talking about quantum information theory and the idea that quantum information theory is actually a new science about systems that communicate across a boundary.
123700	137632	17	A	0.99	And the systems are always called Alice and Bob for kind of historical reasons, and emphasize that this new science is topological.
137696	140752	18	A	0.99997	It's about connectivity between systems.
140816	142596	19	A	0.64342	It's not geometric.
142788	146436	20	A	0.99992	So it doesn't assume a Spacetime embedding.
146628	152100	21	A	0.99998	So it leaves open the possibility that Spacetime is actually a construct.
152180	155150	22	A	1.0	It doesn't assume Spacetime up front.
156560	179824	23	A	0.55	And in the second session of the course, I think we talked about how this boundary could always be represented as an array of qubits, and that what the systems on each side of the boundary do to communicate is prepare and then measure the states of these qubits.
179872	191440	24	A	0.99963	So they communicate by exchanging classical information via a quantum channel.
192390	206630	25	A	0.61	And this introduces a particular kind of quantum noise whenever they don't share the reference frames that they use to prepare the bits and measure the bits.
206970	217646	26	A	0.99968	So it's not necessarily a perfect communication channel from a classicality fidelity point of view, but all of the noise is quantum noise.
217698	225100	27	A	0.95842	It's not classical, and it always derives from differences in the reference frames that are used by the two agents.
226830	236480	28	A	0.99999	We reformulated the free energy principle in this setting, and the free energy principle turns out to be very simple.
237010	245170	29	A	0.92	It turns out to be a classical limit of the principle of unitarity, which is just the principle that information is conserved.
245750	258290	30	A	1.0	And we saw that the approach to perfect alignment between the two agents, or perfect prediction on the part of the two agents, becomes more challenging.
258370	261590	31	A	1.0	Not surprisingly, as system complexity increases.
262330	269180	32	A	0.99998	So the more complex the communication, the harder it is to predict, as one would expect.
270910	282240	33	A	0.99999	In the last session, we talked about how constraints on thermodynamic free energy induce compartmentalization in agents.
283250	299810	34	A	0.99994	So whenever agents interact with their environments in fairly complex ways, then they end up being compartmentalized into compartments that have to communicate classically.
300310	304986	35	A	1.0	And this is solely a result of quantum information theory.
305038	314562	36	A	0.99987	You don't have to assume any biology to get this compartmentalization, but clearly, this is something that we see in biological systems.
314626	330250	37	A	0.99999	Not only do we see compartments, we also see hierarchical control, which is likewise a sort of automatic outcome of the theory for complex systems.
330850	349620	38	A	0.98	And finally, last time, we talked a little bit about how these compartments communicate and introduce the idea of communication protocols that involve local operations on a shared quantum resource of some kind.
349990	351918	39	A	0.95	And classical communication.
352014	366754	40	A	0.99963	We talked to Fairman about how classicality communication is a little bit problematic to define in quantum theory, because, of course, you're introducing classicality.
366802	372730	41	A	1.0	And so you have to make some very specific assumptions about what's classical.
373470	386270	42	A	1.0	And we'll see later on today what the key assumption that gives you classicality is, as we talk about Spacetime.
387730	395220	43	A	0.99982	But before I go into the topic of Spacetime, I want to spend a little time.
397110	399300	44	A	1.0	Okay, sorry.
399750	400962	45	A	0.99999	This is where we're going.
401016	406360	46	A	0.91344	We're talking about Spacetime, and we'll talk about applications to biology next time.
407050	413030	47	A	0.99733	But before we get going on this, I want to spend a little bit of time talking about explanation.
413930	427100	48	A	1.0	And this is motivated by a question that came up, a very long question that touched on many different topics that came up in the interactive Q A last time.
428990	450450	49	A	0.94	And a fair amount of that question had to do with, directly or indirectly, the question of what scale free explanation looks like and how it compares to scientific explanation in general, most of which is reductive.
451590	469514	50	A	0.99991	So I want to make a short detour into the question of how reductionist theories, which all of you are probably very familiar with, relate to scale free theories, and particularly the free.
469552	470874	51	A	1.0	Free, free energy principle.
470912	472490	52	A	0.99709	Scale free theory.
473070	484240	53	A	0.99981	So it's a theory that's unlike most of the theories that most of you probably learned about in college.
485090	500994	54	A	0.99927	So we're all familiar with reductionist theories and the reductionist idea of scientific explanation, which is really an outcome of philosophy of science in the.
501032	510280	55	A	1.0	People like Rudolph Carnap were among the first to actually make precise what this idea of reductive explanation is.
511050	531920	56	A	0.99987	But the basic idea is that the laws or the dynamics or the formalism that describes behavior at some microscale, the behavior of little things actually explains the behavior of big things.
532610	541680	57	A	0.99989	So the basic reductionist idea is that what the little things are doing is what's important.
542710	551422	58	A	1.0	And what big things are doing are either emergent phenomena, or they're just epiphenomena.
551566	553890	59	A	0.72264	They're essentially just appearances.
555050	558898	60	A	1.0	And this defines a fundamental scale.
559074	574998	61	A	0.99996	So the real assumption in any reductionist theory is that there's some fundamental scale at which the real dynamics takes place and everything else is just an appearance, or it's some sort of emergent phenomenon.
575174	584874	62	A	0.99	And I try to be very careful when I use the word emergence because it's one of the most ambiguous words in the philosophy of science.
584922	587680	63	A	1.0	And people use it to mean all sorts of different things.
590050	599380	64	A	0.83394	But whenever you say emergent, it always sort of implies the idea that it's emergent from something.
600310	617350	65	A	0.72	And so the idea of emergence is essentially a reductionist idea because it at least implicitly assumes that there's some microscale from which the macro scale is emergent.
618430	630460	66	A	0.96	And so discussions of emergent phenomena are often very consistent with reductionism, even if they claim not to be.
631570	638670	67	A	0.85	And we're all taught that science is reductionist.
639250	644930	68	A	1.0	And there are certainly people who publicly claim that science is reductionist.
645750	650340	69	A	0.99987	Richard Dawkins is certainly a shining example of this.
651430	679740	70	A	0.99735	But I suspect that a lot of scientists just kind of play lip service to reductionism without really believing in it, because they don't really believe that the macroscopic phenomena that they are studying, life, for example, is completely determined by what's going on at the microscale, or what's going on at the microscale, plus some stochastic noise or something like that.
680450	686910	71	A	0.70654	So I want to explicitly contrast this with a scalefree theory.
687730	696050	72	A	0.39362	In a scale free theory is not simply a holistic theory, it's much more precise.
696390	709590	73	A	0.88649	In a scale free theory, little things and big things obey the same laws, or they have the same dynamics, or they're described by the same formalism.
710330	715110	74	A	0.99995	So it's not that the macro scale is emergent from the microscale.
715770	720410	75	A	1.0	The macro scale and the microscale actually obey the same laws.
721470	730250	76	A	1.0	And the relationship between macro and micro is probably best stated as one of implementation.
732350	740480	77	A	0.99639	Macro scale things have microscale components, and those microscale components are doing something or other.
740930	749410	78	A	1.0	And whatever they're doing implements the macroscale system and its behavior.
750950	761960	79	A	0.99999	But this implementation is not an explanation, or at least it's not an explanation all by itself.
762730	766866	80	A	1.0	And the bumper sticker version of scale free theories is just as above.
766898	774646	81	A	0.7202	So below whatever laws you have at the macro scale, are the ones, the same ones you have at The Microscale, and Vice Versa.
774838	777498	82	A	0.99972	So, scale free Theories, in a sense, are simple.
777584	781470	83	A	0.98379	It's the same Theory at every level of Description.
783330	791520	84	A	0.99991	So what is this idea of scale, and how does it Relate to what we've talked about in this Course?
792450	799090	85	A	0.99986	Well, what we've talked about in this Course all has to Do With what an Agent Can Observe on its Boundary.
799590	810360	86	A	0.99997	So scale has to Do With How Information Is Encoded on the boundary, and we can Describe that scale in many different Ways.
811770	821340	87	A	0.68047	Here's A Commonplace Way to Describe it in Physics by A Relationship between energy and distance, or size.
822590	828250	88	A	0.92	And you've probably all heard of the Planck scale.
828910	833840	89	A	1.0	The Planck scale is the smallest scale at which current Physics Makes any sense.
836930	847650	90	A	1.0	And in energetic terms, it's defined by energies on the order of Ten to the 19th GEV, which is GiGAelectron volt.
849750	858738	91	A	1.0	The LHC, the Large Hadron Collider in Switzerland, gets to about ten to the Fourth GEV.
858834	863190	92	A	0.99927	So many, many orders of magnitude less than the Planck scale.
863930	870170	93	A	0.99996	So the Planck scale is extremely energetic compared to what we can probe Experimentally.
871710	884110	94	A	1.0	The Planck scale energy of ten to the 9th GEV corresponds to a distance of about ten to the -35 meters, which is incredibly tiny.
885410	890970	95	A	0.73817	An intermediate scale on this diagram is about the scale of a nucleon.
891050	901410	96	A	0.99995	So, for example, a proton or a neutron, they have a rest mass of about one GeV and a size of about one femtometer.
901830	906550	97	A	0.99976	So this intermediate scale is roughly the scale of nucleon physics.
907930	927066	98	A	1.0	And then if you go to our scale, the scale of things that are about a meter in size, Human beings, Tables and chairs, lots of animals, the Things we're most Familiar with, that corresponds to an incredibly tiny energy.
927168	941230	99	A	1.0	Ten to the -5 EV is about the energy of a photon of radio Radiation, and a meter is about the Wavelength of long wave Radio.
941970	951966	100	A	0.99962	So if you think about Visible light, has a Wavelength of about ten to the -5 meters, an energy of about an electron volt.
952078	967670	101	A	1.0	So it's not Surprising that visible light feels energetic to Us because it's Orders of magnitude above our Natural scale of energy of this Sort of thermal environment in which we exist.
968990	984640	102	A	0.87306	So it's the encoding scale and the boundary that is going to relate theories of things that we see to each other.
985490	988874	103	A	0.99	And this ends up giving a kind of complicated picture.
988922	994770	104	A	0.99916	If you think of Alice interacting with Bob and measuring things on the boundary.
999890	1001790	105	A	0.99931	Sorry, I'm a little bit ahead of myself.
1001940	1004954	106	A	1.0	I just wanted to show you a picture of a reductive theory.
1005002	1005994	107	A	0.99999	This is the Big Bang.
1006042	1007700	108	A	0.99726	You're all familiar with this.
1008070	1017220	109	A	0.99991	Something happens at the Planck scale, and the entire universe results from it by just a scale change.
1017670	1020626	110	A	0.98522	So this is a reductive theory.
1020818	1023830	111	A	0.7	A scale free theory is much more complicated.
1024650	1027720	112	A	0.99702	So here's what a scale free theory looks like.
1029050	1037962	113	A	0.99378	Alice interacts with Bob, and she's looking at her boundary, and her boundary states.
1038096	1042170	114	A	1.0	The boundary states she sees could be encoded at different scales.
1043070	1048080	115	A	0.99719	So there may be a small scale scale one and a bigger scale scale two.
1049330	1059200	116	A	0.98	And what Alice is looking for is some sort of theory that relates the first scale, the microscale, to the.
1062930	1069540	117	A	0.77358	So it's not that the microscale came first like it did in the Big Bang, and the macro scale came later.
1071770	1075430	118	A	0.52092	These are encodings that can be happening simultaneously.
1076090	1083494	119	A	1.0	And the theoretical task is to find theories that relate between these scales.
1083542	1091020	120	A	0.99	And these are implementation theories, or you might call them embedding theories from one scale into another.
1092110	1099982	121	A	0.95	And what we want as a consistency criterion is for these theories to be constant in time.
1100036	1102400	122	A	0.98964	So as Bob evolves in time.
1103170	1107726	123	A	0.99	And so what Alice sees are these encodings on her boundary.
1107918	1117220	124	A	0.99998	She wants the relationship between encodings at different scales to stay constant, because if it doesn't, she'll never be able to figure anything out.
1118870	1125960	125	A	0.99996	She'll just have this chaotic relationship between things happening at different scales, and nothing will make sense.
1127690	1133130	126	A	0.99994	So you have this complicated picture in scale free theories.
1133470	1154510	127	A	0.67	And if you look at this and it seems vaguely familiar, or even vaguely even very familiar, then it should, because this is exactly the kind of explanatory structure or semantic structure that you have in computer science.
1156050	1170390	128	A	0.99998	If you're studying the behavior of a computer, which is just some piece of hardware, some physical system, then you can describe what that piece of hardware is doing at different scales.
1170970	1187878	129	A	1.0	And in fact, what we call the hardware level of description when we talk about our laptops, for example, is typically the level of description of circuits, of transistors inside microprocessors.
1187974	1190010	130	A	0.99976	We think of that as the hardware level.
1190160	1208020	131	A	0.99999	But of course, that's just a description, too, that's layered on top of lots of much smaller scale dynamics, all the way down to the scale of atoms and eventually nuclei and elementary particles and all that other stuff.
1208710	1217250	132	A	0.9998	So there's some quantum stuff that's going on that we describe as having a classical hardware level of bit exchange.
1218550	1223320	133	A	1.0	And then we describe the behavior of programs on top of that.
1224650	1240134	134	A	0.99971	So what we want, what makes a computer useful is that we can assign semantics to programs, and we can talk about semantic relationships between programs.
1240182	1258900	135	A	0.99998	For example, the relationship between the Internet protocol stuff that Zoom is doing and what you actually see on your user interface and hear on your user interface that needs to stay fixed over time.
1259270	1268020	136	A	0.99969	Or Zoom becomes incomprehensible and not programmable and in fact, not even well defined as an algorithmic system.
1268470	1277080	137	A	1.0	And the same is true for the relationship between the operating system and the hardware description, or between the operating system and zoom as a program.
1277850	1284666	138	A	0.97207	So computer science works in exactly this scale free way.
1284848	1291462	139	A	0.99	And so, in a sense, scale free explanation is very familiar.
1291526	1296618	140	A	0.94171	It's exactly the kind of explanation that we have in computer science.
1296794	1310850	141	A	1.0	And that's why I referred to the relationship between scales as one of implementation, because that's a term that we're familiar with from thinking about computers implementing programs.
1311910	1314046	142	A	0.99991	So what are these theories?
1314238	1339210	143	A	0.99997	If we think in biological terms, we can think of pathways being embedded in a cell, or cells being embedded in tissues, all the way up to niches of various Kinds, which may be social niches being embedded in ecosystems, and ecosystems being embedded in the biosphere.
1339550	1348670	144	A	1.0	And so we have all of these essentially semantic theories that talk about how one scale embeds in another scale.
