docLabel	start	end	count	rank	text
cFPIP-06L	1257722	1258576	1	0.07	different cells
cFPIP-06L	577236	578768	1	0.06	living systems
cFPIP-06L	597382	598668	2	0.06	living systems
cFPIP-06L	613178	613984	3	0.06	living systems
cFPIP-06L	709978	710736	4	0.06	living systems
cFPIP-06L	718062	718836	5	0.06	living systems
cFPIP-06L	767422	768196	6	0.06	living systems
cFPIP-06L	1043686	1045040	7	0.06	living systems
cFPIP-06L	1051142	1052140	8	0.06	living systems
cFPIP-06L	1123758	1125000	9	0.06	living systems
cFPIP-06L	1299254	1300204	10	0.06	living systems
cFPIP-06L	2761366	2762590	11	0.06	living systems
cFPIP-06L	2936840	2937746	12	0.06	living systems
cFPIP-06L	2954736	2955606	13	0.06	living systems
cFPIP-06L	3003950	3005158	14	0.06	living systems
cFPIP-06L	3772872	3774130	15	0.06	living systems
cFPIP-06L	3788650	3789694	16	0.06	living systems
cFPIP-06L	93462	95120	1	0.06	interacting systems
cFPIP-06L	224366	225524	2	0.06	interacting systems
cFPIP-06L	1386162	1387740	3	0.06	interacting systems
cFPIP-06L	2732376	2732926	1	0.06	other cells
cFPIP-06L	2745884	2746498	2	0.06	other cells
cFPIP-06L	2670692	2672426	1	0.06	different cell types
cFPIP-06L	575694	577172	1	0.06	biological systems
cFPIP-06L	56986	58980	1	0.06	generic quantum systems
cFPIP-06L	248038	249404	2	0.06	generic quantum systems
cFPIP-06L	599702	601900	3	0.06	generic quantum systems
cFPIP-06L	734882	736780	1	0.06	microscopic systems
cFPIP-06L	2930472	2931454	1	0.06	attention systems
cFPIP-06L	3789762	3790726	1	0.06	cognitive systems
cFPIP-06L	3343870	3344918	1	0.06	robotic systems
cFPIP-06L	777598	778976	1	0.06	cosmological systems
cFPIP-06L	2484478	2486260	1	0.06	DNA repair systems
cFPIP-06L	2458738	2459520	1	0.06	many different ways
cFPIP-06L	2513782	2514930	2	0.06	many different ways
cFPIP-06L	3556948	3557658	1	0.06	cell biology
cFPIP-06L	3566248	3566990	2	0.06	cell biology
cFPIP-06L	3569912	3570590	3	0.06	cell biology
