docLabel	sp	myTime	myTimeDisplay	myTimeSRT
cFPIP-04L	A	4230	00:04	00:00:04,226
cFPIP-04L	A	39320	00:39	00:00:39,028
cFPIP-04L	A	2114310	35:14	00:35:14,905
cFPIP-04L	A	2799700	46:39	00:46:39,524
cFPIP-04L	A	2897440	48:17	00:48:17,610
cFPIP-04L	A	3059970	50:59	00:50:59,760
cFPIP-04L	A	3304350	55:04	00:55:04,975
cFPIP-04L	A	3327320	55:27	00:55:27,998
cFPIP-04L	A	3414900	56:54	00:56:54,079
cFPIP-04L	A	3477640	57:57	00:57:57,136
cFPIP-04L	A	3537660	58:57	00:58:57,190
cFPIP-04L	A	3845880	1:04:05	01:04:05,228
cFPIP-04L	B	7390	00:07	00:00:07,383
cFPIP-04L	B	2757940	45:57	00:45:57,488
cFPIP-04L	B	2870640	47:50	00:47:50,589
cFPIP-04L	B	3027030	50:27	00:50:27,728
cFPIP-04L	B	3254990	54:14	00:54:14,931
cFPIP-04L	B	3309866	55:09	00:55:09,980
cFPIP-04L	B	3393800	56:33	00:56:33,058
cFPIP-04L	B	3466652	57:46	00:57:46,125
cFPIP-04L	B	3745060	1:02:25	01:02:25,340
cFPIP-04L	B	3922754	1:05:22	01:05:22,937
cFPIP-04L	C	2092110	34:52	00:34:52,889
cFPIP-04L	C	3497440	58:17	00:58:17,150
cFPIP-04L	C	3813340	1:03:33	01:03:33,963
