docLabel	start	end	count	rank	text
gs044-1	587792	3521256	4	0.08	different kind
gs044-1	2602460	4668424	2	0.08	other kind
gs044-1	587548	588266	1	0.07	many different kind
gs044-1	4770238	4770744	1	0.07	many kind
gs044-1	2734522	2735476	1	0.07	Bayesian kind
gs044-1	537116	537898	1	0.07	conceptual kind
gs044-1	1220536	1221906	1	0.07	several shocking kind
gs044-1	49344	4793500	14	0.05	category theory
gs044-1	798864	846090	2	0.05	information systems
gs044-1	2999340	3000820	1	0.05	other systems
gs044-1	769806	792518	3	0.05	information theory
gs044-1	769208	770798	1	0.05	integrated information theory
gs044-1	3395468	3875604	4	0.05	different levels
gs044-1	406922	5805834	3	0.05	experiencing system
gs044-1	2822742	5747278	3	0.05	probe system
