start	end	paragNum	speaker	confidence	startTime	wordCount	text
4200	31888	1	A	0.69157	00:04	56	You. Hello and welcome everyone. It's Active Inference guest stream number 48.1 on July 19, 2023. We're here with Arthur Giuliani and Adam Safron, also joined by Michael Edward Johnson in discussion. We're going to have a presentation and then a conversation about deep canals, a deep learning approach to refining the cannilization theory of psychopathology.
32064	37620	2	B	0.99543	00:32	14	So thank you all for joining and looking forward to this presentation and discussion.
40780	76630	3	C	0.76314	00:40	81	Thanks Daniel. I'm very happy to be here with Admin Mike to talk about this work and to discuss more broadly this general direction that's emerged over the past few years to try to utilize some of the concepts from the active inference world and computational modeling more generally to understand what's going on both in psychopathology and in psychedelic therapy. Yeah, so I'll give a brief presentation and we'll move into a kind of more general discussion of this work.
79800	89930	4	C	0.65596	01:19	27	It'll start with some kind of general considerations around psychedelic therapy, some of the neuroscience of psychedelics, and then move kind of more specifically into the model.
92220	155230	5	C	0.71886	01:32	124	So there is this class of drugs, these serotonergic psychedelic drugs, which include psilocybin, DMT, LSD and others. And the past decade has seen a resurgence of interest in psychedelic therapy, psychedelic assisted psychotherapy, where one or multiple of these drugs is used in conjunction with a kind of psychotherapeutic protocol. And there's been a lot of investment of money and time and clinical resources into utilizing these drugs for treatments depression, anxiety disorders, substance use disorders and others. And there seems to be quite a lot of positive signals suggesting that these kinds of therapeutic interventions can actually be quite effective. So there's a number of studies suggesting that psilocybin assisted psychotherapy can be helpful for depression, anxiety, substance use disorder and others.
155920	181670	6	C	1.0	02:35	44	And as this work advances, there are more and more larger clinical trials comparing it for example, to the standard treatments with SSRIs, with multiple studies suggesting that pilocybin assisted psychotherapy is at least as effective as the Lexapro kind of standard of care.
187170	248480	7	C	0.99316	03:07	122	All of this seems to suggest, and the timelines are kind of pointing at this idea, that psilocybin treatment for major depressive disorder may be only a couple of years away from becoming approved as an actual treatment in the United States. Which means that it's quite important for us to understand what's going on mechanistically in the brain so that these kinds of treatments can be best optimized, best determined how to be used for which kinds of mental issues people might be having, and under what kinds of treatment protocols we might expect the most success. I think this will also ultimately, hopefully lead to the development of even better drugs, even better treatment protocols and much more personalized care.
251940	311440	8	C	0.99988	04:11	121	So some of the basics of how these drugs work on the brain for those who are unfamiliar, so these are the serotonergic psychedelics. They are serotonergic because they act as agonists for a number of serotonin receptors in the brain and the central nervous system. More broadly, it's thought that most specifically these drugs like psilocybin work through agonizing, the serotonin five H T two A receptor. And this has been demonstrated multiple times by using blockers antagonists of the five H T two A receptor which seem to largely remove the effect of psilocybin or other psychedelic drugs. And what this two A receptor does when it's agonized is it excites the neuron, making it more likely to fire.
311510	315780	9	C	1.0	05:11	12	And this is kind of essential to some of the downstream effects.
317800	358336	10	C	0.99989	05:17	100	So given that it seems that this two way receptor that psychedelics are mainly targeting, the question then becomes well, where in the brain are these two A receptors? Most widely expressed? And research has focused on, I would say, three kind of key areas over the past decade or so. The first being the thalamus, which is a region involved in the gating of sensory information into the cortex. There's a lot of expression in the cortex itself, expression for example, in the visual system, which is perhaps not surprising given the prevalence of visual hallucinations and psychedelic use.
