start	end	speaker	confidence	paragNum	paragWordCount	wordPos	text
4740	5290	A	0.72851	1	1	1	You.
7260	7720	B	0.84239	1	2	2	Hello
7790	8024	B	1.0	1	3	3	and
8062	8456	B	1.0	1	4	4	welcome.
8558	8916	B	0.99977	1	5	5	It's
8948	9236	B	1.0	1	6	6	July
9268	9944	B	0.7	1	7	7	26,
10062	11192	B	0.98	1	8	8	2023.
11246	11476	B	0.99983	1	9	9	We're
11508	11800	B	0.99995	1	10	10	here
11870	12392	B	0.94989	1	11	11	in
12526	12996	B	0.99811	1	12	12	active
13028	13492	B	0.99824	1	13	13	inference
13556	14452	B	0.61112	1	14	14	Livestream
14596	16216	B	0.95	1	15	15	49.1
16398	16792	B	0.99998	1	16	16	with
16846	17204	B	0.95855	1	17	17	Megan
17252	17700	B	0.99939	1	18	18	Peters
17780	18072	B	1.0	1	19	19	and
18126	18516	B	0.9726	1	20	20	Nora
18548	19124	B	0.99959	1	21	21	Bradford.
19172	19528	B	0.99996	1	22	22	So
19614	19864	B	0.99412	1	23	23	thank
19902	20056	B	0.99999	1	24	24	you
20078	20360	B	0.96913	1	25	25	both
20430	20664	B	0.99997	1	26	26	for
20702	21172	B	0.99815	1	27	27	joining.
21236	21476	B	0.99971	2	1	28	We're
21508	21704	B	1.0	2	2	29	looking
21742	22040	B	0.99998	2	3	30	forward
22110	22536	B	1.0	2	4	31	to
22638	22856	B	1.0	2	5	32	a
22878	23700	B	0.99928	2	6	33	presentation
23860	24356	B	0.73771	2	7	34	followed
24388	24872	B	0.99999	2	8	35	by
25006	25304	B	1.0	2	9	36	a
25342	25860	B	0.98307	2	10	37	discussion
25940	26184	B	0.99995	2	11	38	on
26222	26932	B	0.98774	2	12	39	clickbait
26996	27604	B	0.9342	2	13	40	consciousness
27652	28228	B	0.99969	2	14	41	science
28324	28584	B	1.0	2	15	42	and
28622	29340	B	0.99891	2	16	43	responsible
29460	30332	B	0.99728	2	17	44	journalism.
30476	30880	B	0.99923	2	18	45	So,
30950	31340	B	0.48559	2	19	46	Megan,
31420	31664	B	1.0	2	20	47	to
31702	32290	B	0.99993	2	21	48	you.
32820	33184	A	0.71432	2	22	49	Thank
33222	33472	A	0.99997	2	23	50	you.
33526	33696	A	1.0	2	24	51	And
33718	33904	A	0.9999	2	25	52	thanks
33942	34096	A	0.99997	2	26	53	so
34118	34256	A	0.99998	2	27	54	much,
34278	34684	A	0.99171	2	28	55	Daniel,
34732	34992	A	1.0	2	29	56	for
35046	35264	A	0.99998	2	30	57	having
35302	35504	A	1.0	2	31	58	us.
35542	35756	A	0.99985	2	32	59	We're
35788	35936	A	0.99986	2	33	60	really
35958	36096	A	0.99998	2	34	61	happy
36118	36256	A	0.63	2	35	62	to
36278	36464	A	0.99992	2	36	63	be
36502	36896	A	0.99965	2	37	64	here
36998	37264	A	1.0	2	38	65	and
37302	37504	A	1.0	2	39	66	to
37542	37756	A	0.99299	2	40	67	chat
37788	37984	A	0.99988	2	41	68	about
38022	38272	A	0.99999	2	42	69	this.
38326	38736	A	0.99874	3	1	70	So
38838	39116	A	0.99989	3	2	71	I'll
39148	39344	A	0.99998	3	3	72	talk
39382	39632	A	0.99993	3	4	73	for
39686	39808	A	1.0	3	5	74	a
39814	39984	A	0.99997	3	6	75	little
40022	40224	A	0.99926	3	7	76	over
40262	40464	A	1.0	3	8	77	ten
40502	40752	A	0.99999	3	9	78	minutes
40806	40928	A	1.0	3	10	79	and
40934	41056	A	0.99998	3	11	80	then
41078	41276	A	0.99993	3	12	81	we'll
41308	41564	A	0.9999	3	13	82	hopefully
41612	41728	A	1.0	3	14	83	have
41734	41808	A	1.0	3	15	84	a
41814	41984	A	0.99999	3	16	85	nice
42022	42524	A	0.99998	3	17	86	discussion
42572	43170	A	0.99608	3	18	87	here.
43540	43904	A	0.99886	3	19	88	So,
43942	44336	A	0.99963	3	20	89	yeah,
44438	44680	A	0.99993	3	21	90	we're
44700	44836	A	0.99988	3	22	91	really
44858	45044	A	0.99996	3	23	92	happy
45082	45188	A	1.0	3	24	93	to
