start	end	paragNum	speaker	pconfid	wordPos	paragWordPos	paragFirstWordCount	paragLastWordCount
4680	5230	1	A	0.63342	1	1	1	1
7280	40420	2	B	0.99981	71	70	2	71
41740	71040	3	A	0.97479	125	54	72	125
74260	121744	4	A	0.82426	217	92	126	217
121782	160476	5	A	0.86067	302	85	218	302
160658	199320	6	A	0.99909	379	77	303	379
200300	266190	7	A	0.99998	514	135	380	514
268500	354148	8	A	1.0	676	162	515	676
354334	360380	9	A	1.0	691	15	677	691
363280	430420	10	A	0.9999	828	137	692	828
430490	481440	11	A	0.99999	917	89	829	917
481600	516430	12	A	1.0	990	73	918	990
517780	569904	13	A	0.99909	1089	99	991	1089
570022	603364	14	A	0.99996	1153	64	1090	1153
603412	640340	15	A	0.99997	1228	75	1154	1228
640410	671440	16	A	0.99	1300	72	1229	1300
673460	739300	17	A	0.9997	1433	133	1301	1433
739370	766728	18	A	0.51246	1498	65	1434	1498
766904	824290	19	A	0.99992	1604	106	1499	1604
825940	846630	20	A	0.94529	1661	57	1605	1661
848940	877168	21	A	0.99965	1732	71	1662	1732
877334	908876	22	A	0.99846	1812	80	1733	1812
908978	939072	23	A	0.99954	1878	66	1813	1878
939136	1001528	24	A	0.99989	2007	129	1879	2007
1001694	1042740	25	A	0.99995	2081	74	2008	2081
1044920	1088724	26	A	1.0	2174	93	2082	2174
1088762	1094120	27	A	0.99956	2183	9	2175	2183
1096380	1153080	28	A	0.99962	2277	94	2184	2277
1154620	1249124	29	A	0.98638	2435	158	2278	2435
1249252	1365180	30	A	0.99926	2647	212	2436	2647
1366400	1412300	31	A	0.98949	2729	82	2648	2729
1414800	1515390	32	A	0.99163	2900	171	2730	2900
1516480	1576556	33	A	0.68477	3013	113	2901	3013
1576588	1612750	34	A	0.61102	3086	73	3014	3086
1615200	1667810	35	A	0.99663	3182	96	3087	3182
1668340	1721376	36	A	0.99996	3310	128	3183	3310
1721478	1768880	37	A	0.98194	3390	80	3311	3390
1769220	1802920	38	A	0.94	3459	69	3391	3459
1803500	1851448	39	A	0.9	3574	115	3460	3574
1851534	1890976	40	A	1.0	3658	84	3575	3658
1891168	1930052	41	A	0.99997	3754	96	3659	3754
1930106	1966620	42	A	0.98391	3844	90	3755	3844
1969220	2014220	43	A	0.99993	3915	71	3845	3915
2016560	2050970	44	A	0.89	3982	67	3916	3982
2054480	2124780	45	A	0.99201	4123	141	3983	4123
2124940	2140820	46	A	1.0	4162	39	4124	4162
2144700	2216088	47	A	0.99844	4280	118	4163	4280
2216264	2256120	48	A	0.99998	4364	84	4281	4364
2257180	2294790	49	A	0.97196	4433	69	4365	4433
2297820	2335860	50	A	0.50963	4516	83	4434	4516
2336010	2425792	51	A	1.0	4655	139	4517	4655
2425846	2465500	52	A	0.78494	4720	65	4656	4720
2467600	2552760	53	A	1.0	4858	138	4721	4858
2553980	2641460	54	A	0.87491	5007	149	4859	5007
2642520	2707880	55	A	0.99984	5131	124	5008	5131
2707960	2730560	56	A	0.99989	5162	31	5132	5162
2732920	2791430	57	A	0.95344	5278	116	5163	5278
2795240	2850344	58	A	0.99881	5389	111	5279	5389
2850462	2853690	59	A	0.99927	5396	7	5390	5396
2858480	2864876	60	B	0.98986	5408	12	5397	5408
2864898	2885990	61	B	0.62263	5447	39	5409	5447
2890020	2900790	62	C	0.79779	5470	23	5448	5470
2902680	2998960	63	C	0.99695	5662	192	5471	5662
2999120	3027160	64	C	1.0	5737	75	5663	5737
3027240	3031950	65	C	1.0	5748	11	5738	5748
3034240	3064264	66	C	0.99692	5812	64	5749	5812
3064382	3073850	67	C	0.83471	5826	14	5813	5826
3076700	3101190	68	C	0.93447	5879	53	5827	5879
3101720	3130284	69	C	0.99724	5943	64	5880	5943
3130402	3162504	70	C	0.60457	6012	69	5944	6012
3162542	3194770	71	C	0.99864	6086	74	6013	6086
3195540	3207990	72	B	0.99676	6115	29	6087	6115
3209080	3240160	73	D	1.0	6201	86	6116	6201
3244500	3260490	74	A	1.0	6231	30	6202	6231
3263820	3299140	75	A	0.99999	6303	72	6232	6303
3302200	3338096	76	A	0.99954	6362	59	6304	6362
3338278	3360950	77	D	0.68099	6442	80	6363	6442
3361880	3394492	78	C	0.9982	6518	76	6443	6518
3394556	3433950	79	C	0.99999	6623	105	6519	6623
3436960	3454148	80	D	0.99919	6681	58	6624	6681
3454234	3467690	81	D	0.98492	6721	40	6682	6721
3470460	3538736	82	A	0.57	6871	150	6722	6871
3538838	3579660	83	A	1.0	6980	109	6872	6980
3582640	3613944	84	A	0.99995	7090	110	6981	7090
3614142	3621160	85	D	0.98474	7114	24	7091	7114
3624460	3650130	86	E	0.8442	7179	65	7115	7179
3651080	3667892	87	E	0.98031	7226	47	7180	7226
3667956	3703572	88	E	1.0	7313	87	7227	7313
3703626	3724328	89	E	1.0	7357	44	7314	7357
3724494	3742610	90	E	0.99708	7403	46	7358	7403
3745300	3807920	91	A	0.99961	7518	115	7404	7518
3808080	3853552	92	A	0.57521	7628	110	7519	7628
3853696	3870650	93	A	0.99425	7660	32	7629	7660
3873280	3919092	94	A	0.95636	7764	104	7661	7764
3919156	3934824	95	E	0.50328	7813	49	7765	7813
3934882	3954148	96	E	0.9994	7859	46	7814	7859
3954314	3980220	97	C	0.99052	7903	44	7860	7903
3981760	4051044	98	C	0.88212	8079	176	7904	8079
4051082	4088320	99	C	0.99	8163	84	8080	8163
4091220	4117752	100	C	0.92759	8233	70	8164	8233
4117806	4142060	101	C	0.7743	8297	64	8234	8297
4142140	4182750	102	C	0.53923	8417	120	8298	8417
4183600	4200790	103	C	1.0	8463	46	8418	8463
4203160	4248260	104	B	0.99981	8560	97	8464	8560
4250520	4260680	105	C	0.95	8586	26	8561	8586
4263100	4269290	106	B	0.99968	8598	12	8587	8598
4272320	4328940	107	C	0.94543	8720	122	8599	8720
4329680	4356372	108	C	0.96525	8804	84	8721	8804
4356426	4383564	109	C	0.99999	8869	65	8805	8869
4383602	4447120	110	C	0.97143	9004	135	8870	9004
