start	end	speaker	confidence	paragNum	paragWordCount	wordPos	text
4680	5230	A	0.63342	1	1	1	You.
7280	7740	B	0.99981	2	1	2	Hello
7810	8044	B	1.0	2	2	3	and
8082	8620	B	0.92262	2	3	4	welcome.
8770	9224	B	0.99945	2	4	5	It's
9272	9624	B	1.0	2	5	6	July
9672	10316	B	0.97	2	6	7	27,
10418	10796	B	1.0	2	7	8	2023,
10818	12124	B	1.0	2	8	9	and
12162	12376	B	0.99998	2	9	10	we're
12408	12604	B	0.99997	2	10	11	here
12642	12796	B	0.99996	2	11	12	in
12818	13352	B	0.58638	2	12	13	Acton,
13416	13704	B	0.84532	2	13	14	guest
13752	14200	B	0.6613	2	14	15	stream,
14280	14572	B	0.99996	2	15	16	number
14626	15660	B	0.96	2	16	17	15.1
15730	16012	B	0.50288	2	17	18	with
16066	16664	B	0.99307	2	18	19	Valeria
16712	17496	B	0.35442	2	19	20	Beckhatini
17528	17724	B	0.98	2	20	21	and
17762	18136	B	0.64852	2	21	22	Anna
18168	18364	B	0.49	2	22	23	C
18402	19224	B	0.28606	2	23	24	unica.
19352	19644	B	0.6731	2	24	25	This
19682	19836	B	0.99987	2	25	26	is
19858	19948	B	0.99378	2	26	27	going
19954	20028	B	1.0	2	27	28	to
20034	20156	B	0.99994	2	28	29	be
20178	20268	B	1.0	2	29	30	a
20274	20636	B	0.99995	2	30	31	very
20738	21244	B	0.99995	2	31	32	interesting
21362	21692	B	0.52	2	32	33	and
21746	22156	B	0.99997	2	33	34	cool
22258	22920	B	0.99929	2	34	35	presentation
23000	23292	B	0.92	2	35	36	and
23346	23960	B	0.94674	2	36	37	discussion
24040	24572	B	0.99998	2	37	38	on
24706	25304	B	0.99991	2	38	39	selfless
25352	25928	B	0.74399	2	39	40	minds,
26024	26632	B	0.97333	2	40	41	unlimited
26696	27400	B	0.989	2	41	42	bodies,
27560	28536	B	0.99531	2	42	43	homeostatic,
28568	28936	B	0.99853	2	43	44	bodily
28968	29284	B	0.98692	2	44	45	self
29362	30000	B	0.98911	2	45	46	regulation
30080	30324	B	0.77	2	46	47	and
30362	30992	B	0.95569	2	47	48	meditative
31056	32080	B	0.99633	2	48	49	experiences.
32240	32564	B	0.99981	2	49	50	There
32602	32756	B	0.99997	2	50	51	will
32778	32964	B	0.99999	2	51	52	be
33002	33156	B	1.0	2	52	53	a
33178	33952	B	0.96563	2	53	54	presentation
34096	34576	B	0.97441	2	54	55	followed
34608	34852	B	0.99999	2	55	56	by
34906	35076	B	1.0	2	56	57	a
35098	35584	B	0.99962	2	57	58	discussion.
35632	36036	B	0.98682	2	58	59	So
36138	36404	B	0.99983	2	59	60	thank
36442	36740	B	0.99993	2	60	61	you
36810	37092	B	1.0	2	61	62	both
37146	37364	B	0.99994	2	62	63	for
37402	37904	B	0.99948	2	63	64	joining
37952	38212	B	1.0	2	64	65	and
38266	38436	B	1.0	2	65	66	to
38458	38644	B	0.99756	2	66	67	you
38682	39264	B	0.97341	2	67	68	Valeria,
39312	39476	B	0.99995	2	68	69	for
39498	39636	B	1.0	2	69	70	the
39658	40420	B	0.99841	2	70	71	presentation.
41740	42056	A	0.97479	3	1	72	Thank
42078	42216	A	0.99514	3	2	73	you
42238	42676	A	0.35875	3	3	74	Diana,
42708	42856	A	0.98899	3	4	75	very
42878	43208	A	0.99944	3	5	76	much.
43294	43604	A	0.86278	3	6	77	I'm
43652	43864	A	0.99999	3	7	78	very
43902	44152	A	0.99998	3	8	79	happy
44206	44376	A	1.0	3	9	80	to
44398	44536	A	0.99984	3	10	81	be
44558	44744	A	0.68761	3	11	82	here
44782	45272	A	0.97807	3	12	83	with
45406	45924	A	0.6479	3	13	84	Anna.
45972	46840	A	0.99942	3	14	85	Presenting
50060	51012	A	0.37146	3	15	86	pathavara
51076	51412	A	0.99021	3	16	87	wider
51476	52090	A	0.99943	3	17	88	project.
52540	52904	A	0.56697	3	18	89	This
52942	53096	A	0.99583	3	19	90	is
53118	53208	A	1.0	3	20	91	a
53214	53576	A	0.9999	3	21	92	paper
53678	54184	A	0.99963	3	22	93	about
54302	54728	A	0.99989	3	23	94	what
54814	55448	A	0.66127	3	24	95	happened
55614	56040	A	0.99978	3	25	96	in
56110	56660	A	0.45273	3	26	97	selfless
56740	57080	A	0.99817	3	27	98	state
57150	57384	A	0.99998	3	28	99	from
57422	57624	A	0.98	3	29	100	a
57662	57924	A	0.73039	3	30	101	Homo
57972	58436	A	0.12267	3	31	102	Sapie
58468	58852	A	0.70732	3	32	103	bodily
58916	59144	A	0.98837	3	33	104	self
59182	59828	A	0.99699	3	34	105	regulation
59924	60840	A	0.47914	3	35	106	perspective.
61180	61544	A	0.97539	3	36	107	So
61582	61808	A	0.57554	3	37	108	it's
61844	61996	A	0.99998	3	38	109	as
62018	62156	A	1.0	3	39	110	I
62178	62316	A	0.99948	3	40	111	said,
62338	62536	A	0.99986	3	41	112	it's
62568	62716	A	0.9998	3	42	113	part
62738	62876	A	1.0	3	43	114	of
62898	62988	A	1.0	3	44	115	a
62994	63304	A	0.93598	3	45	116	wider
63352	63660	A	0.99997	3	46	117	project
63730	64350	A	0.97042	3	47	118	that
64880	65464	A	0.99916	3	48	119	consists
65512	65724	A	0.99979	3	49	120	in
65762	66012	A	0.92399	3	50	121	both
66066	66632	A	0.74843	3	51	122	theoretical
66696	66936	A	1.0	3	52	123	and
66978	68080	A	0.87791	3	53	124	experimental
69780	71040	A	0.6257	3	54	125	components.
74260	74816	A	0.82426	4	1	126	Today
74918	75196	A	0.81585	4	2	127	we're
75228	75376	A	0.99731	4	3	128	going
75398	75728	A	1.0	4	4	129	to
75814	76160	A	1.0	4	5	130	look
76230	76850	A	1.0	4	6	131	at
78500	79600	A	0.7357	4	7	132	meditation.
80440	80996	A	0.68856	4	8	133	So
81098	81604	A	0.99998	4	9	134	for
81722	82004	A	0.99999	4	10	135	people
82042	82148	A	0.98804	4	11	136	that
82154	82276	A	0.62617	4	12	137	are
82298	82484	A	0.9986	4	13	138	not
82522	82724	A	0.99995	4	14	139	really
82762	83184	A	0.31641	4	15	140	familiar
83232	83396	A	1.0	4	16	141	with
83418	83796	A	0.9183	4	17	142	that,
83898	84464	A	0.99912	4	18	143	meditation
84512	84676	A	0.97394	4	19	144	is
84698	84884	A	0.98	4	20	145	a
84922	85264	A	0.76869	4	21	146	practice
85312	85572	A	0.88039	4	22	147	that
85626	86096	A	0.4821	4	23	148	engaged
86128	86512	A	0.99272	4	24	149	attention
86576	86804	A	1.0	4	25	150	to
86842	87044	A	0.99998	4	26	151	self
87082	87536	A	0.99388	4	27	152	regulate
87568	88176	A	0.99801	4	28	153	physiological
88208	88356	A	0.63	4	29	154	and
88378	88784	A	0.50765	4	30	155	cognitive
88832	89620	A	0.97332	4	31	156	activity.
90280	90596	A	0.99966	4	32	157	What
90618	90944	A	0.85056	4	33	158	we're
90992	91444	A	0.8997	4	34	159	interested
91562	91904	A	0.99998	4	35	160	here
91962	92184	A	0.81954	4	36	161	is
92222	92712	A	0.99995	4	37	162	that
92846	93288	A	0.99999	4	38	163	people
93374	93672	A	0.99931	4	39	164	that
93726	94340	A	0.99872	4	40	165	meditate
94420	94616	A	0.99999	4	41	166	with
