docLabel	sp	myTime	myTimeDisplay	myTimeSRT
gs054-1	A	3390	00:03	00:00:03,387
gs054-1	A	42290	00:42	00:00:42,324
gs054-1	A	84270	01:24	00:01:24,924
gs054-1	A	175508	02:55	00:02:55,644
gs054-1	A	1259050	20:59	00:20:59,139
gs054-1	A	1724110	28:44	00:28:44,557
gs054-1	A	1827152	30:27	00:30:27,648
gs054-1	A	2531886	42:11	00:42:11,280
gs054-1	A	2933660	48:53	00:48:53,646
gs054-1	A	3224040	53:44	00:53:44,906
gs054-1	A	3285146	54:45	00:54:45,962
gs054-1	A	3593842	59:53	00:59:53,240
gs054-1	A	3941438	1:05:41	01:05:41,123
gs054-1	A	4427120	1:13:47	01:13:47,500
gs054-1	A	4561130	1:16:01	01:16:01,661
gs054-1	A	4723200	1:18:43	01:18:43,016
gs054-1	B	17176	00:17	00:00:17,815
gs054-1	B	1676220	27:56	00:27:56,515
gs054-1	B	1703360	28:23	00:28:23,536
gs054-1	B	2863720	47:43	00:47:43,582
gs054-1	B	3103220	51:43	00:51:43,798
gs054-1	B	3474440	57:54	00:57:54,133
gs054-1	B	3646120	1:00:46	01:00:46,707
gs054-1	B	3838140	1:03:58	01:03:58,210
gs054-1	B	4179480	1:09:39	01:09:39,264
gs054-1	B	4300640	1:11:40	01:11:40,356
gs054-1	B	4482988	1:14:42	01:14:42,999
gs054-1	B	4688856	1:18:08	01:18:08,818
gs054-1	B	4747110	1:19:07	01:19:07,034
gs054-1	C	62870	01:02	00:01:02,786
gs054-1	C	138560	02:18	00:02:18,275
gs054-1	C	258866	04:18	00:04:18,358
gs054-1	C	1666520	27:46	00:27:46,505
gs054-1	C	1683420	28:03	00:28:03,516
gs054-1	C	1727070	28:47	00:28:47,560
gs054-1	C	2058340	34:18	00:34:18,855
gs054-1	C	2850640	47:30	00:47:30,569
gs054-1	C	3047874	50:47	00:50:47,748
gs054-1	C	3249990	54:09	00:54:09,926
gs054-1	C	3514572	58:34	00:58:34,167
gs054-1	C	4206386	1:10:06	01:10:06,473
gs054-1	C	4691990	1:18:11	01:18:11,849
gs054-1	D	69610	01:09	00:01:09,460
gs054-1	D	2913772	48:33	00:48:33,626
gs054-1	D	3549666	59:09	00:59:09,196
gs054-1	D	3794676	1:03:14	01:03:14,776
gs054-1	D	4547810	1:15:47	01:15:47,587
gs054-1	D	4752232	1:19:12	01:19:12,039
