start	end	paragNum	speaker	pconfid	wordPos	paragWordPos	paragFirstWordCount	paragLastWordCount
3390	17042	1	A	0.76233	18	18	1	18
17176	39660	2	B	1.0	76	58	19	76
42290	61330	3	A	0.99666	121	45	77	121
62870	67240	4	C	0.96822	133	12	122	133
69610	80220	5	D	0.99056	158	25	134	158
84270	124680	6	A	0.99998	241	83	159	241
138560	175376	7	C	0.99996	332	91	242	332
175508	229630	8	A	0.99	463	131	333	463
231920	233470	9	A	0.98826	468	5	464	468
239170	258802	10	A	0.97179	527	59	469	527
258866	276570	11	C	0.99999	579	52	528	579
276640	287214	12	C	0.99989	620	41	580	620
287252	312950	13	C	0.8191	691	71	621	691
313020	335502	14	C	0.90198	761	70	692	761
335636	368620	15	C	0.99	847	86	762	847
369070	400850	16	C	1.0	933	86	848	933
401190	442174	17	C	0.99056	1059	126	934	1059
442292	457160	18	C	0.99941	1114	55	1060	1114
458330	482250	19	C	0.62429	1193	79	1115	1193
482330	506760	20	C	0.98993	1253	60	1194	1253
507450	527430	21	C	0.99981	1319	66	1254	1319
527510	566060	22	C	1.0	1421	102	1320	1421
566750	595006	23	C	0.99957	1492	71	1422	1492
595028	612646	24	C	0.99989	1552	60	1493	1552
612668	639840	25	C	1.0	1622	70	1553	1622
640850	680586	26	C	0.99771	1730	108	1623	1730
680698	711078	27	C	0.97414	1821	91	1731	1821
711164	754610	28	C	1.0	1951	130	1822	1951
755030	783690	29	C	0.99989	2033	82	1952	2033
783770	818250	30	C	0.99947	2132	99	2034	2132
819070	854286	31	C	0.99999	2240	108	2133	2240
854478	883070	32	C	0.99999	2326	86	2241	2326
885810	923034	33	C	0.59	2428	102	2327	2428
923072	956230	34	C	1.0	2533	105	2429	2533
956730	983310	35	C	0.99002	2599	66	2534	2599
983650	1017500	36	C	0.99985	2700	101	2600	2700
1018110	1064798	37	C	0.9999	2824	124	2701	2824
1064994	1068220	38	C	0.99982	2833	9	2825	2833
1070750	1105326	39	C	1.0	2933	100	2834	2933
1105518	1143646	40	C	0.95538	3047	114	2934	3047
1143678	1167894	41	C	0.99968	3113	66	3048	3113
1167942	1197390	42	C	0.99998	3204	91	3114	3204
1197550	1228620	43	C	0.99999	3275	71	3205	3275
1229070	1257910	44	C	1.0	3358	83	3276	3358
1259050	1283610	45	A	1.0	3427	69	3359	3427
1283770	1316410	46	A	0.99	3504	77	3428	3504
1316480	1347022	47	A	0.99998	3586	82	3505	3586
1347166	1384650	48	A	1.0	3684	98	3587	3684
1384810	1429142	49	A	0.99527	3791	107	3685	3791
1429206	1459078	50	A	0.97949	3863	72	3792	3863
1459164	1489590	51	A	0.95207	3945	82	3864	3945
1489770	1529120	52	A	0.994	4030	85	3946	4030
1529810	1579514	53	A	1.0	4140	110	4031	4140
1579642	1589630	54	A	0.99987	4164	24	4141	4164
1592710	1654950	55	A	0.987	4315	151	4165	4315
1666520	1672310	56	C	0.99912	4336	21	4316	4336
1676220	1680600	57	B	0.8	4345	9	4337	4345
1683420	1697950	58	C	0.8769	4382	37	4346	4382
1703360	1720070	59	B	0.35	4415	33	4383	4415
1724110	1724860	60	A	0.89531	4416	1	4416	4416
1727070	1750606	61	C	0.99993	4490	74	4417	4490
1750718	1782060	62	C	0.98609	4550	60	4491	4550
1783230	1789760	63	C	0.99546	4567	17	4551	4567
1792210	1817640	64	C	0.86	4643	76	4568	4643
1818810	1827114	65	C	0.61104	4661	18	4644	4661
1827152	1831210	66	A	0.99995	4672	11	4662	4672
1833390	1861330	67	A	0.99974	4723	51	4673	4723
1864660	1887240	68	A	0.97053	4765	42	4724	4765
1887740	1935908	69	A	0.99999	4881	116	4766	4881
1936004	1969172	70	A	0.99896	4972	91	4882	4972
1969306	1986330	71	A	0.7578	5017	45	4973	5017
1988400	2016448	72	A	0.97	5083	66	5018	5083
2016544	2053772	73	A	1.0	5179	96	5084	5179
2053836	2055680	74	A	0.95	5187	8	5180	5187
2058340	2088468	75	C	0.99993	5267	80	5188	5267
2088564	2114500	76	C	0.76898	5343	76	5268	5343
2114840	2162620	77	C	0.99992	5475	132	5344	5475
2162700	2183160	78	C	0.99999	5536	61	5476	5536
2183980	2194830	79	C	0.99993	5576	40	5537	5576
2195200	2235320	80	C	1.0	5687	111	5577	5687
2236300	2248750	81	C	0.99999	5720	33	5688	5720
2251040	2289880	82	C	0.99999	5834	114	5721	5834
2291100	2331428	83	C	0.99938	5958	124	5835	5958
2331524	2348124	84	C	0.99954	6014	56	5959	6014
2348162	2395870	85	C	0.99999	6136	122	6015	6136
2396800	2419344	86	C	1.0	6206	70	6137	6206
2419392	2436244	87	C	0.99986	6249	43	6207	6249
2436372	2459472	88	C	0.99999	6324	75	6250	6324
2459526	2477076	89	C	0.99993	6390	66	6325	6390
2477178	2506716	90	C	0.99998	6473	83	6391	6473
2506748	2531832	91	C	0.99	6551	78	6474	6551
2531886	2547292	92	A	0.99715	6590	39	6552	6590
2547346	2578408	93	A	0.99954	6669	79	6591	6669
2578574	2623856	94	A	1.0	6788	119	6670	6788
2623968	2650556	95	A	0.99988	6860	72	6789	6860
2650738	2688772	96	A	1.0	6963	103	6861	6963
2688916	2735976	97	A	0.58964	7092	129	6964	7092
2736078	2792716	98	A	0.7	7230	138	7093	7230
2792818	2839484	99	A	1.0	7357	127	7231	7357
2839522	2841630	100	A	1.0	7366	9	7358	7366
2843840	2848030	101	A	0.99929	7379	13	7367	7379
2850640	2862240	102	C	1.0	7414	35	7380	7414
