docLabel	start	end	count	rank	text
gs054-1	18680	1429142	2	0.06	electromagnetic field topology
gs054-1	248408	4655394	5	0.06	electromagnetic fields
gs054-1	3764006	3766044	1	0.06	topological quantum field theories
gs054-1	2260284	2261244	1	0.06	Other field theories
gs054-1	4096162	4096984	1	0.06	neural field theory
gs054-1	3813750	3815052	1	0.06	quantum field theory
gs054-1	1894434	4168400	5	0.05	field lines
gs054-1	790948	968758	2	0.05	Em fields
gs054-1	2162700	3136504	2	0.05	Other things
gs054-1	1822748	1824998	1	0.05	non epiphenomenal fields
gs054-1	4167126	4168400	1	0.05	open field lines
gs054-1	1603560	2807148	3	0.05	local field potentials
gs054-1	2261638	2261984	1	0.05	other ways
gs054-1	163242	207392	2	0.05	electromagnetic theories
gs054-1	21768	3361398	18	0.05	boundary problem
