text	entity_type		start	end
August 30, 2023	date		7738	10126
James Pang	person_name		18148	19178
Alex Fornito	person_name		19572	20910
Daniel	person_name		34892	35666
Alex Vonita	person_name		36444	37394
School of Psychological Sciences	organization		39168	40422
Institute for Brain and Mental Health	organization		40912	42714
Monash University	organization		42864	43910
James Penn	person_name		45390	46342
research fellow	occupation		47232	48022
James	person_name		61412	61802
neuroscience	occupation		73640	74334
human brain imaging	medical_process		75704	77118
maths	occupation		78588	79026
sickle cell anemia	medical_condition		131948	133010
twelve to $90 million	money_amount		165812	167202
$20	money_amount		171496	172002
Ramani Kahal	person_name		199056	199974
Camilla Golgi	person_name		200144	201286
neuroscience	occupation		204378	205322
golgi	person_name		205466	206154
staining neurons	medical_process		207332	208186
Cahal	person_name		212100	212922
cahal	person_name		242978	243902
Golgi	person_name		245622	246166
Olga	person_name		272310	272878
Spanish	nationality		280242	280594
Golgi	person_name		299808	300518
Golgi	person_name		319608	320446
Cahal	person_name		322744	323438
electron microscopy	medical_process		328268	329266
Corbinian Broadman	person_name		355828	357242
neuroscience	occupation		381228	381874
neurologist	occupation		386908	387426
Alfred Campbell	person_name		387458	388402
Broadman	person_name		414310	415166
neuroscience	occupation		421288	422370
anatomists	occupation		427196	427794
cahal	person_name		438108	438466
Broadman	person_name		439484	440182
Broadman	person_name		465944	466366
MRI	medical_process		593856	594422
lesion	injury		610804	611146
lesion a hub area	injury		615444	616402
lesion a more weakly connected non hub area	injury		619528	622500
lesions	injury		627922	628370
stroke	injury		628732	629106
brain damage	injury		629948	630930
functional impairments	medical_condition		632988	633874
lesions to certain types of hub areas with diffuse connectivity	injury		637984	641494
cognitive impairments	medical_condition		642822	643814
lesions to areas	injury		645104	646406
physics	occupation		679370	679874
engineering	occupation		680108	680594
ten	person_age		898864	898986
functional MRI	medical_process		1042128	1043530
dementia	medical_condition		1063608	1064450
fMRI	medical_process		1082428	1083010
EEG	medical_process		1083372	1083970
Cahal	person_name		1101776	1102386
Broadman	person_name		1102628	1103226
electron microscopy	medical_process		1139552	1141130
myelin stain	medical_process		1178188	1179314
Broadman	person_name		1226552	1227198
physiologist	occupation		1229198	1229854
Lorenzo de Nou	person_name		1229902	1230738
Campbell	person_name		1237628	1238258
cyto architectonist	occupation		1241596	1242886
German	nationality		1245712	1246022
cyto architectonist	occupation		1246086	1247206
neural field theory	occupation		1280668	1281874
neural field theory	occupation		1282332	1283362
electrophysiological recordings	medical_process		1312564	1313966
neural field theory	occupation		1340688	1341446
neural field theory	occupation		1386988	1387698
geometry	occupation		1474728	1475342
physics	occupation		1491728	1492214
neuronal biophysics	occupation		1501028	1501866
Tacoma Narrows bridge	location		1643424	1645078
engineers	occupation		1648896	1649542
neuroimaging	medical_process		1727948	1728498
T one	medical_process		1729788	1730086
anatomy	medical_process		1731538	1731986
diffusion MRI	medical_process		1732412	1733346
neural field theory	occupation		1743968	1745094
T one weighted scan	medical_process		1800692	1801754
MRI experiments	medical_process		1803412	1804910
James	person_name		1815828	1816122
Alex	person_name		1827612	1828390
FMI	medical_process		1857652	1858234
deficient MRI	medical_process		1899184	1900486
structural MRI	medical_process		1901024	1901786
tractography	medical_process		1907652	1908474
Alex	person_name		1941296	1941654
Neurovolt	organization		2061540	2062670
Neurovolt	organization		2073784	2074318
Alex	person_name		2092990	2093494
Alex	person_name		2337884	2338294
Alex	person_name		2364488	2364862
neuroflu theory	occupation		2370968	2371854
diffusion MRI	medical_process		2415866	2416606
diffusion MRI	medical_process		2453650	2454586
Alexis	person_name		2491296	2491814
Neurovolt	organization		2813288	2814254
FMI	medical_process		2917992	2918542
theory	occupation		2939056	2939670
Neurofield theory	occupation		2943136	2943878
mirror field theory	occupation		2953968	2954858
diffusion MRI	medical_process		3014168	3016286
psychology and	occupation		3214088	3214994
neuroscience	occupation		3215032	3215566
the visual cortex	medical_process		3284162	3285682
neuroimaging	medical_process		3330108	3331122
FMI	medical_process		3403172	3403722
FMI	medical_process		3419144	3419694
physics engineering	occupation		3465176	3466446
physics	occupation		3518808	3519086
engineering	occupation		3519288	3520210
FMI	medical_process		3526028	3526786
FMI	medical_process		3551572	3552074
Neuroimaging	occupation		3571096	3571774
Alex	person_name		3612452	3612746
co authors	occupation		3614388	3614974
Dean	person_name		3660900	3661630
neuroscience	occupation		3719518	3720244
neuroscience	occupation		3733202	3733864
neuroscientist	occupation		3768286	3769124
physicist	occupation		3774798	3775204
Dean	person_name		3879660	3880116
statistics	occupation		3888930	3889916
fMRI	medical_process		4096788	4097338
EDR	medical_process		4108008	4108686
fMRI	medical_process		4118584	4119066
fMRI experiment	medical_process		4121266	4122690
Dean	person_name		4137104	4137770
Dan	person_name		4246052	4246670
visual cortex experiment	medical_process		4249508	4251114
astronaut	occupation		4315672	4316362
fMRI	medical_process		4325692	4326418
Peter Robinson	person_name		4424588	4425346
geometry	occupation		4648868	4649514
Dean	person_name		4741156	4741802
Daniel	person_name		4788038	4788800
Karl Frist	person_name		4932198	4932796
fMRI experiment	medical_process		4993248	4994512
disorders	medical_condition		5058862	5059800
SPM analyses	medical_process		5067112	5068184
Dean	person_name		5086670	5087320
Dean	person_name		5088942	5089476
neuroimaging	occupation		5090622	5091444
