start	end	paragNum	speaker	pconfid	wordPos	paragWordPos	paragFirstWordCount	paragLastWordCount
330	20910	1	A	0.8	42	42	1	42
21890	35666	2	B	0.99999	77	35	43	77
35858	67860	3	A	0.99966	162	85	78	162
69910	125166	4	A	0.89756	299	137	163	299
125198	150966	5	A	0.98691	365	66	300	365
150998	181560	6	A	0.9999	450	85	366	450
183930	231026	7	A	1.0	579	129	451	579
231138	270690	8	A	1.0	669	90	580	669
272310	302582	9	A	0.12269	763	94	670	763
302646	344940	10	A	0.99983	855	92	764	855
346510	412190	11	A	0.97	1000	145	856	1000
414310	473570	12	A	0.80668	1155	155	1001	1155
475450	511930	13	A	0.99	1253	98	1156	1253
512010	547530	14	A	0.99966	1352	99	1254	1352
547870	582150	15	A	0.99999	1464	112	1353	1464
583930	613434	16	A	1.0	1556	92	1465	1556
613482	651470	17	A	1.0	1665	109	1557	1665
651540	697114	18	A	1.0	1767	102	1666	1767
697232	733778	19	A	0.99978	1858	91	1768	1858
733954	792410	20	A	1.0	2015	157	1859	2015
793710	826578	21	A	0.98469	2113	98	2016	2113
826744	862538	22	A	1.0	2219	106	2114	2219
862714	877190	23	A	0.56877	2267	48	2220	2267
881290	904894	24	A	0.76837	2351	84	2268	2351
905092	925620	25	A	0.98681	2423	72	2352	2423
926470	965682	26	A	0.99832	2539	116	2424	2539
965736	972820	27	A	0.97	2559	20	2540	2559
975590	1005834	28	A	0.97513	2643	84	2560	2643
1005882	1018718	29	A	0.99999	2680	37	2644	2680
1018894	1053546	30	A	1.0	2764	84	2681	2764
1053738	1092170	31	A	1.0	2859	95	2765	2859
1094190	1146646	32	A	1.0	2987	128	2860	2987
1146678	1194698	33	A	0.79338	3116	129	2988	3116
1194864	1245254	34	A	0.99283	3236	120	3117	3236
1245382	1274610	35	A	1.0	3308	72	3237	3308
1277050	1313966	36	A	0.99939	3401	93	3309	3401
1313998	1336520	37	A	0.99913	3456	55	3402	3456
1339150	1402634	38	A	0.99896	3612	156	3457	3612
