docLabel	sp	myTime	myTimeDisplay	myTimeSRT
gs056-1	A	170	00:00	00:00:00,170
gs056-1	A	2348160	39:08	00:39:08,115
gs056-1	A	2570494	42:50	00:42:50,319
gs056-1	A	2856176	47:36	00:47:36,575
gs056-1	A	3012030	50:12	00:50:12,713
gs056-1	A	3113230	51:53	00:51:53,808
gs056-1	A	3235750	53:55	00:53:55,918
gs056-1	A	3374276	56:14	00:56:14,039
gs056-1	A	3518736	58:38	00:58:38,171
gs056-1	A	3696250	1:01:36	01:01:36,121
gs056-1	A	3976680	1:06:16	01:06:16,416
gs056-1	A	4093180	1:08:13	01:08:13,461
gs056-1	A	4223800	1:10:23	01:10:23,647
gs056-1	A	4436540	1:13:56	01:13:56,594
gs056-1	B	65706	01:05	00:01:05,070
gs056-1	B	181602	03:01	00:03:01,646
gs056-1	B	406130	06:46	00:06:46,710
gs056-1	B	662612	11:02	00:11:02,976
gs056-1	B	719830	11:59	00:11:59,547
gs056-1	B	777208	12:57	00:12:57,061
gs056-1	B	962426	16:02	00:16:02,674
gs056-1	B	1107570	18:27	00:18:27,000
gs056-1	B	1353330	22:33	00:22:33,222
gs056-1	B	1418840	23:38	00:23:38,281
gs056-1	B	1596928	26:36	00:26:36,441
gs056-1	B	1888978	31:28	00:31:28,703
gs056-1	B	2086610	34:46	00:34:46,883
gs056-1	B	2376460	39:36	00:39:36,143
gs056-1	B	2413240	40:13	00:40:13,174
gs056-1	B	2507100	41:47	00:41:47,262
gs056-1	B	2644402	44:04	00:44:04,381
gs056-1	B	2744098	45:44	00:45:44,475
gs056-1	B	2948870	49:08	00:49:08,655
gs056-1	B	3411148	56:51	00:56:51,076
gs056-1	B	3953440	1:05:53	01:05:53,243
gs056-1	B	4347760	1:12:27	01:12:27,767
gs056-1	C	127930	02:07	00:02:07,169
gs056-1	C	362470	06:02	00:06:02,274
gs056-1	C	627884	10:27	00:10:27,688
gs056-1	C	703670	11:43	00:11:43,386
gs056-1	C	741942	12:21	00:12:21,709
gs056-1	C	941210	15:41	00:15:41,521
gs056-1	C	1088188	18:08	00:18:08,811
gs056-1	C	1317044	21:57	00:21:57,191
gs056-1	C	1391618	23:11	00:23:11,254
gs056-1	C	1582250	26:22	00:26:22,427
gs056-1	C	1862714	31:02	00:31:02,677
gs056-1	C	2056262	34:16	00:34:16,853
gs056-1	C	2400652	40:00	00:40:00,161
gs056-1	C	2431598	40:31	00:40:31,192
gs056-1	C	2591920	43:11	00:43:11,334
gs056-1	C	2658442	44:18	00:44:18,395
gs056-1	C	2845042	47:25	00:47:25,564
gs056-1	C	2899638	48:19	00:48:19,612
gs056-1	C	2966448	49:26	00:49:26,673
gs056-1	C	3047930	50:47	00:50:47,748
gs056-1	C	3131412	52:11	00:52:11,820
gs056-1	C	3286696	54:46	00:54:46,963
gs056-1	C	3378530	56:18	00:56:18,043
gs056-1	C	3479812	57:59	00:57:59,138
gs056-1	C	3608810	1:00:08	01:00:08,802
gs056-1	C	3721734	1:02:01	01:02:01,107
gs056-1	C	3998620	1:06:38	01:06:38,635
gs056-1	C	4134058	1:08:54	01:08:54,870
gs056-1	C	4272284	1:11:12	01:11:12,072
gs056-1	C	4381930	1:13:01	01:13:01,049
gs056-1	C	4487252	1:14:47	01:14:47,042
gs056-1	D	2766176	46:06	00:46:06,491
gs056-1	D	3810492	1:03:30	01:03:30,934
gs056-1	D	4048168	1:07:28	01:07:28,071
