docLabel	sp	myTime	myTimeDisplay	myTimeSRT
gs057-1	A	4050	00:04	00:00:04,046
gs057-1	A	282068	04:42	00:04:42,590
gs057-1	A	1090660	18:10	00:18:10,836
gs057-1	A	1343528	22:23	00:22:23,212
gs057-1	A	1964268	32:44	00:32:44,773
gs057-1	A	2314428	38:34	00:38:34,087
gs057-1	A	2387828	39:47	00:39:47,154
gs057-1	A	2594830	43:14	00:43:14,337
gs057-1	A	2719488	45:19	00:45:19,450
gs057-1	A	2757388	45:57	00:45:57,488
gs057-1	A	2920480	48:40	00:48:40,633
gs057-1	A	3281738	54:41	00:54:41,958
gs057-1	A	3325424	55:25	00:55:25,996
gs057-1	A	3389956	56:29	00:56:29,054
gs057-1	A	3487464	58:07	00:58:07,140
gs057-1	A	3714752	1:01:54	01:01:54,096
gs057-1	A	3886488	1:04:46	01:04:46,634
gs057-1	A	3958908	1:05:58	01:05:58,298
gs057-1	A	4069150	1:07:49	01:07:49,281
gs057-1	A	4372306	1:12:52	01:12:52,012
gs057-1	A	4430038	1:13:50	01:13:50,529
gs057-1	A	4480770	1:14:40	01:14:40,977
gs057-1	B	21410	00:21	00:00:21,238
gs057-1	B	2604570	43:24	00:43:24,347
gs057-1	B	2801880	46:41	00:46:41,526
gs057-1	B	3039066	50:39	00:50:39,740
gs057-1	B	3111324	51:51	00:51:51,806
gs057-1	B	3223958	53:43	00:53:43,906
gs057-1	B	3408490	56:48	00:56:48,073
gs057-1	B	3573570	59:33	00:59:33,220
gs057-1	B	3746988	1:02:26	01:02:26,359
gs057-1	B	3890710	1:04:50	01:04:50,676
gs057-1	B	4012430	1:06:52	01:06:52,773
gs057-1	B	4159410	1:09:19	01:09:19,063
gs057-1	B	4282900	1:11:22	01:11:22,178
gs057-1	B	4466160	1:14:26	01:14:26,831
gs057-1	C	36370	00:36	00:00:36,733
gs057-1	C	323638	05:23	00:05:23,946
gs057-1	C	1124726	18:44	00:18:44,017
gs057-1	C	1398286	23:18	00:23:18,261
gs057-1	C	1979680	32:59	00:32:59,788
gs057-1	C	2353670	39:13	00:39:13,120
gs057-1	C	2421414	40:21	00:40:21,182
gs057-1	C	2623950	43:43	00:43:43,366
gs057-1	C	2740050	45:40	00:45:40,471
gs057-1	C	2851350	47:31	00:47:31,570
gs057-1	C	2938450	48:58	00:48:58,651
gs057-1	C	3092370	51:32	00:51:32,787
gs057-1	C	3124670	52:04	00:52:04,813
gs057-1	C	3285970	54:45	00:54:45,962
gs057-1	C	3353934	55:53	00:55:53,024
gs057-1	C	3460044	57:40	00:57:40,119
gs057-1	C	3519870	58:39	00:58:39,172
gs057-1	C	3620740	1:00:20	01:00:20,172
gs057-1	C	3723970	1:02:03	01:02:03,129
gs057-1	C	3773730	1:02:53	01:02:53,626
gs057-1	C	3911870	1:05:11	01:05:11,828
gs057-1	C	3979364	1:06:19	01:06:19,443
gs057-1	C	4058330	1:07:38	01:07:38,172
gs057-1	C	4199712	1:09:59	01:09:59,466
gs057-1	C	4333974	1:12:13	01:12:13,629
gs057-1	C	4390020	1:13:10	01:13:10,130
