docLabel	start	end	count	rank	text
gs057-1	2691752	2693486	1	0.06	world model structure
gs057-1	2544148	2545338	1	0.06	structured world models
gs057-1	2743492	2744586	2	0.06	structured world models
gs057-1	2750488	2751940	1	0.05	More structured world model
gs057-1	1557612	1559234	1	0.05	multiple different transformation types
gs057-1	3967712	3968358	1	0.05	bigger models
gs057-1	659756	660898	1	0.05	linear models
gs057-1	1014332	1015298	2	0.05	linear models
gs057-1	210940	211894	1	0.05	model class
gs057-1	3774836	3775722	1	0.05	language models
gs057-1	773248	774006	1	0.05	generative models
gs057-1	793416	794206	2	0.05	generative models
gs057-1	1077568	1078726	3	0.05	generative models
gs057-1	2448328	2449086	4	0.05	generative models
gs057-1	1639412	1640234	1	0.05	different transformations
gs057-1	2137668	2138602	2	0.05	different transformations
gs057-1	199192	200290	1	0.05	model selection
gs057-1	106338	107330	1	0.05	neural networks
gs057-1	322902	323606	2	0.05	neural networks
gs057-1	329334	329926	3	0.05	neural networks
gs057-1	1109378	1109986	4	0.05	neural networks
gs057-1	1703358	1704318	5	0.05	neural networks
gs057-1	1829018	1829994	6	0.05	neural networks
gs057-1	1832858	1834030	7	0.05	neural networks
gs057-1	1944958	1946130	8	0.05	neural networks
gs057-1	2951294	2952062	9	0.05	neural networks
gs057-1	2953582	2954386	10	0.05	neural networks
gs057-1	670246	671814	1	0.05	neural network architectures
gs057-1	1018598	1020198	2	0.05	neural network architectures
gs057-1	3462848	3464054	3	0.05	neural network architectures
gs057-1	3869390	3870866	4	0.05	neural network architectures
gs057-1	17708	19570	1	0.05	natural neural structure
gs057-1	87802	89402	2	0.05	natural neural structure
gs057-1	183748	185150	3	0.05	natural neural structure
gs057-1	105842	107330	1	0.05	artificial neural networks
gs057-1	322288	323606	2	0.05	artificial neural networks
gs057-1	1702952	1704318	3	0.05	artificial neural networks
