start	end	paragNum	speaker	pconfid	wordPos	paragWordPos	paragFirstWordCount	paragLastWordCount
8010	59726	1	A	0.94406	105	105	1	105
59828	97100	2	A	0.97503	182	77	106	182
97550	166100	3	B	0.99	329	147	183	329
170070	227378	4	B	0.73	441	112	330	441
227554	275060	5	B	0.99	549	108	442	549
278040	297644	6	A	0.9922	580	31	550	580
297762	325504	7	C	0.99997	635	55	581	635
325552	361676	8	C	0.56214	701	66	636	701
361788	406000	9	C	0.78636	792	91	702	792
406150	452160	10	C	1.0	893	101	793	893
452820	510316	11	C	0.99983	1008	115	894	1008
510428	544056	12	C	0.99956	1083	75	1009	1083
544168	561260	13	C	0.99932	1130	47	1084	1130
561340	581400	14	C	0.99949	1179	49	1131	1179
585260	613804	15	C	1.0	1247	68	1180	1247
613932	638324	16	C	0.99768	1310	63	1248	1310
638372	672548	17	C	0.99999	1389	79	1311	1389
672634	724996	18	C	0.87782	1509	120	1390	1509
725178	746300	19	C	0.99	1559	50	1510	1559
747040	789608	20	D	0.96	1652	93	1560	1652
789704	865484	21	D	0.97454	1789	137	1653	1789
865532	930292	22	D	0.97557	1939	150	1790	1939
930356	1022272	23	D	1.0	2102	163	1940	2102
1022416	1075664	24	D	0.97594	2211	109	2103	2211
1075792	1140620	25	D	1.0	2335	124	2212	2335
1141840	1187800	26	D	0.87687	2448	113	2336	2448
1188380	1246072	27	D	0.54889	2588	140	2449	2588
1246216	1301816	28	D	1.0	2720	132	2589	2720
1301848	1337604	29	D	0.97552	2811	91	2721	2811
1337652	1369140	30	D	0.99995	2886	75	2812	2886
1369290	1433112	31	D	1.0	3019	133	2887	3019
1433166	1473910	32	D	0.97	3123	104	3020	3123
1474280	1530196	33	D	0.9984	3224	101	3124	3224
1530388	1587400	34	D	0.69203	3345	121	3225	3345
1587740	1595710	35	D	0.99898	3362	17	3346	3362
1598080	1614196	36	A	0.99316	3403	41	3363	3403
1614298	1642510	37	B	0.64611	3474	71	3404	3474
1645120	1651870	38	B	0.99972	3480	6	3475	3480
1654340	1693416	39	B	0.99997	3574	94	3481	3574
1693528	1702380	40	B	0.98228	3593	19	3575	3593
1705540	1747880	41	B	0.70092	3696	103	3594	3696
1747960	1809040	42	B	0.99999	3850	154	3697	3850
1811140	1906092	43	B	0.97241	4035	185	3851	4035
1906236	1949150	44	B	1.0	4128	93	4036	4128
1949920	1979290	45	C	1.0	4187	59	4129	4187
1979660	2012688	46	C	0.99955	4262	75	4188	4262
2012774	2049068	47	C	0.99945	4346	84	4263	4346
2049154	2056050	48	C	0.99	4361	15	4347	4361
2059550	2080100	49	C	0.74765	4403	42	4362	4403
2080470	2095990	50	A	1.0	4436	33	4404	4436
2100490	2104060	51	A	0.40158	4446	10	4437	4446
2107470	2140100	52	D	0.74118	4520	74	4447	4520
2140490	2159980	53	D	0.99978	4565	45	4521	4565
2167530	2178890	54	A	1.0	4584	19	4566	4584
2181890	2215320	55	C	0.99205	4665	81	4585	4665
