start	end	sentNum	speaker	confidence	text
8010	9520	1	A	0.94406	Hello and welcome, everybody.
10130	14078	2	A	0.64197	It is September 19, 2023.
14244	26870	3	A	0.99954	We're here at the active inference Institute in guest stream 58.1, and today the session will be around the experiences of those who have worked with Gerald Edelman.
27370	42700	4	A	0.99751	Edelman lived from 1929 to 2014, and as hopefully this conversation can explore and unpack a little bit, worked in various areas related to the brain, body, and mind.
43150	59726	5	A	0.99777	So without further ado, I will have our guests introduce themselves, give a little bit of a background on how they came to be working with Professor Edelman, and then we have several prepared questions and several other questions.
59828	65380	6	A	0.97503	So thank you all for joining, and perhaps, Andrew, if you'd like to begin.
66710	69950	7	B	0.91975	All right, so I'll just start a little bit with my background.
70030	82370	8	B	0.99	I did my PhD at University of Minnesota, and then I did my postdoc at Hopkins with Apostles Georgopoulos and Vernon Macassel.
82970	93610	9	B	0.99	And then I got a job in Phoenix working in a small neuroscience institute or neuroscience department at a hospital.
94030	97100	10	B	0.99	And I worked there for six or seven years.
97550	113810	11	B	0.99	And my interest was working with non human primates with monkeys and studying how they reached for different objects and drew objects and then looked at the activity in primary motor cortex neurons.
114470	135350	12	B	1	And we carried out different kinds of analysis based on the directionality of the neurons in motor cortex built populations and were able to actually look at these neural signals and see how they corresponded in a pretty exact way to the way the animals are moved in time and space.
135500	137110	13	B	0.99783	In other words, trajectories.
137710	157946	14	B	0.76	And after working there six or seven years, I was invited to come and look at this new institute that Gerald Edelman was establishing in San Diego in La Jolla and met a bunch of super interesting people like Guilio Tononi and Olof Sporns.
158138	166100	15	B	0.93	And really, their deep intellect and curiosity and creativity has convinced me to move to.
170070	172290	16	B	0.73	I ended up moving there.
172360	188570	17	B	0.94	And so Edelman was able to build this gorgeous research facility on the Tory Pines cliffs, basically, and it was a magnificent architecture.
188990	202374	18	B	0.98	And he recruited a number of people besides sparns and Tononi, and so he divided the group into theorists and experimentalists.
202422	211818	19	B	0.99	And I was an experimentalist, but we would have lunch every day together as a group and discuss different topics.
211994	227378	20	B	0.99	And I was really exposed to a whole new way of thinking about neuroscience in terms of sort of the cognitive aspects of it, which I still have difficulty with, to tell you personally, because I don't even know how you define cognition.
227554	234760	21	B	0.99	And I'm not sure that anybody really can, or as Vernon Machasto would say, I don't know the answer to that, nor does anybody else.
235610	238540	22	B	0.99973	Maybe Karl would take issue with that.
239230	254846	23	B	0.99995	But anyway, the coolest thing about it was being really exposed to a lot of creative thinking and deep intellectual endeavors, and I've really never regretted the seven or eight years I spent there.
254948	272290	24	B	1	I think it really helped change the way my career went from being sort of a motor control strict, sort of very careful scientist to using my imagination a lot more than I would have otherwise.
273350	275060	25	B	0.99293	So I'll leave it at that.
278040	278790	26	A	0.9922	Awesome. Cheng-Ming?
279480	289004	27	C	0.84206	 okay, yeah, I can speak about my journey with Dr.
289042	289800	28	C	0.44507	Edelman.
289960	292424	29	C	0.99984	So I was originally from Taiwan.
292472	297644	30	C	1	I graduated with a medical degree in Taiwan university in 78.
297762	300744	31	C	0.99997	But I was very interested in doing basic science.
300872	309948	32	C	0.99997	So I applied a PhD program and got into Rock Federal University and that started to search for a laboratory.
310044	312000	33	C	0.94	And certainly Dr.
312070	324352	34	C	0.30542	Ederman is very powerful intellectual capacity building in the building it was on 9th floor of the Bronx laboratory.
324416	325504	35	C	1	I was very impressed.
325552	328360	36	C	0.56214	So I joined the laboratory.
329180	342680	37	C	0.99897	So since 78 to 83 I was a PhD student and I was working on the topic called neural cell adhesion molecule.
342840	347688	38	C	0.97841	So at that time Edelman already got his Nobel prize for immunoglobulin.
347784	356364	39	C	0.99936	But he would be usually elegant way would say I solved molecular recognition.
356492	361676	40	C	0.99992	So he said I don't want to stay in immunology to collect more awards.
361788	365248	41	C	0.78636	He said I will work out cell recognition.
365424	373780	42	C	0.99029	So in his mind how cell recognition work is through a group of adhesion molecular interaction.
374120	383068	43	C	0.9916	So that's how he started to work on the cell adhesion molecule and duty's house actually work out the chicken cell adhesion molecular.
383184	392480	44	C	0.99081	So when I joined the laboratory, my PhD things was work out the first mammalian cell adhesion molecule.
392660	406000	45	C	0.99	And in addition to NCAM, though, I supposed to work out on these adhesion molecule mediating the Neurolog cell recognition as he said he would say.
406150	416388	46	C	1	I asked him also after all what would be my PhD thesis and he would say ming, when I start to write a poem, I don't know how it's going to end.
416554	419812	47	C	0.98471	That's the way he would put his language there.
419946	428808	48	C	0.99968	So he just figured out retinal tectoprojection I'm hardworking student so I would work out on that.
428974	445592	49	C	1	And as you know, these days our so called systems biology approach, right, is these transcriptome single cell RNA sequencing to identify a non biased way to identify molecules involved.
445736	452160	50	C	0.66	At that time the so called systems biology approach was making monoclonal antibodies.
452820	467968	51	C	0.99983	So I would be there taking out the brain and the retina and the tectum and produce I produce 18 batch of the monochromatic antibody against these neuronal cell membranes.
468064	478200	52	C	0.99993	So I certainly have identified a lot of adhesion molecule but none of them really show a very distinct pattern these days.
478270	487720	53	C	0.95	I think the field using the transcription factors was able to identify some patterns but at that later it's kind of all altogether.
488540	499820	54	C	0.80864	But I remember that actually anyway, I didn't really figure out retinol technical projection but that's enough for me to graduate.
500160	510316	55	C	0.99913	But at that time I also still remember how I actually had a great impact on my professional career.
510428	517120	56	C	0.99956	So I was cutting chicken spinal cord cross section to mapping these cell adhesion molecules.
517720	527700	57	C	0.9988	So I have some feather chicken feather hanging outside there, and they stand with this NCAM with the most beautiful, exquisite pattern.
529420	538484	58	C	0.97945	Later work on the feather as my major research model, kind of as a rosetta song to understand the language of morphogenesis.
538612	541192	59	C	0.99988	But there I remember how I started that.
541246	544056	60	C	0.99974	You have these feather, they form these branches.
544168	547320	61	C	0.99932	So these branches are actually originally formed cells.
547400	549420	62	C	0.99107	Then they die to become space.
549570	553048	63	C	0.99992	But before they die, they actually light up with NCM.
553144	557504	64	C	0.99682	Light up with NCM with the most exquisite pattern there.
557702	561260	65	C	0.99935	So you kind of say, okay, you're going to carve out this region.
561340	567472	66	C	0.99949	You light up with NCM, you light up with sonic, and then other signal coming to say you die.
567536	570240	67	C	0.99937	But before they die, they light up that pattern.
570320	572656	68	C	0.99823	So the feather pattern is very exquisite.
572768	576700	69	C	0.83668	Radio symmetry, bilateral symmetry, bilateral symmetry.
576800	581400	70	C	0.91916	So Adam was very impressed by those findings.
585260	593964	71	C	1	I appreciate he actually encouraged that when he sees something, he appreciates he encouraged it.
594002	597548	72	C	0.99998	He didn't say, oh, you're supposed to work on the brain or whatever.
597634	598828	73	C	0.99997	He actually like it.
598914	611516	74	C	1	And subsequently he also developed this idea of topobiology, which he would acknowledge to say it's sort of based on the very exquisite pattern we found in the feather.
611628	613804	75	C	0.99868	But of course he developed it further.
613932	621424	76	C	0.99768	But some other time he would say, if this is not in feather, I am adamant I'm going to get another Nobel Prize.
621552	622804	77	C	0.99801	So I like it.
622842	625136	78	C	0.95657	Let him encourage that direction.
625248	635048	79	C	0.98849	So later when I became independent, I sort of say, okay, brain is wonderful, but it's all like being curved inside.
635134	638324	80	C	0.71	I don't figure it out, but I'm not that smart.
638372	642008	81	C	0.99999	But I might be able to figure out feather pattern formation.
642184	645180	82	C	0.99808	So I have a reasonable, successful career.
645520	657708	83	C	0.98805	Figure out the able debo of the feather, but as I said, not just feather itself, but use feather as a rosetta stone to figure out morphogenesis.
657884	665010	84	C	1	And that sort of I think I appreciate that he's encouraged on that.
665480	672548	85	C	0.99872	Also, as you know, the stem cell biology comes along and the feather in a bird baby chicken is one way.
672634	680492	86	C	0.87782	Adult chicken, male, female, all looks differently, but they are all from the same group of the stem cell that my lab have stemon straight.
680576	696780	87	C	0.99985	So it is the so called stem cell niche would be modulated by sex hormone, by age, by season, by temperature, and let them help you produce different feather forms to adapt to the environment.
697760	703260	88	C	1	I think I enjoy my research career and it was obviously have his impact.
703340	721716	89	C	1	And I think he's intellectually brilliant and always encouraged going after fundamental principles, saying that if you're going to work on a question, ask most profound questions and approach with the most available technology, current technology of the day.
721818	724996	90	C	0.98061	Don't waste your time on small questions.
725178	731850	91	C	0.99	And I think I have taken those in so I can stay up to here and we can discuss more later.
733740	734488	92	A	0.99988	Thank you.
734574	735112	93	A	0.99963	Awesome.
735246	737352	94	A	0.99412	Karl?
737406	746300	95	D	0.99683	Hi! So my name is Karl Friston, and like my two colleagues, I found my stay with Jerry Edelman both foundational and very, very formative.
747040	751820	96	D	0.96	I was quite early in my research career when I joined the neuroscience Institute.
752580	755900	97	D	0.99999	Having trained as a psychiatrist, I got into brain imaging.
756060	776792	98	D	1	And at the inception of brain imaging, people were for the first time discovering principles of functional brain organization, such as the principle of functional segregation and subsequently principles of integration, how segregated specialized parts of the brain communicate or are coordinated or are integrated together.
776926	788180	99	D	0.87	And one of the key theoreticians and neuroanatomists that authored this particular interpretation and deployment of neuroimaging was Semir Zeki.
788260	789608	100	D	0.97	And semir zeki.
789704	813040	101	D	0.97454	For those of you who don't know, he's still very active, one of the architects of neuroaesthetics in his late retirement now, but he was friendly with Jerry Edelman, and Semi was famed for understanding the computational anatomy of early visual cortex and visual cortical hierarchies.
814120	818180	102	D	1	And I repeat, the principles of functional specialization and integration.
819000	839390	103	D	0.99847	So after a couple of years at the inception of human brain mapping, using positron emission tomography and establishing, for example, the color center in a particular part of the visual cortex, I was effectively sent to New York.
840080	848924	104	D	0.99983	So my period of engagement was a fellowship between about 1990 and 1992 93.
849042	865484	105	D	0.99996	So this slightly predates Andy, and it covered the translocation of the Neurosciences Institute from the Rockefeller University to La Jolla and under the auspices of the script.
865532	887188	106	D	0.97557	So I spent half my fellowship at the Rockefeller and then subsequently watched the building of the magnificent neuroscientist Institute on North Tory Pines Road that Andy referred to with the auditorium, if I remember, designed by imported experts in audition and music and sound engineering from Sweden.
887364	889470	107	D	0.99675	It was really an amazing place.
889920	909024	108	D	1	I do remember a couple of lunches before I returned to the UK to pursue my career in imaging neuroscience under the auspices of the welcome Trust, but only a couple because we were sort of in rented accommodation from the script on the other side of the road.
909142	919860	109	D	0.99911	But it was an awe inspiring bit of architecture, both intellectually and practically in terms of the early days of the Neuroscience Institute.
920360	930292	110	D	0.89543	So I was sent there basically because Sami Zecki thought it would be good for me to go and work with Jerry Adelman retrospectively.
930356	931464	111	D	1	I now appreciate that.
931502	947390	112	D	1	I was sent there to replace a gentleman called Reed Montague, who had been tasked with on the pure theory side, as opposed to the celadesian molecule and the wet lab side of Edelman's research.
948160	964512	113	D	0.99957	On the pure theory side, the point of my arrival, and to a certain extent at the point of Reed's brief exposure to the neuroscientist institute, the theory of neuronal group selection was becoming consolidated.
964656	989756	114	D	0.99	And in particular, what drove the selection of neuronal groups, neuro ensembles, cell assemblies, however you want to describe them, and given Edelman's polchamp for incredibly incisive and straightforward but very creative biological thinking.
989858	1022272	115	D	0.9999	He thought, well, it's obviously some kind of natural selection and therefore there must be the homologue of adaptive fitness that is underwriting the scaffolding and the dynamic structuring of connectivity or connections that were definitive of in the spirit of functional specialization, segregation, but also the mediator of functional integration of these neuronal groups.
1022416	1026230	116	D	0.97594	So this became known generically as value.
1026620	1039280	117	D	0.98458	So Reed was working on value dependent learning the plasticity and the principles that underwrite which synaptic connections have the right kind of adaptive fitness in their mileage.
1039300	1051588	118	D	0.99996	In that context that enabled them to persist and other connections went away and became or contributed to the sparse coupling of neural networks.
1051784	1059840	119	D	0.96	And then Reed, and we can talk about the glorious stories about the departure of Reed.
1060260	1075664	120	D	0.54693	Reed actually ended up in a rather circuitous way with Terry Sejnowski at the Salk subsequently, then hooked up with people like Peter Diane and Wolfram Schultz, who at that time was in Zurich.
1075792	1085304	121	D	1	And of course the story that emerged from that was the reward prediction error story that actually, ironically, Reed did not.
1085342	1091148	122	D	0.96425	But a number of Wolfram eventually got the brain prize for some decade or so later.
1091314	1095176	123	D	0.99828	But the inception of that story was actually at the Rockefeller.
1095368	1122816	124	D	0.99	And it was basically an attempt by, I think, Reed to formalize the principles that must be in play to make the theory of neural group selection under what was an important dynamic from Edelman's point of view, which is this notion of reentrant dynamics.
1122848	1140620	125	D	0.89863	So very, very early on he had identified the fundamental importance of recurrent connectivity and reentry as very formative in the emergence of these structured groups and the associated functional specialization.
1141840	1165564	126	D	0.87687	Just open brackets, just to point out that you could claim that certainly his early conversations with people at that time sort of preempted stuff in computational neuroscience that we now take as for granted, not really realizing where it came from, but certainly his work with Vernon Mancast.
1165612	1168116	127	D	0.96398	I'm sure Andy will be able to speak to this later on.
1168138	1175552	128	D	0.67839	On the importance of reentry and dynamics and oscillations in the formation of these groups and sort of cortical.
1175616	1176848	129	D	0.46089	Columns and the like.
1176954	1187800	130	D	0.92475	That was sort of, I think, the monographs that they not the monographs, but the papers and the articles they wrote at that time I think were quite visionary.
1188380	1197816	131	D	0.54889	Steven Grossberg was also hanging around a few years earlier, and I think you could probably claim that between the two of them, they invented computational neuroscience.
1197928	1220672	132	D	0.99713	Certainly know New York, Boston, sort of East Coast kind of style of computational neuroscience, closely involved with something called the Neuroscience Research Foundation, so that they, as I understand it and again, Andy may want to correct me here, but this was like the forerunner of the Society for Neuroscience.
1220736	1222052	133	D	0.99724	It was a group of people.
1222186	1242872	134	D	0.64198	People, and perhaps Max Cowan is the name that comes to mind, people who actually invented words like neuroscience, which wasn't a thing, certainly when I was applying to my undergraduate studies and trying to create institutions, academic institutions, that would endorse this notion of neuroscience.
1242936	1246072	135	D	0.99	And the Neuroscience Research Foundation was like the old guard.
1246216	1254940	136	D	1	And then the Young Turks came along and reacted against the old Guard, the Neuroscience Research Foundation, to form the Society for Neuroscience.
1255020	1257296	137	D	1	And then we all know the story since that time.
1257318	1261120	138	D	0.92964	It's one of the biggest societies in academia.
1261860	1281336	139	D	0.94107	So just making the point that Aidelman and his colleagues and vicarious colleagues, a lot of people, oliver Sacks being one, ernst Mer being another of his favorite sort of characters to talk to, all of whom would come and visit, and we were privileged just to listen in.
1281358	1301816	140	D	0.87	And conversations in this very formative time where some of the sort of, I think, conceptual pillars of the way that we understand neuroscience in the 21st century were first articulated, probably not using quite the same words that we use nowadays.
1301848	1311724	141	D	0.97552	So no one talks about reentry anymore, so about recurrent neural networks or sort of feed forward and feedback and the like, but the same underlying dynamics.
1311772	1313312	142	D	0.86	And maths, I think, is absolutely there.
1313366	1319700	143	D	0.98979	Anyway, I was brought in to replace Reed Montague, so that was my little contribution.
1320520	1335476	144	D	0.63842	Whilst we were in the Rockefeller, I made the mistake of thinking that the right way to do this was to actually write down equations and try and sort of naturalize it in terms of mathematics.
1335588	1337604	145	D	0.60286	Edelman was a great biological thinker.
1337652	1342372	146	D	0.99995	He was not a very good mathematical thinker, so there was a bit of a clash there.
1342446	1352130	147	D	0.55434	So I remember one meeting very early on when it was being decided what I was going to be doing.
1353060	1358192	148	D	0.99816	Perhaps it's useful just to say the context in which those early meetings took place.
1358326	1362140	149	D	0.98478	So Andy has already mentioned Guilio Tononi and Olaf spawns.
1362220	1369140	150	D	0.99456	They were two key people, edelman's young men who already in sight, you.
1369290	1375060	151	D	1	And then I replaced Reed, and they were working really purely on theory.
1375480	1386564	152	D	0.93	And that theory was tested in the context of a forerunner of supercomputing, a hypercube that was driving, in my day, little robots.
1386612	1406640	153	D	0.99926	So, again, Edelman was doing neurobotics in the 1980s in exactly the same way that people now in developmental neurobotics are still addressing exactly the same questions, probably with the same kind of computer infrastructure that obviously upgraded.
1407700	1427220	154	D	0.96757	So we were sitting around and Edelman was called out to take a phone call from Germany, and there was a look of horror on people's faces because I'd suggested a relationship between value dependent learning and the riskola Wagner rule from behavioral psychology.
1427880	1433112	155	D	0.97	And as soon as you mention an equation or a formula, that set Edelman off.
1433166	1437450	156	D	0.97	And I didn't know that, so I didn't know I pushed the wrong button.
1437820	1442056	157	D	0.95354	So when Edelman came back in, I was effectively rusticated.
1442168	1458848	158	D	1	I was prevented from doing any work for three months and for every day, afternoon and morning I had to sit in the Rockefeller library and read purely biological great texts, and I ended up having to.
1458934	1462844	159	D	1	The last one was The Growth of Biological Thought by Ernst Mayer.
1462892	1473910	160	D	1	I had to read from page to page, and when I did so, I had become sufficiently sanitized to be allowed back into the workplace to actually do some work anyway.
1474280	1477108	161	D	0.9984	So that was our contribution.
1477284	1495528	162	D	1	And then when we moved to the whole parade of 16 Wheeler traxxas, translocating all the kit and all the paperwork to La Jolla, and then relocating out there, settling down, I brought that work to closure.
1495624	1518784	163	D	0.98	And interesting, that was at the point when Giulio well, Olaf, I remember him saying what he wants is basically to understand and simulate the brain in a way that draws explanatory power from the architecture of the connectivity.
1518912	1528776	164	D	0.99739	Basically, we say he wants to establish connectomics as a discipline, and of course, ten years later, he's Mr.
1528878	1530196	165	D	0.47369	Connectomics.
1530388	1558080	166	D	0.69203	Julio at that point was inventing integrated information theory with a particular focus on information, theoretical formulations of complexity, and what special, if you like, counterintuitive behaviors, do you get from these biologically configured connectors when you put dynamics on structure and trying to quantify that in a way that ultimately transpired to be measures like phi in IIT.
1558820	1568036	167	D	0.99779	So that was a fun time as the mathematician, closet mathematician, because I wasn't allowed to say anything about the maths at the time.
1568218	1569364	168	D	1	I enjoyed that bit.
1569402	1582148	169	D	0.98	And so looking being in at the, if you like, ground zero at the inception of all these aspirations, which eventually led to very fruitful careers.
1582244	1587400	170	D	0.97	And then I went back to the UK.
1587740	1595710	171	D	0.99898	Just had fond memories and non fond memories, but both of a nostalgic sort since that time.
1598080	1598830	172	A	0.99316	Awesome.
1599360	1600712	173	A	0.99905	Great tales.
1600776	1603416	174	A	0.68873	Changming or Andrew, anything you want to add?
1603458	1605490	175	A	0.99992	Or I can go to one of the questions.
1606180	1614196	176	B	0.96711	Well, just to expound a little bit on what Karl was saying, I don't know if you can see this book.
1614298	1631960	177	B	0.64611	Okay, so this was something that came out of the neuroscience research program that was sort of the old boys club that Francis Schmidt started at MIT and later was the basis for the neurosciences Institute.
1632300	1635716	178	B	1	And what this was was sort of the who's who in neuroscience.
1635828	1639964	179	B	0.99846	So, again, if you look at this book, it says, edited by Francis O.
1640002	1640472	180	B	0.87941	Schmidt.
1640536	1642510	181	B	0.99991	So he was the guy that started that.
1645120	1651870	182	B	0.99972	This persisted even throughout the 2000s.
1654340	1663244	183	B	0.99997	Once or twice a year at the neurosciences Institute, they would organize one of these meetings, and it would be a who's who of neuroscience.
1663372	1672404	184	B	0.91122	So all the Nobel laureates in neuroscience, all the big names, would come for a four or five day meeting and talk about their research.
1672522	1679464	185	B	0.98	And as a member of the neurosciences Institute, I got to sit in and meet these people.
1679662	1689948	186	B	0.98	And it was phenomenal, especially with my background, because I was sort of not on the mainstream of neuroscience at that point.
1690114	1693416	187	B	0.96	And that was really fascinating.
1693528	1702380	188	B	0.98228	So you got to meet people like Wolf Schultz and all the big names that were there, francis Crick.
1705540	1711964	189	B	0.70092	But what I want to go back to is this original book by Edelman and Mac Castle called The Mindful Brain.
1712092	1724736	190	B	0.9998	This is sort of like one of the bibles of early creative thinking about brain function, and it presaged the idea of distributed systems.
1724768	1728650	191	B	0.99983	This was sort of the thing that Vernon Moncasso was very much into.
1729660	1744248	192	B	0.98	And so to this day, the way most people think about brain function is boxes, where each part of the brain is confined to a box, and then there are arrows pointed to other boxes.
1744424	1747880	193	B	1	And so we get this idea that there's a circuitry.
1747960	1764710	194	B	0.99999	So you often hear neuroscientists talk about circuits, and that kind of comes from the idea that you have these boxes and you have arrows and you have plus and minus signs with the arrows, and then somehow the pluses and minuses add up and tell you what's going to happen at the next box.
1765880	1774612	195	B	0.89	And that is nice because you can kind of simplify things and talk about causality in very concrete terms.
1774666	1784808	196	B	0.99	And it's great if you're an engineer, because you can write transfer functions about defining how you get an output from an input, but that's not the way the brain works.
1784974	1809040	197	B	0.88	And I think Kyle can attest to the early days of MRI studies where everybody was doing pseudocolored representations of these different areas to see which area would light up a particular task, as if each area had a specific job and could be assigned to a specific task.
1811140	1837850	198	B	0.97241	Neuroscience in general is still suffering from that point of view, and it's only become a little bit more clear as computational science has matured in the last five or ten years, especially with the adaptation of artificial neural networks to the mainstream, that we can start to explore more biological meaningful ways of brain function.
1838460	1861090	199	B	0.79	And Vernon Macassill recognized that as sort of the I would say the founder of systems neuroscience, modern systems neuroscience, and Edelman talked about that a little know, there's group theory and some of the things that OLEF has started.
1862740	1885060	200	B	0.99975	With graph theory still sort of based on strict anatomical you know, if you read like Olaf's latest review, where the field is starting to progress away from that constraint of anatomical connectivity, we're starting to get more toward the idea of truly distributed systems.
1885220	1887508	201	B	1	And to me, that's super exciting.
1887604	1906092	202	B	0.99995	But you can look back to this book from the see that the seed was planted way back then and see how almost 50 years later, now, it's finally starting to evolve into something that's becoming more mainstream.
1906236	1921140	203	B	1	And if you sort of look at the evolution of neuroscience, I think if you project ahead to the next ten or 20 years, this is going to be really the fundamental change in the way we think about neural function.
1921290	1930260	204	B	1	And I'm super excited about that and you look and sort of back in history to see how that's evolved.
1930420	1937130	205	B	0.96	And I don't know, I think there's something very attractive about thinking about things that way.
1939040	1939452	206	C	0.80274	Yeah.
1939506	1949150	207	C	0.84497	Okay, I'll add something, I think, talking about Edema's, the brilliance about seeing things through.
1949920	1950524	208	C	1	I don't know.
1950562	1959410	209	C	0.99994	In the neurobiology field, you people still sort of think the neuro Darwinism idea is still there, right?
1960500	1970176	210	C	0.99681	So that was the time when I was with him in Rockefeller University he would talk things like know Darwinism for evolution species.
1970288	1975088	211	C	0.99	And he saw that in immunoglobulin chronos selection.
1975184	1979290	212	C	0.99315	So he applied to this neurodarwinism idea.
1979660	1990940	213	C	0.99955	But I have to say, subsequently, actually, my career is mainly in university, Southern California and working on this morphogenesis tissue patent formation.
1991360	1996376	214	C	0.99	And in our field, sort of more bench work aspect of Edelman.
1996488	2008300	215	C	0.99512	This direction, not the neurobiology direction, but in the field, there were people originally more talking about the stem cells are predetermined and then they go this lineage.
2008380	2009996	216	C	0.87596	They go this lineage.
2010188	2012688	217	C	0.99994	But we using the skin as a model.
2012774	2017888	218	C	0.99945	Actually, I start to write these things kind of a Darwinism within the skin.
2017984	2022992	219	C	0.97	I mean, basically it's that there is no preset forever stem cells.
2023056	2028772	220	C	0.99999	If you wipe out these stem cells, other cells are waiting there to take over the space.
2028906	2036772	221	C	0.99994	So there is even during development and during regeneration to make the tissue patterning process robust.
2036916	2049068	222	C	0.99999	There is a small so called Darwinism competition going on in there and that is sort of also influencing our work in morphogenesis these days.
2049154	2056050	223	C	0.99	And I think that's kind of the impact of him on this aspect as well.
2059550	2060300	224	C	0.74765	Wow.
2060990	2061658	225	A	0.94301	All right.
2061744	2063114	226	A	0.99906	I'll read a question.
2063232	2065170	227	A	0.99977	This was from Dave Douglas.
2065350	2080100	228	A	0.99014	Dave wrote, we know that Professor Edelman used deep analogies in exploring new subjects as in his leveraging his knowledge of immunology and organismal development to probe conceptualization and learning.
2080470	2085506	229	A	1	Did he ever work specifically on metaphor and analogy as such?
2085688	2095990	230	A	0.99999	For example, did he leverage his experience of music and poetry to dig out scientific facts while separating fertile from sterile analogies?
2100490	2104060	231	A	0.40158	An answer or just what that makes you think of?
2107470	2113078	232	D	0.74118	It makes me think of something which Edelman used to call me, which I am an intellectual thug.
2113174	2117774	233	D	0.99842	So I'm sure that there's a great answer to that.
2117812	2118830	234	D	0.99988	Excellent question.
2118980	2122906	235	D	0.99	And it does speak to Edelman's skills and interests.
2122938	2140100	236	D	0.99979	As a violinist, I do remember that BBC Horizon came to do a profile on him and his ideas and it was prefaced with, I think, shots of him playing the violin to concert standard.
2140490	2151106	237	D	0.99978	But I have absolutely no idea whether he used that sort of part of his life to take things beyond metaphor.
2151138	2159980	238	D	0.76571	So as an intellectual thug, I'm going to hand over to my two colleagues to see whether they can give a more elegant answer.
2167530	2171130	239	A	1	Or anything in that area of the arts.
2171550	2174410	240	A	1	And you brought up poetry.
2175710	2178890	241	A	0.99999	Anything in the arts and sciences?
2181890	2193950	242	C	0.99205	Well, I'm no brain biologist, but just to say that from my side of the interaction, he really tried to merge science and art.
2194100	2198100	243	C	0.99995	He would think a real science would be beautiful.
2198950	2201202	244	C	1	And that's the way I think when I learn.
2201256	2211554	245	C	0.99824	As I mentioned, when I say, oh, I was expecting a more clear cut CC's idea, but he would say Ming is like writing a poetry.
2211602	2215320	246	C	0.99806	He said, When I start, I don't know where it's going to end.
2216010	2221926	247	C	0.98879	It's like some artists when you ask them how do you create this painting?
2222038	2233738	248	C	1	I try to ask this question to some of my friends who are artists and they say they do not have a clear blueprint of how that painting would looks like.
2233824	2243258	249	C	0.99999	They have an idea, it's kind of floating in the sky and they try to grab it down, so they paint on the way and try to make it into a painting.
2243354	2249922	250	C	0.6555	Or I have a friend who are poets, I ask them this, they say they grab the word to make them coming down.
2250056	2256100	251	C	1	And I kind of feel adamant sort of treat the scientific idea like that.
2257370	2265080	252	C	0.99504	This is my superficial interaction, just some experience.
2266730	2270202	253	B	1	I don't have a direct reply to that.
2270256	2279654	254	B	0.99992	But in general, I think there's the idea of creativity that he brought to the forefront.
2279782	2290670	255	B	1	And then also with that creativity, you have to have a certain amount of courage to move out of the sort of mainstream, right?
2290740	2296420	256	B	0.99999	So if you have an idea and you have to have a certain amount of courage to put that forward.
2298950	2299314	257	C	0.76489	If.
2299352	2302270	258	B	0.99991	That idea is creative and out of the ordinary.
2302430	2310760	259	B	0.7	And I think artists and sort of really great scientists have that in common.
2313370	2322490	260	A	0.99998	Maybe to that nexus of creativity and career development and courage for you or just in the environment.
2322910	2330140	261	A	0.99992	How did his mentoring help bring out these threads in people?
2332130	2333870	262	A	0.97701	For better and for worse?
2334210	2336318	263	B	1	I think Karl could attest to that.
2336404	2341950	264	B	1	I have a hard time viewing Edelman as a feel good mentor.
2343490	2346242	265	B	0.99	I think he would throw ideas out there.
2346296	2353460	266	B	0.99934	He could be pretty aggressive and I would say frightening to young people.
2354790	2363190	267	B	0.97489	So I wouldn't cast Edelman's behavior as sort of the typical mentor.
2364490	2376970	268	B	0.99197	But again, I think the environment that he created was someplace that was really special and reflected that kind of courageous creativity.
2378350	2380394	269	B	1	And I really appreciate that.
2380432	2381020	270	B	0.99924	Now.
2383330	2390362	271	D	0.96156	Just to endorse that notion of courageous creativity, I think it's a really nice observation.
2390506	2405026	272	D	0.99882	I've often reflected on whether let's take for example, Julio and Olaf, and I think you could probably apply it to me and Andy and a number of other people as well.
2405048	2419990	273	D	0.99223	But if we just take Julio and Olaf, who've both become world leaders, thought leaders in their own particular field, having brought something new to the table, and in some instances in more than one area.
2420060	2432846	274	D	0.98759	So Julia TENone, in terms of sleep research and synaptic Homeostasis in terms of his work in consciousness studies, integrated information theory, olaf in.
2432868	2437920	275	D	0.99994	Terms of structural function and mean.
2438450	2442880	276	D	0.99986	Is it that Edelman had a good eye for bright young men?
2443410	2446510	277	D	0.9995	Or is it that bright young men learned how to do this?
